,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.5400449416011162,-84.06120166803306,-133.97940008672037,49.91819841868731,0.005,0.9953685253044957,-103.24537163080898,-116.51938159960505,13.27400996879608,0.005,-0.03700062748735845,-99.28779290089237,-105.81817448424403,6.530381583351655,0.005,0.03623621592602058,-90.11719496979285,-103.19927923872613,13.082084268933286
3.0,0.035,0.9914258421719756,-8.295005726762986,-26.241609800845364,17.94660407408238,0.005,0.9984706363488228,-51.34967443198104,-61.71102145780017,10.361347025819128,0.015,0.9934097531134204,-17.269863987228852,-43.682272697055,26.412408709826146,0.03,0.9923809299345289,-10.59649980944325,-68.58753398267014,57.991034173226886
4.0,0.0425,0.9743807216126424,-7.885507917779914,-34.12260909206147,26.237101174281552,0.005,0.9987938322776623,-53.20865247055352,-62.69459394932083,9.485941478767316,0.025,0.9858177860497392,-12.751977679453365,-25.067509293558924,12.31553161410556,0.035,0.9711364885936835,-9.157404576284861,-9.950821285685926,0.7934167094010647
5.0,0.05,0.9735633166326739,-6.313920322643821,-29.397256477772938,23.083336155129118,0.005,0.9953266274400099,-47.57951343237761,-71.10406416939837,23.52455073702076,0.025,0.9815445359812445,-12.197091122495504,-27.01613191032483,14.819040787829326,0.0525,0.9731775141980206,-3.950569383906784,-45.66059737323806,41.71002798933128
6.0,0.0475,0.9633913542897696,-6.772167137778666,-30.527329687894866,23.7551625501162,0.005,0.994004529993883,-52.93115859322477,-59.47024210722855,6.539083514003778,0.0225,0.9746027050498832,-13.684662901483788,-34.636124651320316,20.951461749836525,0.045,0.9608647849008765,-5.9140242114100054,-39.87950851950769,33.965484308097686
7.0,0.015,0.9502061549933214,-16.78896280030113,-40.17091486905615,23.381952068755016,0.005,0.9959418253214335,-54.81173114050958,-84.62951654693688,29.817785406427305,0.0075,0.9651028516429818,-25.62015744037147,-59.91678289396965,34.29662545359818,0.0125,0.9475416881366605,-17.078449264635875,-48.86087730698476,31.782428042348887
8.0,0.01,0.9620841740440592,-23.73307167975002,-45.83804991404335,22.104978234293334,0.005,0.9976717660287909,-52.3604892366981,-56.40957174677573,4.049082510077632,0.005,0.981205891882985,-33.06675943065298,-46.14934629447565,13.08258686382267,0.01,0.9572959958224164,-23.809387591015366,-50.197151762172716,26.38776417115735
9.0,0.01,0.9590124034935272,-23.89345709147461,-61.45452644757085,37.56106935609624,0.005,0.9978623666184677,-53.06970885362264,-60.766161070193185,7.696452216570542,0.005,0.9590572355350785,-39.5593509133288,-50.953430899565774,11.394079986236974,0.01,0.9609141737334749,-24.89780359327804,-56.71575360279248,31.81795000951444
10.0,0.0075,0.6377596583626469,-25.078282984786856,-38.30516752698586,13.226884542199006,0.005,0.9974375202556802,-52.04515569207747,-60.010526040553415,7.965370348475943,0.005,0.9286501541039647,-30.1601763816908,-51.783646411068474,21.623470029377675,0.005,0.6027751883953112,-26.711238262944708,-45.385553522108744,18.674315259164036
11.0,0.01,0.6942080269764057,-24.607889861383274,-51.39183265027444,26.783942788891164,0.005,0.9974823485192802,-51.896335353237475,-56.282925387591874,4.386590034354398,0.005,0.9247959912449644,-29.928837654980907,-39.78742407710135,9.858586422120442,0.01,0.6054420842150138,-23.350302745157908,-35.85732136570098,12.507018620543075
12.0,0.01,0.724949336345806,-24.281109705816178,-43.637415801914976,19.3563060960988,0.005,0.9975243975370565,-51.6825876792192,-56.2127982504732,4.5302105712539955,0.005,0.9240377616507859,-30.104463810070946,-57.83045656328436,27.72599275321341,0.0075,0.6895328340586777,-23.73029147245783,-60.69475010563846,36.964458633180634
13.0,0.0075,0.7353546463375195,-25.51379468387171,-49.49412636698618,23.98033168311447,0.005,0.9969540433008404,-52.95964752422484,-56.97154350791166,4.01189598368682,0.005,0.9127066896414521,-32.85007970682018,-49.80125471915934,16.951175012339156,0.005,0.6914367707414527,-26.0944195407058,-51.51355966144513,25.41914012073933
14.0,0.005,0.848697955051922,-33.20469330226595,-50.9009741339393,17.69628083167335,0.005,0.9968167462242117,-52.7237138988891,-60.868958356623146,8.145244457734044,0.005,0.8989234842026808,-40.649639137868014,-51.401551821766546,10.751912683898531,0.005,0.8191547940117585,-36.02963130032244,-51.73607696883822,15.706445668515777
