,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.6495491942368643,-50.641291700321915,-133.97940008672037,83.33810838639846,0.005,0.8240359091163268,-75.0137646113052,-92.88521373594875,17.871449124643547,0.005,0.7643733989950678,-52.24597082533096,-59.21964164600262,6.973670820671664,0.005,-0.37333572556005945,-59.752819194617544,-94.36943630997695,34.616617115359404
1.0,0.005,0.539390746556831,-47.86595357405136,-51.963212955607645,4.0972593815562846,0.005,0.25773035056837335,-73.27177802826556,-84.60390856223842,11.332130533972858,0.005,0.6703742549150395,-46.80425500856893,-51.188323528387194,4.384068519818264,0.005,-0.3760429307091189,-56.041078666376904,-58.606836092331534,2.5657574259546294
2.0,0.005,0.7429478163529916,-42.22471019218648,-49.860011273143,7.635301080956523,0.005,-0.27088481966895,-64.9110030142838,-68.11057221799578,3.199569203711974,0.005,0.8139941923694981,-45.12586594356212,-52.36842713061009,7.2425611870479685,0.005,-0.271007473879751,-54.52406017714146,-95.86073621999516,41.3366760428537
3.0,0.005,0.5875843559615745,-41.37573090132285,-62.38121694242561,21.005486041102763,0.005,0.3784842696069793,-65.64232837053814,-68.45802932841511,2.8157009578769703,0.005,0.6772776362258042,-42.66592061963838,-50.09892939608892,7.433008776450542,0.005,-0.29783984816496384,-51.70141616799678,-72.17763255980051,20.47621639180373
4.0,0.005,0.5962756647415234,-40.072032114394304,-40.506417296491236,0.434385182096932,0.005,-0.45259625959793237,-62.11201772915389,-81.17823910707882,19.066221377924933,0.005,0.6918051007913362,-42.45921802897452,-43.220781560100065,0.761563531125546,0.005,-0.3280066195866172,-49.81311389600788,-67.15832974707345,17.345215851065575
5.0,0.005,0.48305195127095407,-39.43050106507294,-42.58090122445406,3.150400159381121,0.005,0.48126605966328656,-62.83068683151267,-71.37550152268705,8.544814691174373,0.005,0.6153726225660773,-40.50955434740256,-56.31567510589009,15.806120758487523,0.005,-0.4488782271182,-45.4494742603601,-64.47501421720463,19.025539956844533
6.0,0.005,0.5754251622738621,-36.262470405009005,-40.797592021473115,4.53512161646411,0.005,-0.038662231098297854,-58.04692436809464,-63.28414541771672,5.237221049622079,0.005,0.6572601165751762,-37.147315684178935,-43.68106501833988,6.5337493341609445,0.005,-0.1950390153106115,-46.46489544835301,-54.0526704834863,7.587775035133291
7.0,0.005,0.4292766132023062,-35.65930254864216,-46.88424442237837,11.224941873736213,0.005,-0.39011949174621413,-61.38161223051772,-67.58382456995099,6.202212339433274,0.005,0.4867329626687158,-36.45748098938617,-55.095692904697955,18.638211915311786,0.005,-0.31862440467284586,-46.82950232605725,-57.79500477024279,10.965502444185539
8.0,0.005,0.5699834672673226,-37.12356956343647,-70.14482037008324,33.02125080664677,0.005,-0.6476604164939054,-56.60805223034415,-66.16573832554795,9.557686095203799,0.005,0.6523996026273534,-37.78767657406527,-47.27826607351158,9.490589499446308,0.005,-0.3783619364246479,-46.75057825228323,-64.27390334760946,17.52332509532623
9.0,0.005,0.582719658352491,-33.59456272724867,-43.384549131740215,9.789986404491543,0.005,0.17102732382781027,-55.719641263976676,-78.40408571835219,22.684444454375516,0.005,0.631267832500061,-34.658074657249486,-37.43193266354779,2.7738580062983047,0.005,-0.23259718521237238,-45.253926500238904,-49.92097214860471,4.667045648365807
10.0,0.005,0.5755948896633374,-34.61402515432362,-45.14727090575124,10.533245751427621,0.005,0.5103062477132972,-58.18090037506497,-74.2586346814338,16.077734306368832,0.005,0.6317835721784937,-35.55634491825839,-46.22559983287496,10.669254914616573,0.005,-0.23388248725041608,-44.88554281280534,-53.43896972217238,8.55342690936704
11.0,0.005,0.5387129825950228,-35.285083351117954,-42.82674441661612,7.541661065498168,0.005,-0.22073017995755317,-58.870235079839304,-61.70382184169003,2.833586761850725,0.005,0.5941290971464017,-34.202771000080105,-46.32191653357998,12.119145533499875,0.005,-0.22681439762238084,-46.84181434586727,-52.777151460260455,5.935337114393185
12.0,0.005,0.4767162706798885,-35.232916099932545,-55.60484581135799,20.371929711425445,0.005,-0.10520072508914538,-58.178147652669566,-70.21628545518048,12.038137802510917,0.005,0.5287900100804799,-35.16340480134978,-48.58616529175741,13.422760490407633,0.005,-0.20232435113638758,-44.95448001398528,-54.136925573341024,9.182445559355742
13.0,0.005,0.603764231555293,-34.39088858019494,-52.838791848032365,18.447903267837425,0.005,0.2490355058199316,-58.56533275158333,-70.61359925100474,12.048266499421416,0.005,0.6671770069630628,-35.52284876807172,-66.91514218451879,31.392293416447068,0.005,-0.29305277852811557,-45.1034234140232,-86.44354234064792,41.340118926624726
14.0,0.005,0.34841202775478264,-32.52854835334305,-33.20159585001563,0.6730474966725808,0.005,-0.347841075422218,-56.223000848233795,-71.80610774507143,15.583106896837634,0.005,0.35345442735671667,-35.88966067087095,-40.484624142146224,4.594963471275271,0.005,-0.23196786257529686,-45.213292993720806,-66.95440025863145,21.741107264910646
15.0,0.005,0.771330180185708,-31.049253438564904,-39.833229743335856,8.783976304770952,0.005,-0.5067025089907441,-56.0240723863912,-63.065737359866745,7.041664973475548,0.005,0.8210860191357743,-31.0178988700085,-34.77382819466007,3.755929324651568,0.005,-0.2298748370536207,-42.75523183265305,-61.80259499143372,19.04736315878067
16.0,0.005,0.22524687351750505,-33.637740830930085,-54.26591001874573,20.628169187815644,0.005,-0.28749924875639077,-54.98915020702476,-78.2071449182607,23.21799471123594,0.005,0.25948696876192434,-34.83482565544417,-42.274953009753744,7.440127354309574,0.005,-0.2144041818700203,-42.2695032826783,-57.01005712000823,14.740553837329927
