,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.005,0.2528589009002095,-77.0763972500632,-83.09699716334282,6.020599913279625,0.005,0.9336452598638615,-98.56976076317264,-112.75506799446767,14.185307231295027,0.005,0.21390926145290393,-93.90099534009772,-133.97940008672037,40.07840474662265,0.005,0.011434681812623412,-85.03979084175111,-108.92967912707408,23.889888285322968
2.0,0.005,-0.017892507535879905,-75.13819644826852,-133.97940008672037,58.84120363845186,0.005,0.8271360593748428,-106.55476593854196,-120.77474506742313,14.219979128881164,0.005,0.02532022280211394,-94.86978118769444,-114.34029999523483,19.470518807540387,0.005,0.053004536791039475,-85.79843802558257,-93.02204291429524,7.223604888712671
3.0,0.005,0.04758449471327623,-75.13819644826852,-83.09699716334282,7.958800715074304,0.005,0.4263269627645094,-106.29640337728242,-114.6931712455505,8.396767868268086,0.005,0.050909049016980804,-94.29694903710575,-103.12413180308617,8.827182765980425,0.005,0.09731803834914426,-85.94606343779773,-110.27036380931897,24.324300371521232
4.0,0.005,0.009448789734201038,-77.0763972500632,-133.97940008672037,56.90300283665718,0.005,0.5280914579614842,-107.6031177025574,-122.3079384351361,14.704820732578696,0.005,-0.08469477497774594,-94.91414611974962,-104.86453371377334,9.950387594023724,0.005,0.04241806687749744,-87.85474373534504,-103.94581956945157,16.091075834106533
5.0,0.005,0.04291344354185342,-77.0763972500632,-133.97940008672037,56.90300283665718,0.005,0.43896541876586076,-107.97406785496477,-111.10334799656201,3.129280141597235,0.005,-0.15843912533916202,-94.80292385383564,-118.01996508679494,23.217041232959303,0.005,0.03863938658633241,-86.39464273339263,-94.74296007810116,8.348317344708533
6.0,0.005,0.005850397388819552,-77.0763972500632,-89.11759707662245,12.04119982655925,0.005,0.8185811837998211,-106.0365015648319,-116.04917131395887,10.012669749126971,0.005,-0.009799077598387235,-91.92727893436613,-105.60731200542897,13.680033071062837,0.005,0.037684960245966154,-86.29992618213112,-95.45087879234971,9.150952610218596
7.0,0.005,0.006561821523633949,-77.0763972500632,-133.97940008672037,56.90300283665718,0.005,0.20372018540338488,-105.83747092046424,-120.52393539170663,14.686464471242388,0.005,0.1721442408300666,-93.27385538875093,-125.25946909741228,31.985613708661347,0.005,0.023795845814631362,-85.30691940401,-101.91021230187148,16.60329289786148
8.0,0.005,0.03121652967945584,-75.13819644826852,-133.97940008672037,58.84120363845186,0.005,0.7480547970592305,-108.09840080172656,-115.10872006518171,7.010319263455159,0.005,0.10058824048532919,-97.35789723938845,-103.13069478396699,5.7727975445785376,0.005,-0.02088648319062358,-85.59326566782352,-102.92821614348766,17.334950475664144
9.0,0.005,0.13088808464895646,-75.13819644826852,-89.11759707662245,13.979400628353929,0.005,0.484795483360935,-107.00308139463714,-123.3392297562417,16.33614836160457,0.005,-0.01149933112238561,-94.04260173376188,-104.38411538187525,10.341513648113363,0.005,0.1294826360406921,-86.54387605023928,-91.71247963880023,5.168603588560956
10.0,0.035,0.9998294823485946,-7.446827633837381,-33.25576452215386,25.80893688831648,0.005,0.9864748662346589,-41.910539332787536,-77.95892991612949,36.048390583341956,0.03,0.9998673926700544,-11.344722126051995,-12.927735665710978,1.5830135396589835,0.0125,0.9994593382147499,-17.947782035323897,-30.971939541482808,13.024157506158911
11.0,0.03,0.9999069723709265,-10.106405585020603,-18.431996393744264,8.32559080872366,0.005,0.9953584938012335,-38.44845276442687,-57.84723573482846,19.39878297040159,0.0275,0.9999264126476134,-11.997393953758271,-14.611953878107599,2.6145599243493276,0.0075,0.9986259799830699,-25.319381262455238,-36.40296758697999,11.083586324524752
12.0,0.0225,0.999928636252807,-13.977271744325206,-16.450247902772578,2.4729761584473717,0.005,0.9971090774628965,-44.088452607126754,-52.34435657962948,8.255903972502729,0.02,0.9999297722493954,-14.127262562968541,-19.55370689099325,5.42644432802471,0.005,0.9997111795826921,-33.852455252052984,-46.66182589771941,12.809370645666426
13.0,0.02,0.9998992328512605,-15.68858595178562,-17.203264514247124,1.5146785624615031,0.005,0.9951163445058878,-47.62979879332959,-49.250978114968106,1.6211793216385146,0.02,0.9999002577146102,-15.14742583777019,-47.27540876983979,32.1279829320696,0.005,0.999703863815231,-36.165563249498675,-64.11587226780617,27.950309018307493
14.0,0.02,0.9998570235421852,-15.74615097532299,-68.28974296312948,52.543591987806494,0.005,0.966721536518917,-46.525713969339364,-49.32771315955517,2.8019991902158026,0.02,0.999892033344801,-15.634344573951871,-30.012245724371617,14.377901150419746,0.005,0.9993876126693777,-27.78242279982304,-32.747444737412,4.965021937588965
15.0,0.025,0.9998324108055167,-13.64186800496457,-25.938291800091907,12.296423795127337,0.005,0.9985570031692058,-35.988329892325496,-40.565604299977345,4.577274407651849,0.0175,0.9998847847204168,-14.191386588632128,-19.525844792484556,5.334458203852428,0.015,0.9994746515247904,-19.0701343616708,-43.17779329604714,24.107658934376342
16.0,0.0175,0.999905308128665,-16.438133305123163,-29.92722892576859,13.489095620645426,0.005,0.9990070693931746,-36.41994700043559,-70.64121607258981,34.22126907215422,0.015,0.9999174178710327,-18.454183303517066,-26.56709981102248,8.112916507505414,0.005,0.9952366836337962,-41.72689192178997,-72.1900015997691,30.463109677979133
