,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.01,0.9258589483614833,-21.456268183549724,-33.49433400695822,12.038065823408495,0.005,0.9413872675243387,-46.7555725560295,-47.19096645620035,0.4353939001708511,0.01,0.9315579849876217,-23.074862641280266,-35.46710444610467,12.392241804824405,0.005,0.9257459360004853,-51.70920558310805,-64.70857490152473,12.999369318416676
6.0,0.01,0.9383370314881576,-21.224300784229047,-54.60240199897902,33.378101214749975,0.005,0.9458225521887872,-38.89063428152256,-55.36886678922567,16.47823250770311,0.01,0.9388464528354691,-22.087796193122962,-30.313343369043295,8.225547175920333,0.005,0.8697177815923555,-51.0730985417134,-100.81168874667031,49.738590204956914
7.0,0.01,0.933621036768585,-23.444766895599404,-27.275474082253403,3.8307071866539992,0.005,0.9135879314445569,-41.340906400700426,-44.67528152614,3.3343751254395713,0.01,0.952020765332938,-24.058278650859172,-26.416288380676033,2.3580097298168603,0.005,0.6092277361206426,-58.56164406935424,-68.57539732943158,10.013753260077344
8.0,0.01,0.9436375352589409,-23.28854164751188,-31.588782784890164,8.300241137378283,0.005,0.9118627933055105,-42.52723692518316,-49.27698807613527,6.7497511509521075,0.01,0.9474279867336021,-23.993882407281507,-32.467986080407904,8.474103673126397,0.005,0.6484203190912455,-56.5716268147181,-76.81781957375192,20.246192759033818
9.0,0.01,0.8608410451029099,-23.58781314186737,-40.623001912258644,17.035188770391272,0.005,0.9627579200636934,-43.28726871991755,-49.31169015963003,6.024421439712484,0.01,0.8607240757135279,-23.74152624798166,-42.092833469994375,18.351307222012714,0.005,0.37529122873333365,-59.59001947748283,-90.07067482381125,30.48065534632842
10.0,0.01,0.6324762199098901,-23.24221679296826,-31.42922119771892,8.18700440475066,0.005,0.9913444358086817,-42.33179067906288,-46.887588383246694,4.555797704183817,0.01,0.6340643375450526,-23.858918643309686,-34.172449273405626,10.31353063009594,0.005,0.5394053412109268,-59.63699070396983,-72.62505825042342,12.988067546453593
11.0,0.01,0.8533412562784063,-23.199968296664007,-34.906692803452316,11.706724506788309,0.005,0.9823335646925927,-41.77033672621481,-59.911373240226624,18.141036514011816,0.01,0.843724783165606,-21.814195498011536,-37.7243661179769,15.910170619965363,0.005,0.5480940243008536,-56.63479238262351,-69.38892781839263,12.754135435769122
12.0,0.01,0.6173394161883885,-20.757892055214736,-32.21468779362074,11.456795738406004,0.005,0.9550505125953208,-41.532930428788106,-42.934405337593134,1.401474908805028,0.01,0.6181261065004389,-20.592803259653675,-50.14407939750036,29.55127613784669,0.005,0.13068851354954503,-54.1144811006908,-64.19855930394559,10.084078203254784
13.0,0.0125,0.6017456025395307,-19.815884452038816,-23.296286534015266,3.4804020819764503,0.005,0.9571732775641791,-41.87470202209045,-49.26726894001422,7.392566917923766,0.01,0.5926634629111486,-20.383922061279552,-25.442644069297344,5.058722008017792,0.005,0.9102988202000429,-46.15654923455966,-70.42391109255271,24.267361857993052
14.0,0.0125,0.753309405250189,-19.211950011753267,-27.910690494034537,8.69874048228127,0.005,0.9695714193886169,-37.975501280938055,-45.640910362424066,7.665409081486011,0.01,0.7500175107962986,-20.5971895587421,-29.20192815145306,8.604738592710959,0.005,0.8571725630417751,-47.0145543083955,-74.55248544647556,27.537931138080054
