,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.005,0.27152841985219356,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.9991772693014028,-104.95142971735278,-104.95142971735278,0.0,0.005,0.8914422116268221,-98.04984072634026,-120.30804144800408,22.258200721663812,0.005,0.23813773527650753,-96.95876889502573,-123.83470406693114,26.87593517190541
11.0,0.0075,0.6098539476589396,-24.807380730057183,-42.455059634001046,17.647678903943863,0.005,0.8642544918583865,-68.8566009556446,-77.38386168227753,8.527260726632932,0.005,0.6078213468729784,-26.69391557262468,-39.53321210832411,12.839296535699429,0.005,0.5857786413314731,-35.9543564958735,-47.925690819365926,11.971334323492428
12.0,0.02,0.9349323336253547,-15.568328072516804,-21.765770640675047,6.197442568158243,0.005,0.4450526740918681,-62.00656635625097,-64.69605704460315,2.68949068835218,0.0175,0.9359752585398806,-15.999902748687731,-17.170358008041536,1.1704552593538047,0.005,0.8890440803810502,-26.842386469041625,-50.64234981706963,23.799963348028005
13.0,0.03,0.918707345724878,-10.930938093117796,-17.304791605987177,6.373853512869381,0.005,0.35570208974657075,-63.78594205317243,-77.27372327553076,13.487781222358329,0.0275,0.9161572151304787,-11.349748838215742,-29.6843181632604,18.334569325044658,0.0125,0.9726910883365346,-18.055190890904175,-31.196475052263946,13.14128416135977
14.0,0.0275,0.9078287591038363,-12.034840419584699,-28.878722597292573,16.843882177707876,0.005,0.49383267258327457,-62.26403436208634,-91.17904434130507,28.91500997921873,0.0275,0.9048639011122132,-11.75245883393471,-19.60162256812081,7.849163734186099,0.01,0.9461680646114429,-20.657009818104232,-35.53324181830818,14.876232000203945
15.0,0.025,0.820566276831399,-11.782149766681258,-24.890765910984733,13.108616144303475,0.005,0.7145553967842747,-67.9872221647319,-75.6964977083699,7.709275543638,0.025,0.8139760751286294,-13.446413300220755,-21.692532443511713,8.246119143290958,0.01,0.8951596279515168,-20.51369402912136,-42.64504973569275,22.13135570657139
