,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.05105412609214159,-74.74570862325047,-90.30873363092333,15.563025007672863,0.005,0.9032583821158431,-105.46408936852947,-109.68220784668424,4.218118478154764,0.005,-0.09585789117483764,-77.7698495031353,-92.35914205785456,14.58929255471925,0.005,0.1409635853029994,-85.68071912433828,-104.63955825618444,18.95883913184616
1.0,0.005,0.30082771580633305,-78.26753380436409,-84.28813371764372,6.020599913279625,0.005,0.8604260624331985,-104.51856842545936,-115.41479937999826,10.896230954538893,0.005,0.37516649395856033,-81.0485661636881,-95.05160648794546,14.00304032425737,0.005,0.03715741090489269,-87.8771479330724,-97.43197908254052,9.554831149468129
2.0,0.005,0.02754058353019931,-78.26753380436409,-90.30873363092333,12.041199826559236,0.005,0.7515155764682321,-102.80051848560637,-107.83783102695098,5.037312541344605,0.005,-0.002937026400002912,-80.95372596060736,-123.92288128156282,42.969155320955466,0.005,0.07771386132763637,-86.84672661283648,-99.827614106267,12.98088749343053
3.0,0.005,0.11997595031858078,-80.76630853653009,-90.30873363092333,9.542425094393238,0.005,0.866086035706997,-99.98357083083916,-115.2484542261705,15.264883395331339,0.005,0.11629524789129496,-83.03249650224899,-116.29903150305591,33.266535000806925,0.005,0.010395253568588047,-88.73137128349954,-113.72786590091235,24.996494617412807
4.0,0.005,0.08052672046113105,-84.28813371764372,-133.97940008672037,49.69126636907666,0.005,0.5577427252264895,-99.37731227380637,-107.73560666086239,8.35829438705602,0.005,0.09473655656167816,-84.01653566135792,-107.87024634850894,23.853710687151022,0.005,0.0518108697487461,-89.1006292438165,-106.3989923681892,17.2983631243727
5.0,0.005,0.1003332733218258,-84.28813371764372,-90.30873363092333,6.020599913279611,0.005,0.7362711372887633,-101.65382194056514,-126.96312322173823,25.30930128117309,0.005,0.01984070202765271,-89.04785427304137,-100.67043914628856,11.622584873247192,0.005,0.007376642316778123,-89.39689245276703,-127.22956420172872,37.83267174896169
6.0,0.005,-0.0029620200107740363,-90.30873363092333,-133.97940008672037,43.67066645579705,0.005,0.2398495510569848,-100.60986311867373,-101.35096096861511,0.741097849941383,0.005,-0.009656411118824194,-91.25813334317624,-96.20494077977342,4.946807436597183,0.005,0.056715269933409966,-89.9348566047213,-92.40001483645796,2.465158231736652
7.0,0.005,0.05263195312341411,-90.30873363092333,-90.30873363092333,0.0,0.005,0.5771407565533792,-95.76673361480077,-105.7545156095665,9.987781994765726,0.005,0.02598892363305925,-90.69525335688999,-110.74928323261588,20.054029875725888,0.005,-0.032317002385284024,-90.56319982501276,-99.56971492878355,9.006515103770795
8.0,0.005,0.027474654219073923,-90.30873363092333,-133.97940008672037,43.67066645579705,0.005,-0.0983344333889879,-100.89024668024291,-123.11876739234552,22.228520712102608,0.005,-0.01906213766737127,-100.62178004251741,-133.97940008672037,33.35762004420296,0.005,0.11003170268774419,-90.6770906346743,-133.97940008672037,43.302309452046075
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.917233130407157,-119.33277432568079,-131.92443172718117,12.591657401500385,0.005,-0.7861205417796038,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.519604181173469,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.7529828192552164,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.8414125738687109,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.12906763367816165,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.750391459915838,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.6898452720315813,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.8451848780346728,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.8705795119895041,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.8956453165907156,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.6626063112515296,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
