,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.005,0.3406585749316338,-90.30899869919435,-90.30899869919435,0.0,0.005,0.8108661752059592,-102.99828524250451,-105.32478770242935,2.326502459924839,0.005,0.17402025846717187,-90.60202671340355,-105.75506690568722,15.153040192283669,0.005,0.08557027315106455,-90.49537364598145,-114.34060436951826,23.845230723536815
12.0,0.005,-0.07652175747845241,-72.24719895935547,-90.30899869919435,18.061799739838875,0.005,-0.4317639569447468,-97.50594942259826,-100.29854162498123,2.792592202382963,0.005,-0.14503355351243827,-73.31768229366952,-120.19813481565527,46.880452521985745,0.005,0.11152946352097522,-83.51296621283048,-96.71504315063287,13.202076937802389
13.0,0.01,0.9997179212678274,-24.41526621360549,-35.741923058769785,11.326656845164294,0.005,0.8752340797136919,-81.65135209193083,-96.04677834628504,14.395426254354206,0.0075,0.9997027488732636,-25.961613669815797,-49.600874550886346,23.63926088107055,0.005,0.9998540192380498,-31.045299389026738,-47.85009930005781,16.804799911031076
14.0,0.01,0.9990281703610085,-22.465615709399636,-41.876920161797734,19.4113044523981,0.005,0.9939819464161792,-81.25696385495999,-86.43637565385987,5.179411798899878,0.0075,0.9991319784091279,-25.010185531388892,-34.4293275286924,9.419141997303505,0.005,0.9987851230549287,-28.308637504675378,-42.4842398653286,14.175602360653219
15.0,0.025,0.9995338776553406,-11.66662925861191,-34.76046225140812,23.093832992796212,0.005,0.9996448778104057,-64.11898577321962,-66.860826868028,2.741841094808379,0.0275,0.9995818161012462,-11.913971635460944,-26.467582137741637,14.553610502280693,0.005,0.9956970766299721,-30.91466695420153,-57.78487641528613,26.8702094610846
