,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,0.07649135071134114,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,0.9710576472823587,-104.56635302650552,-129.38024326657032,24.813890240064794,0.005,0.17473814179853192,-97.26962662096854,-108.40621581691371,11.136589195945177,0.005,0.06167331079945251,-93.07764040805417,-118.40383982847668,25.326199420422512
5.0,0.005,-0.004416211105919649,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,0.8183141605358005,-110.50254615999668,-123.52514721957257,13.02260105957589,0.005,0.05958358973893062,-101.67852242110229,-113.35875968339708,11.680237262294796,0.005,-0.009153604813117337,-93.2157782025584,-101.63592633934441,8.420148136786011
6.0,0.005,0.05973697256910845,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.09751610642818867,-115.55123985386555,-121.40929144297687,5.858051589111312,0.005,0.008456163645317264,-100.03392973734053,-112.99197840877567,12.958048671435137,0.005,0.036527140816360215,-94.16352363117906,-101.63892503756716,7.475401406388102
7.0,0.005,0.11287040729398251,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,-0.3422355996492859,-117.45695487715587,-123.1578515536361,5.700896676480241,0.005,0.03835292893859127,-100.34604073415647,-108.54030945610178,8.194268721945306,0.005,0.016533574973745874,-93.64986098656823,-97.7561744152716,4.106313428703373
8.0,0.015,-0.5093624895391271,-14.434587562923891,-21.717182654728326,7.282595091804435,0.005,-0.9440910399186674,-28.012447347860352,-31.835746323227617,3.8232989753672655,0.0125,-0.21825351055967682,-18.119699100336774,-22.42778701956622,4.308087919229447,0.005,-0.19859553316994039,-26.71445121403735,-30.521691591913868,3.807240377876518
9.0,0.015,-0.5810112564313543,-15.707895651684362,-37.88547306369365,22.177577412009292,0.005,-0.9343598901747954,-27.612872520865256,-40.04830786029024,12.43543533942498,0.0125,-0.16664417732915848,-19.105661758190344,-28.628403907039587,9.522742148849243,0.005,-0.2207732371560315,-29.35066032882142,-62.36984627498751,33.01918594616609
10.0,0.0125,-0.5450112105313757,-18.59978410902434,-33.34521635936638,14.745432250342041,0.005,-0.9350725684866007,-28.75543095108752,-44.123924848641316,15.368493897553797,0.0075,-0.10201477984125387,-21.526593176395295,-47.56065020846685,26.03405703207156,0.005,-0.17989166752127075,-33.520883778871244,-88.83436494885117,55.31348116997993
11.0,0.0075,-0.4011123488124727,-21.459403317905384,-33.11422737525142,11.654824057346033,0.005,-0.8891048252169768,-31.70049789284444,-43.861023177447166,12.160525284602727,0.0075,-0.07508995986797083,-24.345280102175938,-42.143406198419186,17.798126096243248,0.005,-0.238525228702878,-37.01147763508193,-73.70119837588146,36.68972074079953
12.0,0.0075,-0.2064159040839646,-22.388500767022492,-35.82348130717857,13.434980540156076,0.005,-0.23910049613214235,-33.955595401361194,-52.53432331069456,18.578727909333367,0.005,-0.2893436731550296,-26.569158125609725,-34.19196420270818,7.622806077098453,0.005,-0.06671566528801967,-38.79171268537116,-55.71136691096348,16.919654225592318
13.0,0.0075,-0.09440465540573925,-23.444766895599404,-40.4259068188255,16.9811399232261,0.005,0.0005386793693135769,-33.316157030715615,-49.75260090687512,16.4364438761595,0.005,-0.12475360611406443,-27.8017206104439,-32.55194894041591,4.7502283299720105,0.005,-0.28516292671065263,-39.53665838496799,-65.11463142202332,25.57797303705533
14.0,0.0075,-0.5863847594202176,-22.88025235111234,-35.82348130717857,12.943228956066228,0.005,-0.8157131024858338,-29.191547853274564,-34.177175893978045,4.985628040703482,0.005,-0.19508498041492262,-26.081942010472527,-38.542663803917,12.460721793444474,0.005,-0.0847057432479862,-35.30981432554264,-80.05381940059017,44.74400507504753
