,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.1,0.993802716462792,-0.08443701064823596,-5.062825204213871,4.9783881935656344,0.005,0.9476108403262329,-37.47122612733877,-49.417257572533124,11.946031445194357,0.125,0.9952154996415509,2.273405643040996,-4.976366136077753,7.249771779118749,0.03,0.9390324146815033,-10.555859752528926,-17.414849397954587,6.858989645425661
10.0,0.085,0.9894814394198598,-0.8372157995667651,-14.054741363886983,13.217525564320217,0.005,0.9962115610754044,-36.32157274549377,-83.16599526757444,46.84442252208068,0.09,0.9909766048027842,0.1545626829281826,-13.799515327285523,13.954078010213705,0.015,0.8895910895158535,-17.383637333665458,-24.682349475481825,7.298712141816367
11.0,0.0625,0.9350899759776518,-4.34810184717476,-17.54121054588764,13.19310869871288,0.005,0.9896895622096994,-45.948371675370716,-103.31523158721268,57.36685991184196,0.0625,0.94062202732783,-4.213620845501821,-18.606047978492043,14.392427132990221,0.01,0.6250346600711473,-21.886384257231526,-52.19764412620431,30.311259868972783
12.0,0.05,0.8889997849709909,-6.37552868943315,-9.520716315671615,3.1451876262384655,0.005,0.9311623305465728,-52.564558429175115,-58.4343845304409,5.869826101265787,0.05,0.8951066823406598,-5.48947514457114,-11.01543139745682,5.525956252885681,0.01,0.44181788330755384,-21.39358942887486,-31.006792210308454,9.613202781433593
13.0,0.0475,0.8245690823326552,-6.8423590918213675,-41.30401653280713,34.46165744098577,0.005,0.9465741280156214,-52.89069981138144,-58.92444947022467,6.033749658843234,0.05,0.8422507749824595,-5.941605395450399,-26.954637655487332,21.013032260036933,0.01,0.3451667037995023,-21.189275937295896,-46.135711335178044,24.946435397882148
14.0,0.0475,0.7393324119135148,-5.68317577082737,-12.361956012308097,6.678780241480727,0.005,0.9707642382449083,-53.966306551469486,-63.78557456331929,9.8192680118498,0.0475,0.7438796773257749,-6.266718018289989,-39.31999582466772,33.053277806377736,0.01,0.4043182358577908,-20.74452305973054,-26.700211642607353,5.955688582876814
