,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.2445252093809588,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.889503019565903,-103.50574518548649,-114.12457211482462,10.618826929338127,0.005,0.10329039383755083,-96.51969926322528,-107.49427881416933,10.974579550944057,0.005,-0.04858958082927188,-90.61821665578618,-102.27244642594306,11.654229770156874
7.0,0.005,-0.0030812241049870425,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.08382879095608486,-103.5128159631418,-133.97940008672037,30.46658412357857,0.005,-0.09116228713973135,-97.51570971618479,-102.37282062244672,4.857110906261937,0.005,0.051276879611178404,-88.05254431360025,-92.03330200864724,3.9807576950469894
8.0,0.005,0.7564099875867375,-76.32959861247397,-90.30899869919435,13.979400086720375,0.005,0.8575598877209589,-85.20433362939663,-109.86306731378872,24.65873368439209,0.005,0.7281873797411327,-88.28547330490824,-99.10614870414518,10.820675399236947,0.005,0.03189836975572673,-88.63644648358034,-124.51820685129229,35.88176036771195
9.0,0.005,0.8093336738397515,-70.30899869919435,-78.2677988726351,7.95880017344075,0.005,0.9809751347182813,-80.74877902491002,-81.8079491468169,1.0591701219068739,0.005,0.8954197133788583,-81.73894569682297,-94.01953626232158,12.280590565498613,0.005,-0.009915758052641646,-86.12551486736118,-91.71938476223616,5.5938698948749845
10.0,0.0325,0.9998349870306762,-9.805340012485374,-22.76287367783038,12.957533665345007,0.0075,0.9999511306973623,-22.219686475667114,-26.25821354114067,4.038527065473556,0.0225,0.9999088456216793,-13.714301648947558,-17.35134364636459,3.6370419974170325,0.015,0.9994029288263454,-18.083456080691718,-48.42130443185059,30.33784835115887
11.0,0.0225,0.9995553197463819,-13.024712089967764,-23.048046808772487,10.023334718804723,0.0075,0.9999125908609641,-24.612939191962518,-32.011196353183855,7.398257161221338,0.0175,0.9998438627119314,-15.40609823333134,-30.687325740250103,15.281227506918762,0.015,0.9988338405281305,-18.822615186962476,-30.62834653769074,11.805731350728262
12.0,0.0175,0.9995440598818551,-15.013524360973548,-37.18703465893772,22.17351029796417,0.005,0.9999612367643401,-29.975066727447583,-32.99278055500836,3.017713827560776,0.0125,0.9999199069691131,-17.691920079785795,-42.62657926706028,24.934659187274484,0.01,0.9981635549762392,-22.556470993428334,-36.93840796578549,14.381936972357153
13.0,0.0175,0.9995248719648998,-16.17805664638721,-42.99923900137636,26.82118235498915,0.005,0.9998065932663156,-32.84228621765782,-75.0613450811335,42.219058863475674,0.0125,0.999871154794999,-19.565900212331343,-46.395713503500666,26.829813291169323,0.01,0.998343889024378,-22.73303507016234,-35.27401148648525,12.54097641632291
14.0,0.01,0.9993873584473478,-22.650655997443735,-37.28343841923147,14.632782421787738,0.005,0.9997667178791135,-43.24008958978511,-45.03413473362264,1.7940451438375362,0.005,0.9996116887565654,-33.20676889964706,-70.99764145393083,37.790872554283766,0.005,0.9987037057915364,-27.293858761051702,-56.377127743947,29.083268982895298
