,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.9999999999999999,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.9999999999999998,-93.92525170348387,-98.23051223086453,4.305260527380668,0.005,1.0,-99.17610591364232,-119.51987148977483,20.343765576132512,0.005,1.0,-96.37548727421722,-127.05347509964415,30.677987825426925
3.0,0.0425,0.9703642053636831,-7.671494939742503,-13.149088787975877,5.477593848233374,0.0325,0.9955879156676647,-9.381905476386072,-12.446253099039815,3.0643476226537434,0.015,0.6960465148407814,-17.555295907279504,-24.10479320151433,6.5494972942348255,0.005,0.9976373199267928,-29.92404316600176,-50.79133978908167,20.86729662307991
4.0,0.035,0.9276506545343878,-8.413289342803191,-18.27431573399226,9.86102639118907,0.0325,0.9862547576638899,-9.273032307700337,-20.77879321776536,11.505760910065025,0.02,0.7266922989522339,-14.28601932121309,-18.943875872145437,4.6578565509323475,0.005,0.9977344018657085,-28.208769525451835,-56.32143280462593,28.112663279174093
5.0,0.0375,0.9196219465317254,-7.882398740472549,-19.0251494866704,11.142750746197851,0.0225,0.9847070356057076,-13.031358497648938,-28.514321407256247,15.48296290960731,0.02,0.7418252368369174,-14.179665584487287,-22.502320979586084,8.322655395098797,0.0075,0.9970458137683551,-25.374405139566694,-37.3558104462496,11.981405306682905
6.0,0.025,0.873736992212013,-10.969278196835596,-17.347656110215663,6.378377913380067,0.02,0.9575167626636754,-13.536868862201864,-21.588765254135573,8.05189639193371,0.015,0.4406551227121315,-19.57514587296139,-24.98050407746851,5.40535820450712,0.01,0.9957824309920381,-22.839493776555827,-56.12295958346888,33.28346580691305
7.0,0.0275,0.7889203968456426,-11.858641494302129,-21.8440812204582,9.985439726156072,0.0175,0.9032881959684965,-15.968433840631612,-24.242857161873587,8.274423321241976,0.01,0.16121382194074993,-20.924533678766277,-27.483587691508845,6.559054012742568,0.01,0.9971221176756491,-22.336384991280983,-41.579494599440984,19.24310960816
8.0,0.0325,0.7622821750298409,-9.323862754549813,-18.672280218041397,9.348417463491584,0.015,0.8324196689565868,-16.733604272547282,-19.619072161469898,2.8854678889226157,0.0175,0.5205430391073277,-14.329921789290413,-24.911018028098006,10.581096238807593,0.025,0.9988798203367442,-12.254119541863599,-20.42062111774088,8.16650157587728
9.0,0.035,0.6162875368706553,-10.18310153956665,-28.54627692518333,18.36317538561668,0.015,0.7337926943671861,-19.531436029627912,-57.10883874512117,37.57740271549326,0.0175,0.41006222814249116,-15.218140814602254,-22.43643707500217,7.218296260399917,0.025,0.9973230223927672,-12.879706875568635,-44.56766521194308,31.687958336374443
10.0,0.02,0.3078571314187628,-15.148938513198376,-24.75681441311253,9.607875899914154,0.01,0.348290039465935,-20.879357343929243,-26.403720077156677,5.524362733227434,0.01,0.30507857506369784,-20.048599361951247,-33.14695774177869,13.098358379827445,0.01,0.9894342865702774,-21.19837643836105,-34.114424424284515,12.916047985923466
11.0,0.0475,0.6754194149341213,-6.06418092316367,-18.802932030746376,12.738751107582706,0.01,-0.0647381772044894,-20.908975592456013,-32.99068681069364,12.081711218237626,0.0425,0.9356776166067342,-7.25224293898557,-25.3502516769762,18.09800873799063,0.025,0.9984276492667864,-12.86978020091915,-18.80316120294649,5.933381002027341
12.0,0.0325,0.4091310117309735,-9.722946828014393,-16.70047528203145,6.977528454017058,0.01,-0.5928169946824365,-20.966184402653862,-22.2560460371702,1.2898616345163383,0.0225,0.9021149877507989,-12.87972803285006,-21.483890878023686,8.604162845173626,0.02,0.997126599181121,-15.21320018778721,-25.65669566748648,10.443495479699271
13.0,0.0325,-0.09004570212081862,-9.410367776211157,-30.727140686427823,21.316772910216667,0.0125,-0.8837710860399359,-19.236034579798925,-27.29977376210893,8.063739182310005,0.0175,0.7437332030180499,-15.78551040566823,-30.212102819843118,14.426592414174888,0.02,0.9945717683661509,-15.489418267546744,-32.762548387303916,17.27313011975717
