,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.023012046304903278,-38.37705678666515,-65.70002027162887,27.322963484963722,0.005,0.021079752594354302,-63.227052474367284,-80.24800587590741,17.020953401540126,0.005,0.011864039974373665,-41.030245705468246,-44.18884953948564,3.1586038340173914,0.005,0.21094399228167568,-54.992510512414256,-57.86393835243761,2.871427840023351
1.0,0.005,0.054537328314112815,-38.62237421184374,-48.301587796843094,9.679213584999353,0.005,0.5934458303650246,-67.44219061205575,-68.4667046522675,1.0245140402117414,0.005,0.051454656588283645,-39.32464792778919,-78.40954460062413,39.084896672834944,0.005,0.11998733101559322,-56.757548613864934,-66.21956939163726,9.46202077777233
2.0,0.005,-0.07350835339354635,-38.35509498068411,-41.12114894400974,2.766053963325632,0.005,-0.13657254037197605,-64.77806360173437,-93.30508293488327,28.5270193331489,0.005,-0.07436042927105566,-38.59217806447958,-44.34075415235763,5.74857608787805,0.005,0.16136455597529034,-54.612170391640696,-73.43507362497365,18.82290323333296
3.0,0.005,-0.08512330935762534,-39.603116298338946,-44.87216656846438,5.269050270125433,0.005,0.6472026543211016,-64.86056893310882,-90.379845234474,25.51927630136518,0.005,-0.11087423736066246,-38.43473854883382,-72.07383619277996,33.639097643946144,0.005,0.23557858743719126,-54.90442075641863,-63.12943340619948,8.225012649780851
4.0,0.005,-0.008375312460201295,-37.927132086659505,-66.22659904607586,28.299466959416357,0.005,0.26865835506970187,-65.27717069506518,-86.63243708052289,21.35526638545771,0.005,-3.192757957165695e-05,-37.44833013385154,-56.653264951609344,19.204934817757803,0.005,0.145466945144902,-55.04662966476448,-65.183068495785,10.136438831020513
5.0,0.005,-0.1501860775675061,-40.37040573773005,-50.84644162720038,10.476035889470324,0.005,0.05346075834552708,-61.668184060271656,-97.63892272149678,35.97073866122513,0.005,-0.16527439740186448,-39.57807850814076,-46.2760585414899,6.69798003334914,0.005,0.3037260067071144,-55.64710104126242,-65.14567956292487,9.498578521662452
6.0,0.005,-0.22407014057994665,-38.645023219821894,-40.23318503805073,1.5881618182288335,0.005,0.446324231040928,-62.33021848645183,-62.33021848645183,0.0,0.005,-0.2381175954158367,-36.7367087931712,-42.27450702593322,5.5377982327620145,0.005,0.16663834556095383,-53.90063942178135,-98.18082607932035,44.280186657539005
7.0,0.005,-0.4056166098701857,-36.64805793441736,-56.86704154048,20.218983606062643,0.005,-0.028645926317221414,-59.752392137976344,-81.40577808107102,21.653385943094676,0.005,-0.4094970787070696,-36.752254188694465,-50.938396240688505,14.18614205199404,0.005,0.11931041617035967,-53.76091370633237,-69.0942704952236,15.33335678889123
8.0,0.005,-0.4497139995173566,-38.24611124679071,-59.67942035834925,21.433309111558536,0.005,0.17195779601856614,-63.25734827836292,-72.70373321548374,9.446384937120818,0.005,-0.487985611471786,-38.84105769048263,-60.16153165136786,21.32047396088523,0.005,0.16858880145574467,-54.490062114757414,-64.75923807283897,10.269175958081554
9.0,0.005,-0.34501689952900594,-35.01053900619659,-51.518613646821976,16.508074640625388,0.005,0.2763187381100669,-60.793233387688595,-61.896899930408296,1.1036665427197008,0.005,-0.3724693331401445,-36.26523480767762,-75.68546245060644,39.420227642928815,0.005,0.09661451633282671,-55.06887210251466,-66.87118875369903,11.80231665118437
10.0,0.005,-0.174259694932259,-37.499369959785916,-43.1884815553319,5.689111595545981,0.005,0.08942139556251068,-61.941561510434184,-87.86362523979244,25.922063729358257,0.005,-0.16982415796766367,-37.286579930657396,-39.89148453229208,2.6049046016346864,0.005,0.23881000346597753,-54.55279044562197,-64.34361999386172,9.79082954823975
11.0,0.005,0.17451512689786852,-35.31427238781313,-52.69272685357852,17.378454465765387,0.005,0.6044192145370874,-61.269115860819184,-74.15932469873363,12.890208837914443,0.005,0.1814046690986174,-35.83254994592814,-45.24148771689039,9.408937770962247,0.005,0.1379167351075992,-54.202651047886626,-74.69892952892889,20.49627848104226
12.0,0.005,-0.1031987772588406,-36.63005608416411,-51.128170852772485,14.498114768608374,0.005,0.03781732607094267,-59.22932135821896,-78.45717143257136,19.227850074352396,0.005,-0.10363847376994309,-36.92749879259762,-42.94526138228583,6.0177625896882105,0.005,0.17704732635379913,-52.99460239411643,-64.4422176334681,11.447615239351677
13.0,0.005,-0.35020171702912034,-37.47951648911237,-43.421153225492134,5.941636736379763,0.005,-0.45000216267433896,-62.49873679269967,-72.05581517357766,9.55707838087799,0.005,-0.37495428904470424,-38.06996094716464,-46.877010060137,8.807049112972365,0.005,0.11247190171280136,-52.069671208877736,-86.7689699832173,34.69929877433957
14.0,0.005,-0.27830196898793325,-34.80407350438963,-63.46054508275023,28.656471578360602,0.005,0.7668790144661612,-65.3134815511291,-71.86928040888846,6.555798857759356,0.005,-0.2946262869891795,-35.82055311332987,-53.38111249636131,17.56055938303144,0.005,0.11273314201779079,-52.26591872651237,-65.59266241075962,13.326743684247248
15.0,0.005,-0.061856909366875344,-36.0391878373155,-40.56623118965063,4.527043352335127,0.005,0.7176212441197725,-59.74174029316441,-71.95818903113027,12.216448737965862,0.005,-0.1061070217725951,-37.7329755520187,-49.76696671919178,12.033991167173077,0.005,0.06510238216145599,-53.151326507528864,-64.98865555009553,11.837329042566665
