,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.04060614288447748,-83.78334675842254,-89.80394667170216,6.020599913279625,0.005,0.982437759391739,-102.73781842289587,-125.60988674790491,22.87206832500904,0.005,0.1530605920324823,-97.37426071792363,-107.60189936782355,10.227638649899916,0.005,0.018353195557113778,-90.5696953920916,-98.56958294406694,7.999887551975334
1.0,0.005,0.03644826594809753,-83.78334675842254,-89.80394667170216,6.020599913279625,0.005,0.7222933601086466,-111.45987359411751,-128.13123824053164,16.671364646414133,0.005,0.030636024662927187,-99.22451296427836,-109.79478581959046,10.570272855312098,0.005,0.016363038211754104,-90.02355444773322,-119.14601671742719,29.12246226969397
2.0,0.005,-1.7439437615189085e-05,-83.78334675842254,-133.97940008672037,50.196053328297836,0.005,0.13281469650214484,-113.54004845373198,-125.33238072875749,11.792332275025501,0.005,-0.025532670230013887,-100.02874196051158,-107.68358955637052,7.654847595858939,0.005,-0.01718878555992233,-90.49504666201933,-108.40161179063985,17.906565128620514
3.0,0.005,0.0008268188462182866,-83.78334675842254,-133.97940008672037,50.196053328297836,0.005,-0.4466796335917575,-112.9051388012259,-114.43497625263875,1.5298374514128454,0.005,0.10911588749836656,-100.66459490911063,-107.03569171838816,6.371096809277532,0.005,0.06449510347070374,-90.99555679584718,-98.22502848495743,7.229471689110255
4.0,0.005,0.009456474805932917,-83.78334675842254,-89.80394667170216,6.020599913279625,0.005,0.5479577594418124,-110.86737931290897,-133.97940008672037,23.11202077381141,0.005,-0.06865999307196555,-99.19072084199138,-133.97940008672037,34.788679244728996,0.005,0.050985464103941065,-89.17308294633771,-119.95099892263434,30.777915976296626
5.0,0.005,0.017842168805288917,-83.78334675842254,-133.97940008672037,50.196053328297836,0.005,0.4143584596244864,-119.31647390472116,-133.97940008672037,14.662926181999211,0.005,-0.018589365183017768,-97.45006877445228,-110.87470101099598,13.424632236543701,0.005,0.042399838179340836,-90.37771239568525,-127.25085348179731,36.87314108611206
6.0,0.005,0.030268919889029654,-83.78334675842254,-133.97940008672037,50.196053328297836,0.005,0.14862924465123725,-115.56435391767124,-133.97940008672037,18.415046169049134,0.005,0.10004833436937058,-97.0179984932995,-125.60169267050655,28.58369417720705,0.005,0.029590397617459487,-89.0045658438581,-109.97030371193985,20.965737868081746
7.0,0.005,0.010471505186110733,-83.78334675842254,-89.80394667170216,6.020599913279625,0.005,-0.5073864293416108,-112.72463553027603,-133.97940008672037,21.254764556444343,0.005,-0.00870804818189836,-98.26699171169066,-107.419755783653,9.152764071962338,0.005,-0.011926354505053662,-89.85681158162863,-112.1757527608189,22.31894117919026
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9966692743470161,-103.55005812196517,-114.88011364776021,11.330055525795046,0.005,0.9624287228428424,-99.90442499148806,-133.97940008672037,34.07497509523232,0.005,0.5000373100206625,-102.45535426288666,-133.97940008672037,31.524045823833717
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9992655005630168,-113.48840195090902,-131.37726098157202,17.888859030663,0.005,0.993150118423655,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9424589114815598,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9991565599972454,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9924683978947577,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9756942547644943,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9985317406684423,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9953841216326442,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9980920000886792,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9888172016456046,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9987300828481325,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9960253595554257,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
14.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9992444989006973,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9887934212364206,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
15.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9993573133291979,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.995395638084998,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
16.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9991428553672815,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9924377094862168,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
17.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9985046970242047,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9931776261177016,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
18.0,0.005,0.41624324238254784,-61.17667160562216,-70.7190967000154,9.542425094393238,0.005,-0.8153043738910336,-77.19412242293217,-77.7814806516513,0.5873582287191255,0.005,0.7206066503980505,-61.895159387908684,-80.26309454866409,18.3679351607554,0.005,-0.02660342604689566,-68.56248761269887,-80.88805571903755,12.325568106338679
19.0,0.005,0.32966160566499614,-60.86078632398602,-74.2409216640293,13.380135340043282,0.005,-0.1350970393841912,-70.16048129916425,-71.91245798620193,1.7519766870376827,0.005,0.6267068554642115,-61.91132730735143,-78.06441173852275,16.153084431171322,0.005,-0.0955006543989634,-70.53349876521688,-123.99886215125498,53.465363386038106
20.0,0.0375,0.9061984461684445,-7.5820587197658025,-17.725910547309883,10.143851827544081,0.005,0.8962596177885499,-43.74751682907103,-64.66429163199084,20.916774802919804,0.035,0.9133458291628359,-8.9435448413083,-21.696122512455574,12.752577671147273,0.005,0.7179189534737693,-34.32123518866828,-49.88441856498122,15.563183376312935
21.0,0.0425,0.9233915333305414,-7.089847562509633,-20.771288223296118,13.681440660786485,0.0125,0.9032447629268163,-19.930885765577383,-32.948433168772794,13.017547403195412,0.04,0.9285682842853664,-7.735797336609127,-38.802279829183675,31.066482492574547,0.005,0.7411615517197406,-34.280896835782976,-48.67718128605223,14.396284450269256
22.0,0.0325,0.6149360127457565,-9.798737251813652,-19.582329845243372,9.78359259342972,0.01,0.9242859606301341,-23.19853030563832,-35.45564795098962,12.2571176453513,0.03,0.5934722659215469,-11.409305722808195,-20.797498890763695,9.3881931679555,0.005,0.5629823495526519,-36.43138886088814,-42.418702144637884,5.987313283749742
23.0,0.0275,0.43375338857585566,-10.75197245312794,-17.991567960333555,7.239595507205614,0.005,0.4887633812989952,-30.887860574128965,-40.59594551389057,9.708084939761605,0.03,0.43541417550112205,-10.48542033470711,-22.742961761117634,12.257541426410524,0.005,0.7023196820580357,-37.38420774582601,-48.882699300390236,11.498491554564225
