,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,0.4368494169516857,-83.99921547491294,-133.97940008672037,49.98018461180743,0.005,0.9998850544775022,-103.74724462167686,-107.65317512987923,3.905930508202374,0.005,0.41146687499287016,-97.97521558760388,-119.21463415280854,21.23941856520466,0.005,-0.08302992405952944,-92.43867949407763,-104.94290713438488,12.50422764030725
10.0,0.005,0.04188516558155556,-83.99921547491294,-90.01981538819257,6.020599913279625,0.005,0.9467293866026721,-103.04705257330494,-110.45309233354251,7.406039760237576,0.005,0.10184756619512458,-99.73096849919641,-106.39953393153307,6.668565432336663,0.005,0.028325710348343736,-91.57396280324596,-99.50704016313566,7.933077359889694
11.0,0.005,0.006824995321300107,-83.99921547491294,-133.97940008672037,49.98018461180743,0.005,0.7436204901340931,-110.37150700909464,-122.54771696430515,12.17620995521051,0.005,-0.006564479274020858,-99.22798975776195,-108.20133243388076,8.973342676118818,0.005,0.01995528983163968,-90.04794460778093,-111.06729489823982,21.01935029045889
12.0,0.005,-0.010878474840229298,-83.99921547491294,-90.01981538819257,6.020599913279625,0.005,-0.03533151912451449,-115.33577566794804,-124.75748058156779,9.421704913619749,0.005,-0.057928796143715426,-99.79163734249404,-120.11201383828315,20.320376495789105,0.005,0.0007695281420315567,-90.10718525325788,-105.50450739428909,15.39732214103121
13.0,0.005,0.012131164677254665,-83.99921547491294,-90.01981538819257,6.020599913279625,0.005,-0.0882839479371304,-114.8070478718904,-116.34637483239153,1.5393269605011284,0.005,0.015179729619991708,-99.37993601160741,-104.29115032601314,4.911214314405726,0.005,0.0065900679755497025,-91.62722446528173,-99.85020165664899,8.222977191367264
14.0,0.005,0.034173885669560325,-83.99921547491294,-90.01981538819257,6.020599913279625,0.005,-0.02043077406326567,-113.79740461139613,-133.97940008672037,20.181995475324243,0.005,-0.0259022285545961,-98.78170545951289,-102.52020805752719,3.7385025980142927,0.005,0.0033839359538434164,-90.22898928753101,-108.74398040392384,18.514991116392835
