,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.005,1.0,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,1.0,-96.58114190183561,-105.43502833820082,8.853886436365215,0.005,1.0,-99.04775922960361,-114.11886784542978,15.071108615826162,0.005,1.0,-92.72630558734805,-110.22013428631426,17.49382869896621
2.0,0.005,0.306218456984433,-27.70232332929423,-29.193789405439663,1.4914660761454321,0.005,0.13652235628635825,-53.72379609642469,-59.193256906768866,5.469460810344174,0.005,0.14637872232167573,-29.473255649853577,-34.93323091113376,5.459975261280185,0.005,0.31185843649886585,-63.58459507363756,-83.83637684883485,20.251781775197287
3.0,0.02,0.08414853165484426,-14.63950294754943,-22.976804491345764,8.337301543796334,0.005,0.033289875274953654,-28.12978955977797,-32.13827690078019,4.008487341002223,0.0175,0.12688198612003143,-15.896578271233949,-33.587922055629214,17.691343784395265,0.005,0.07460711576834907,-46.44873999387265,-61.610221721152136,15.161481727279487
4.0,0.02,-0.011973192091741485,-15.800567697709184,-45.05997690458577,29.259409206876583,0.005,0.04760291136329842,-28.928422589373554,-31.917416020959486,2.988993431585932,0.0175,-0.05161054563356466,-16.055563568760675,-21.50892332710557,5.453359758344895,0.005,0.10057054112120488,-47.65938670314909,-69.29037072807252,21.63098402492343
5.0,0.015,-0.033094008261338674,-17.665929028981704,-39.67942035834925,22.013491329367543,0.005,0.35372015962761394,-29.338703082993717,-29.86291288453948,0.5242098015457621,0.015,-0.10392856025165811,-18.107906723989174,-23.961259639897413,5.853352915908239,0.005,-0.05292352673140629,-49.42671703247723,-64.1321470045279,14.705429972050666
6.0,0.015,0.23686014142205175,-17.120183061788005,-31.071089225837348,13.950906164049343,0.005,0.7495569640433678,-28.413641220183067,-33.22614762698261,4.8125064067995424,0.015,0.10297382029742962,-17.135699141340254,-35.40405057327527,18.268351431935017,0.005,-0.07343657018331709,-43.303576059843124,-76.48501153046618,33.18143547062306
7.0,0.0125,0.7438553979637201,-17.992101041700316,-23.786379564978468,5.794278523278152,0.005,0.5313331788536455,-26.91784677399803,-43.24217153989171,16.324324765893678,0.0125,0.8150472993877669,-17.390460565982025,-21.582519888267257,4.192059322285232,0.005,0.06429871865114489,-48.444563826634656,-56.192906678578794,7.7483428519441375
8.0,0.0175,-0.044460127288498116,-16.369645884313893,-24.05698991396917,7.687344029655275,0.005,0.10239555159874376,-28.654681828480044,-30.143301249720494,1.4886194212404504,0.015,0.041628374558522016,-17.411558102048062,-27.3342810943941,9.922722992346038,0.005,-0.04228183927133512,-47.05411814876672,-58.29555888935313,11.241440740586413
9.0,0.0175,-0.43974364664752114,-15.156523781026577,-30.809558813232975,15.653035032206398,0.005,0.10303979496798552,-27.117385528345213,-41.056294090364574,13.93890856201936,0.015,-0.5135510910881412,-16.8582727066711,-31.568533662933387,14.710260956262285,0.005,0.08286656836280348,-47.83272025252674,-57.91990143350233,10.087181180975591
