,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.5486556960998412,-74.74597369152148,-80.76657360480111,6.020599913279625,0.005,0.9672753024980649,-87.77284643397795,-111.96857519714904,24.19572876317109,0.005,0.5874278766520019,-81.65818474047782,-105.62307675110495,23.964892010627125,0.005,0.13491194289908282,-85.89710904295248,-114.7306621303988,28.83355308744632
1.0,0.005,0.5454720944796062,-74.74597369152148,-84.28839878591472,9.542425094393238,0.005,0.6950339440135969,-94.18070203151956,-106.8421274818762,12.661425450356646,0.005,0.5266821136626835,-81.64265218305091,-94.53069931809567,12.888047135044758,0.005,0.1368676637479004,-90.69783816421983,-107.8548019317299,17.156963767510064
2.0,0.0025,0.4728838291890495,-76.32959861247397,-84.28839878591472,7.95880017344075,0.005,0.24321015870043772,-96.841683962839,-101.29674979423154,4.455065831392545,0.005,0.4123859220634648,-83.90877047703799,-99.34202278642367,15.43325230938568,0.005,0.1204384787724574,-88.80451412597724,-94.07698606290593,5.272471936928696
3.0,0.005,0.4971128430239769,-78.2677988726351,-80.76657360480111,2.4987747321660123,0.005,0.04829774635918057,-100.05570835478396,-120.91109568843741,20.855387333653454,0.005,0.26332041401897205,-87.39506206130096,-95.5310952124782,8.136033151177244,0.005,0.14252574864373777,-88.69326307142367,-102.67450407251897,13.981241001095299
4.0,0.005,0.6069470088521759,-78.2677988726351,-84.28839878591472,6.020599913279625,0.005,0.5343509236097471,-102.43185740087667,-107.65351673620223,5.221659335325569,0.005,0.5424430442583823,-87.48463215440492,-102.98989621069735,15.505264056292432,0.005,0.1315238104279721,-89.99602045750134,-122.11319302866295,32.1171725711616
5.0,0.005,0.5742999100106103,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.7461010533184816,-102.20255952716167,-108.89117565260479,6.688616125443119,0.005,0.41130038556155,-91.03456663850926,-124.64481545092605,33.610248812416785,0.005,0.10149812966844504,-90.11087165630336,-106.41092548327096,16.3000538269676
6.0,0.005,0.6696862539239062,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.18034316188195015,-103.90060190624959,-113.94536995690821,10.044768050658618,0.005,0.3649388933033432,-94.03128461459534,-105.21588624195557,11.184601627360237,0.005,0.27162926171169155,-89.68584063995732,-108.90949696770693,19.22365632774961
7.0,0.005,0.7219528095615791,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.839941761334043,-104.72572542676579,-105.11239714918347,0.3866717224176739,0.005,0.5236490062469984,-96.32429162456796,-108.04132755688141,11.71703593231345,0.005,0.4143466822473022,-91.14416459601173,-105.93959340011492,14.795428804103182
8.0,0.005,0.8601417302080696,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.9823877591054051,-103.6328765405316,-108.64103732918315,5.008160788651551,0.005,0.6786291930337558,-98.67059292366233,-114.42301935081454,15.752426427152216,0.005,0.6752902253243287,-90.9592349586479,-130.51482852878468,39.55559357013678
9.0,0.005,0.980224979481485,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.999321508088347,-97.42355674266781,-117.5972923187714,20.17373557610358,0.005,0.9734124402677825,-98.37479985239135,-133.97940008672037,35.60460023432903,0.005,0.8768954247108256,-94.38569582534828,-133.97940008672037,39.593704261372096
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999969402270174,-111.89114214394027,-133.97940008672037,22.088257942780103,0.005,0.9999811448798095,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999999206662864,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999942266587507,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999926939185917,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999998117789811,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999911010200251,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999785326892913,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999927298819178,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999921632766359,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
14.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999958400760214,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999844430974947,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
15.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999969544745869,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999889777907999,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
16.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999965123853631,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999901087470293,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
17.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999942100522321,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999826010943933,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
18.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999991062412977,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999925193508004,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
19.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.99999285561848,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999782258740154,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
20.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999959095085063,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999924667786388,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
21.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999969635414878,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999982934477914,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
22.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999964690264633,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999989921253728,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
23.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999940935647441,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999989200347584,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
24.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999910206899442,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999841115722787,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
25.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999929818116803,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999922399720426,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
26.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999995976382035,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999784224806626,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
27.0,0.005,1.0,-80.76657360480111,-84.28839878591472,3.5218251811136128,0.005,1.0,-94.41488519937428,-98.14796658840453,3.7330813890302466,0.005,0.9999999999999998,-96.98076396238108,-112.48253178509734,15.50176782271626,0.005,1.0,-93.09757139539542,-112.31293287458732,19.2153614791919
28.0,0.02,0.952203304678103,-13.418212656614198,-23.802791264973134,10.384578608358936,0.005,0.8416862789699245,-35.47087888929746,-63.82623416547762,28.355355276180163,0.015,0.9395661214254164,-17.72271000363865,-35.483631821444654,17.760921817806004,0.0175,0.9977888266097522,-16.28515487097427,-33.89515138699063,17.609996516016356
