,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,1.0,-90.30899869919435,-90.30899869919435,0.0,0.005,0.9999999999999998,-97.5838269647829,-98.3258689817516,0.7420420169686963,0.005,0.9999999999999999,-94.24087492096417,-133.97940008672037,39.7385251657562,0.005,1.0,-96.60945286567073,-127.65250133065143,31.0430484649807
10.0,0.005,-0.0829040846059743,-58.053321564799646,-74.74597369152148,16.69265212672184,0.005,0.9895770900905918,-93.21209047885297,-113.89416795521794,20.682077476364967,0.005,-0.02118393344836457,-58.21963182501829,-66.24440821200339,8.024776386985103,0.005,-0.3022082696679261,-73.0008785349204,-80.98810459093735,7.987226056016951
11.0,0.005,-0.21212261909897806,-34.545631276371005,-45.34953337195822,10.803902095587219,0.005,0.8166803678358201,-85.15621184940052,-87.83222698250458,2.676015133104059,0.005,-0.1777725694680891,-34.90623779239619,-36.37963375277495,1.4733959603787596,0.005,-0.26747656523214836,-53.863260900163176,-60.538176602895064,6.674915702731887
12.0,0.005,0.00793025326820782,-32.467106645384746,-38.69049918568197,6.223392540297226,0.005,0.24367403563813708,-78.1216748996596,-86.8003738858031,8.678698986143502,0.005,-0.0054356198142074975,-33.46294327115853,-59.82481111377211,26.361867842613577,0.005,0.051799132640678154,-48.50604250864393,-70.2535551527785,21.747512644134574
13.0,0.01,0.455410324264888,-22.315524269573594,-26.9981771647469,4.682652895173305,0.005,0.6460068981424308,-65.08976587621044,-70.21384990883848,5.124084032628048,0.01,0.4549905201613143,-22.883676435735318,-46.048377253977996,23.16470081824268,0.005,0.08245844174837773,-47.38457521222796,-60.788696272703014,13.404121060475056
14.0,0.0125,0.22796533480090989,-19.52998745890713,-24.923410903756384,5.393423444849255,0.005,0.9053885652383004,-59.78025771125757,-64.55441748631401,4.7741597750564395,0.01,0.2343071066887757,-20.220294167087353,-23.813216763382975,3.5929225962956224,0.005,0.0724389211481867,-50.15984973631676,-91.42674443422831,41.26689469791155
