,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,1.0,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,1.0,-92.36969286524128,-108.04369011334174,15.673997248100463,0.005,1.0,-93.98885807175141,-105.39888795080707,11.410029879055656,0.005,0.9999999999999999,-93.79141572223604,-95.10061754781142,1.3092018255753857
3.0,0.015,0.9999591752311646,-17.067069790835887,-31.99045446525204,14.923384674416152,0.005,0.9999804857965576,-37.55582875505023,-43.77425859275988,6.21842983770965,0.0125,0.9999490729916433,-19.029258446509097,-30.741221765047364,11.711963318538267,0.005,0.999910577062939,-37.62835166616932,-54.57908299895045,16.950731332781125
4.0,0.0175,0.9999768861357428,-15.77282504869508,-44.33193717100022,28.55911212230514,0.01,0.9999135264827518,-25.689754042616862,-31.99219917268119,6.302445130064328,0.015,0.9999894270389553,-18.2584918766894,-24.641945511601037,6.3834536349116355,0.005,0.999463365944727,-43.3365435459732,-78.64919770409813,35.31265415812493
5.0,0.01,0.9999686775936816,-21.9065817374803,-27.29386990198818,5.387288164507883,0.005,0.9998839657439293,-31.922814759780817,-45.537938169786116,13.6151234100053,0.01,0.9999812222327636,-21.144702767614554,-26.376055043841923,5.231352276227369,0.005,0.9961589006780972,-59.98332437796968,-80.05513001281173,20.07180563484205
6.0,0.0175,0.9999512958806033,-15.031458069281259,-24.706540773148205,9.675082703866947,0.005,0.999922057941855,-34.966311196890935,-47.43023430204189,12.463923105150954,0.02,0.9999495625162246,-13.78535572612337,-29.818172048287007,16.032816322163637,0.005,0.9998658892774163,-33.111639238073224,-50.475535702049484,17.36389646397626
7.0,0.025,0.9999715123099299,-11.769808931588841,-21.996179101271274,10.226370169682433,0.005,0.9999170781454815,-28.940511001758917,-34.08620193286763,5.145690931108714,0.0225,0.9999728854226034,-13.799127415325476,-24.535987096184005,10.73685968085853,0.005,0.999758641435528,-35.038677755070815,-58.38753675759969,23.348859002528876
8.0,0.01,0.9999588193554808,-20.098098495062114,-26.886175678626714,6.788077183564599,0.005,0.9999874604729339,-33.622754462441385,-58.26122176470164,24.638467302260253,0.015,0.999963632908067,-18.492964157190222,-53.90117657920519,35.40821242201497,0.005,0.9984286900503208,-48.84251919656037,-102.08629088402273,53.24377168746236
9.0,0.01,0.9997627599152864,-21.322516837219823,-27.461209376817635,6.1386925395978125,0.005,0.999965167228605,-37.1568363733415,-41.850129381369776,4.693293008028277,0.01,0.9997557785720863,-21.570466601389224,-24.670082695240335,3.099616093851111,0.005,0.9905694403507587,-44.88777108426537,-53.26479464622718,8.377023561961813
10.0,0.0275,0.9999154682106719,-11.72573103509307,-18.368265399641288,6.642534364548219,0.005,0.999996502656853,-30.7160634935856,-42.35140281521026,11.635339321624656,0.0275,0.999914176907376,-11.11458562027206,-63.269913981245665,52.155328360973606,0.005,0.9995708937757636,-29.97930141860134,-70.74500109242608,40.76569967382474
11.0,0.0175,0.9999787272764641,-16.38536695582388,-35.54925217252573,19.163885216701853,0.005,0.9998540847129364,-38.24376698928236,-46.12130140327185,7.877534413989487,0.02,0.9999804379424391,-15.358782423604577,-22.717237878889044,7.358455455284467,0.005,0.9996644328314417,-45.79912391143475,-60.735637497577486,14.936513586142738
12.0,0.01,0.9994833172416471,-20.697362962610978,-31.099583148508376,10.402220185897399,0.005,0.9999433085658802,-42.24445304252569,-51.28719984692005,9.042746804394362,0.01,0.9995559717645868,-20.91050298374519,-26.33210454137448,5.421601557629291,0.005,0.9871695807651865,-38.88642278039526,-40.492693661378006,1.6062708809827484
13.0,0.0625,0.9968734533100393,-4.152234616063157,-19.75124738014026,15.599012764077102,0.005,0.9917961657247841,-29.581855159769134,-65.32489168150447,35.743036521735334,0.0575,0.9969278926907581,-2.8427005797225364,-37.249480625977924,34.406780046255385,0.01,0.9951340345372779,-21.571313207675313,-52.621582320585006,31.050269112909692
14.0,0.015,0.9908018614002524,-14.962912350128892,-29.959984108983633,14.99707175885474,0.005,0.9872429630884049,-35.68612336386117,-38.272795317548955,2.586671953687784,0.02,0.9928478804223113,-15.13086327810951,-32.18125941690899,17.050396138799485,0.005,0.9966016236246652,-39.66166054893605,-66.28751262724803,26.625852078311986
