,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.015,0.9994002354321689,-19.43429655693787,-40.67215564453052,21.23785908759265,0.005,0.8325754432560102,-56.87564744154591,-64.65134340236696,7.775695960821054,0.0125,0.9995139305059847,-19.301364939659187,-48.873293167077165,29.571928227417978,0.005,0.9948840394765937,-40.693398689381596,-59.3865441129206,18.693145423539008
8.0,0.01,0.999560423155402,-20.216388226060275,-43.98248768467716,23.766099458616885,0.005,0.8340981258766463,-53.01605117889064,-78.76060117544654,25.744549996555897,0.0125,0.9996708733576626,-19.018051183084392,-33.12564225623112,14.107591073146725,0.005,0.9959274886359144,-43.246281585015254,-62.70834689776138,19.462065312746127
9.0,0.01,0.9993975018620692,-20.920341153775613,-43.25287357148528,22.33253241770967,0.005,0.5175355968178059,-57.2810880954747,-77.21932522266633,19.938237127191627,0.01,0.9995875320213483,-21.284148348680013,-31.880769341537693,10.59662099285768,0.005,0.9926840639014566,-44.56947915377733,-75.88089921243005,31.311420058652722
10.0,0.01,0.9993968907530977,-21.479236894765563,-29.592103443737557,8.112866548971994,0.005,0.5011104406626725,-59.728529321459334,-68.97168385251103,9.243154531051701,0.01,0.999529862129834,-22.615811553189225,-27.34350437783876,4.727692824649534,0.005,0.9896253375824953,-46.362598798590284,-59.8923227430279,13.529723944437613
11.0,0.01,0.9992866979581134,-23.005325914384102,-33.65573368076448,10.650407766380376,0.005,0.26519547695638346,-58.58497234331737,-77.00523563923171,18.420263295914346,0.01,0.9996279207499028,-22.48525457323734,-39.009648131367804,16.524393558130463,0.005,0.9811304168308239,-48.78388876606599,-85.02807797075882,36.24418920469282
12.0,0.0075,0.9992446494340279,-24.54186875922598,-29.84338370233779,5.301514943111808,0.005,0.27674930795568103,-59.649300454418714,-59.649300454418714,0.0,0.01,0.9996620137400831,-25.470334068258083,-28.642193629496266,3.1718595612381826,0.005,0.9886320170614697,-48.339497268737645,-59.543904537398205,11.20440726866056
13.0,0.0075,0.9985077866787878,-25.98247008514303,-29.74721293117206,3.76474284602903,0.005,0.2085317411803067,-57.871020352626346,-68.39025493341612,10.519234580789771,0.005,0.9991252007395685,-26.584774898105724,-31.658420637745344,5.07364573963962,0.005,0.9730264492509847,-48.262852519318145,-64.84617080562575,16.583318286307602
14.0,0.005,0.9990333148964955,-26.3626820522239,-44.97760030206099,18.614918249837093,0.005,0.29223048747985086,-59.178418753812984,-63.60513649439807,4.426717740585083,0.0075,0.9995429341882889,-24.96840133435366,-35.45494072345599,10.48653938910233,0.005,0.9841381103774277,-47.88501240641772,-63.51111458283548,15.62610217641776
