,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,-0.06452053898017918,-74.74570862325047,-80.76630853653009,6.020599913279625,0.005,0.4272956812827049,-84.37460375695444,-87.28079635779179,2.9061926008373433,0.005,0.40353873847153715,-86.41933082795818,-97.41404361654008,10.994712788581907,0.005,0.38691351528444146,-86.83447420241345,-92.59070063986607,5.756226437452625
3.0,0.005,-0.04936015150963039,-64.73366161186676,-76.32933354420295,11.595671932336188,0.005,-0.04731138966196373,-75.13581576061287,-105.97546623571249,30.839650475099617,0.005,0.14931434396010917,-74.9653042112801,-80.54260496218322,5.57730075090312,0.005,0.5842293265199385,-75.95536935959329,-83.98825931343413,8.032889953840836
4.0,0.005,0.22224624987571243,-58.053056496528626,-63.07417691057148,5.021120414042855,0.005,-0.3253938083815693,-70.00878303702898,-73.44859433099661,3.4398112939676366,0.005,0.7418129491688665,-61.577277453353865,-65.90280206210242,4.325524608748559,0.005,0.6544831285897732,-73.31880550276256,-84.93168361580594,11.61287811304338
5.0,0.005,0.9840713410598494,-36.48710378846397,-46.17221611028634,9.685112321822373,0.005,0.9825543514699331,-50.024282615659104,-62.07962837488004,12.055345759220934,0.005,0.995710923139487,-38.35157393729268,-50.030963340957626,11.679389403664949,0.005,0.9473865480667234,-54.78259087679119,-64.77085290299505,9.988262026203856
6.0,0.0275,0.9992905365773851,-10.905516543044056,-21.154122388836182,10.248605845792126,0.005,0.995331936948659,-28.925845754714423,-32.453550537002776,3.527704782288353,0.025,0.9994438834085495,-12.650190937161065,-13.431663162825805,0.7814722256647393,0.01,0.9995510082046274,-22.706751374058463,-33.00972400275701,10.302972628698548
7.0,0.0375,0.930812766066725,-8.809481035942344,-13.931025258598766,5.121544222656421,0.005,0.9926349773881659,-27.46684336943445,-42.9676561157863,15.500812746351848,0.04,0.9290835777531831,-7.752897340248196,-29.656295788548363,21.903398448300166,0.005,0.9906113915739899,-26.794014416962494,-46.57939088841556,19.785376471453066
8.0,0.0325,0.9334733823192453,-9.980603230644626,-12.838834021269552,2.8582307906249262,0.005,0.9891295607745031,-27.252752415698204,-44.181461799440676,16.928709383742472,0.035,0.9356501485886985,-9.048524114522875,-18.448978570936234,9.400454456413359,0.005,0.9807203885696005,-32.35753398378888,-36.82956773636239,4.472033752573509
9.0,0.03,0.9332167248991977,-10.536663117755573,-16.372871876009217,5.836208758253644,0.005,0.9885378850113843,-28.062222452176677,-40.35718804304992,12.294965590873247,0.0325,0.9325780311414804,-9.750190982396425,-20.306453922168316,10.55626293977189,0.005,0.9726377260531014,-34.847243308131596,-39.13072014306743,4.283476834935833
10.0,0.035,0.9415490057929315,-10.2412464979258,-22.876295200052397,12.635048702126596,0.005,0.9876792580009904,-28.08127517073171,-32.47058296398424,4.389307793252531,0.0325,0.9386550941913168,-9.48257474641714,-24.34958198380656,14.86700723738942,0.005,0.9725264824377303,-35.29730728884864,-43.342506273163266,8.045198984314624
11.0,0.03,0.9395820453609742,-10.831404859419031,-27.379971114404302,16.54856625498527,0.005,0.9926487855340227,-27.311450798289872,-30.293969467830017,2.982518669540145,0.0325,0.9378611438497835,-10.169377771637349,-17.534358267130415,7.364980495493066,0.005,0.9627159646620311,-36.45753427577552,-49.88631309153221,13.428778815756687
12.0,0.03,0.9410872683289542,-11.154672332461322,-29.027064682950623,17.8723923504893,0.005,0.993260266606065,-27.774757545560753,-33.52231701694708,5.7475594713863245,0.03,0.9383468169637659,-10.563825708714191,-16.83690552824443,6.273079819530238,0.005,0.9686221575085389,-36.46053659311661,-71.50337862278576,35.04284202966915
13.0,0.03,0.941202958320646,-11.0395886880886,-25.57798840114946,14.538399713060862,0.005,0.9925016001991676,-28.232600929803233,-33.56187870881791,5.329277779014674,0.03,0.9405322261433373,-10.737663271017366,-23.096907492631114,12.359244221613748,0.005,0.9697768776059446,-38.38886739738955,-45.19501704468492,6.806149647295371
