,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.5608721716092672,-66.22659904607586,-84.28839878591472,18.06179973983886,0.005,0.6957717382565102,-78.34352908815204,-86.5606964040545,8.217167315902458,0.005,0.6755399714806394,-72.87419618357438,-92.59093327376823,19.716737090193845,0.005,0.47935892968051835,-71.04719829523339,-73.9811696968586,2.9339714016252145
1.0,0.005,0.5955639166032168,-66.22659904607586,-84.28839878591472,18.06179973983886,0.005,0.6778662029467729,-79.12051180640859,-88.1798224909224,9.059310684513818,0.005,0.822742244636396,-71.837530594425,-88.66074469494755,16.82321410052255,0.005,0.4912770520925487,-71.16577694192827,-83.04794404073716,11.882167098808893
2.0,0.005,0.5844423771306988,-67.3864379856296,-84.28839878591472,16.901960800285124,0.005,0.662697622004809,-80.03605821858356,-85.58319250108738,5.547134282503819,0.005,0.8005295145409308,-74.27261679086979,-89.86469812184397,15.592081330974182,0.005,0.5343072210477271,-70.35101097901921,-81.14081520250477,10.789804223485561
3.0,0.005,0.5935611833200114,-68.03013165305762,-84.28839878591472,16.2582671328571,0.005,0.7488844329330407,-79.60815372031014,-87.69763508805647,8.08948136774633,0.005,0.7926916616323745,-75.95259794841594,-106.25512033310102,30.302522384685076,0.005,0.5426975368826255,-71.5032126213318,-93.88498002189863,22.38176740056683
4.0,0.005,0.4641057321586091,-69.48114499602985,-90.30899869919435,20.827853703164493,0.005,0.697996756373705,-81.28244107371644,-85.05706945004603,3.774628376329588,0.005,0.6281974046661156,-80.22521428237746,-82.11209651352809,1.8868822311506221,0.005,0.37802754388434145,-74.10959693575438,-97.71960888194329,23.610011946188905
5.0,0.005,0.5073861274296052,-69.48114499602985,-76.32959861247397,6.848453616444118,0.005,0.6922072060545886,-81.50734605563393,-86.33782966383839,4.83048360820446,0.005,0.7213465560357473,-79.71137075162935,-104.55738425940211,24.846013507772767,0.005,0.396744475218646,-74.21158659020175,-92.07749999153191,17.86591340133016
6.0,0.005,0.5448040365714841,-71.22414851040786,-90.30899869919435,19.08485018878649,0.005,0.8499546238755594,-82.83567376808276,-89.58593227285442,6.750258504771665,0.005,0.7252129083911146,-79.44911110193428,-97.25212881591928,17.803017713985,0.005,0.3377766136970719,-76.01867985049643,-86.37097240716643,10.352292556670008
7.0,0.005,0.5033832297412368,-69.48114499602985,-76.32959861247397,6.848453616444118,0.005,0.7744151231226638,-82.37863055574677,-86.05876781686506,3.68013726111829,0.005,0.7425917477809251,-81.2036711066319,-92.02418534515694,10.820514238525035,0.005,0.3413048910037206,-76.30941014620385,-84.5164657911632,8.207055644959354
8.0,0.005,0.513866997483003,-72.24719895935547,-90.30899869919435,18.061799739838875,0.005,0.7349448408965943,-83.84561802455453,-104.05881050497564,20.213192480421114,0.005,0.6771606076312582,-81.36612676663563,-97.38506153381087,16.01893476717524,0.005,0.36932133365956743,-78.26852787606244,-80.72582983231015,2.4573019562477185
9.0,0.005,0.5176934606714807,-72.24719895935547,-80.76657360480111,8.519374645445637,0.005,0.6742538016416431,-86.77881763261071,-94.65565483120207,7.87683719859136,0.005,0.679996883943073,-83.20749082363497,-112.03298554006714,28.825494716432175,0.005,0.3646317660101127,-78.81759000257433,-95.40570808734455,16.588118084770215
10.0,0.005,0.44152946114500224,-74.74597369152148,-78.2677988726351,3.5218251811136128,0.005,0.7771310960945051,-86.61512540024704,-88.04982405704337,1.4346986567963285,0.005,0.662061780449224,-83.23412521990605,-93.2188893276008,9.984764107694758,0.005,0.3008051364727217,-79.30268866721602,-89.93164835049113,10.628959683275113
11.0,0.005,0.4544747697315712,-74.74597369152148,-90.30899869919435,15.563025007672863,0.005,0.7728689096386128,-87.74084075441789,-124.75581379075946,37.01497303634157,0.005,0.5981197109834948,-81.73590399656558,-108.8182234477003,27.082319451134722,0.005,0.3311235360639209,-80.92012711074709,-93.3867664191749,12.466639308427816
12.0,0.005,0.4477482608283326,-76.32959861247397,-133.97940008672037,57.6498014742464,0.005,0.6053871278600459,-88.03044893720441,-118.15535863889554,30.124909701691124,0.005,0.639907320273618,-87.08129667496195,-88.31933211586083,1.2380354408988836,0.005,0.34314989679384955,-83.00366125403309,-110.96376726206579,27.960106008032696
13.0,0.005,0.4547005654542687,-78.2677988726351,-84.28839878591472,6.020599913279625,0.005,0.7543653014883501,-91.89765733770294,-95.06349000776595,3.1658326700630113,0.005,0.7326815800374081,-87.8241332921508,-96.94945535290186,9.12532206075106,0.005,0.37535887907457494,-83.78815721936107,-104.29160592415442,20.503448704793357
14.0,0.005,0.4026736476251349,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,0.6394319472529144,-93.31898776253348,-128.32287530345988,35.0038875409264,0.005,0.685184722299971,-90.09385614364122,-100.26686620952255,10.173010065881329,0.005,0.3447816889097703,-86.26115133861028,-99.11018777355055,12.849036434940274
15.0,0.005,0.636269896382752,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.3638399852998863,-97.46254233460056,-133.13353513110067,35.670992796500116,0.005,0.7866502689102179,-94.06433855089006,-133.97940008672037,39.91506153583032,0.005,0.20388431449809183,-88.41269892312111,-133.97940008672037,45.56670116359926
16.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999831643540941,-112.31846539165988,-131.82431462320244,19.505849231542555,0.005,0.9986818654934163,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8719572698262461,-119.99999999999999,-133.97940008672037,13.97940008672039
17.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999938867517132,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9993716553501941,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8456840225262733,-119.99999999999999,-133.97940008672037,13.97940008672039
18.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999468877700585,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9991496483512206,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
19.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999687174457866,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9990327810940377,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
20.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999796978833477,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9994236693350093,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
21.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999799829784956,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9985729294909425,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
22.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.99996978670549,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9994986022107207,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
23.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999483927623796,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9985950095398103,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
24.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999478687112588,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9994130639395693,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
25.0,0.005,0.1256497178695174,-80.76657360480111,-80.76657360480111,0.0,0.005,0.963995793324825,-104.30790076677937,-105.0290434990273,0.7211427322479267,0.005,0.218669760712884,-88.02118240728305,-110.1868850499887,22.165702642705654,0.005,0.0047629279047739165,-87.86308384769036,-94.96269803676344,7.09961418907308
26.0,0.005,0.323192438537202,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,0.9484868700204203,-88.58085234150145,-94.9023219729189,6.321469631417443,0.005,-0.02736971466722031,-87.93031340332844,-98.39816675480768,10.467853351479235,0.005,-0.07432052367977549,-83.87250819524233,-98.04443332113931,14.171925125896976
27.0,0.005,0.2602951150725737,-78.2677988726351,-80.76657360480111,2.4987747321660123,0.005,0.964727011062092,-89.66694827337052,-96.1702924038803,6.503344130509774,0.005,-0.028666781619550264,-86.94527467852511,-92.76925900320359,5.823984324678477,0.005,-0.07680205677571948,-86.42593816999522,-99.35916090891487,12.933222738919653
28.0,0.005,0.3114461159155337,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.9694532321527709,-90.46299959240748,-101.05146378311402,10.588464190706532,0.005,-0.19478665158200728,-87.24796398762955,-95.58697623249778,8.33901224486823,0.005,-0.09292761084504642,-87.12700682587432,-94.9396349294271,7.8126281035527825
29.0,0.005,0.28589701804336815,-80.76657360480111,-84.28839878591472,3.5218251811136128,0.005,0.9699933354192971,-91.86452265834339,-94.4340018942723,2.5694792359289096,0.005,-0.03785042410556729,-89.20098860587272,-103.49856619021699,14.297577584344268,0.005,-0.07288706616757072,-87.81468045257449,-133.97940008672037,46.16471963414588
30.0,0.005,0.2927975334673102,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.9468157759790193,-92.07430950751481,-116.34531825559156,24.271008748076753,0.005,0.05682337512747514,-89.70258258960442,-109.58310071533232,19.880518125727903,0.005,-0.08261565426696346,-89.66673038567536,-120.74445056927144,31.07772018359607
31.0,0.005,0.5537363055517078,-73.40703789890921,-84.28839878591472,10.881360887005513,0.005,0.9216067176775169,-85.06971867157179,-97.30069213543192,12.230973463860124,0.005,0.6521685325679848,-81.10013427402812,-85.65079700462442,4.550662730596301,0.005,0.21492689676274995,-81.81168837955086,-90.35099878950417,8.539310409953316
32.0,0.005,0.6213930120570035,-66.22659904607586,-72.24719895935547,6.020599913279611,0.005,0.8611545380720198,-78.31152907609149,-86.2945252306237,7.982996154532216,0.005,0.7004208158776752,-74.49089892620009,-104.28355219498057,29.792653268780484,0.005,0.29470786520960085,-75.49785100726383,-84.27257661340087,8.77472560613704
33.0,0.01,0.9865048103207548,-21.64961288170624,-23.737329704910316,2.087716823204076,0.005,0.9984358681458678,-42.300190237963406,-58.4208298363619,16.12063959839849,0.01,0.9860442606564562,-24.987529556047722,-35.58897580090219,10.601446244854468,0.005,0.9272124182055234,-33.44478148359234,-69.16337875001298,35.718597266420645
34.0,0.0175,0.9776891200237754,-16.294924356293972,-32.81936234520502,16.52443798891105,0.005,0.979697587174164,-34.696811126834525,-39.83151778498605,5.134706658151522,0.0125,0.9817319500507928,-17.46158920999461,-23.44899247383053,5.987403263835919,0.005,0.878004260478075,-33.20797749601915,-67.3599596294245,34.15198213340535
35.0,0.0175,0.9326804735237505,-16.15078538493224,-17.800691656106192,1.6499062711739505,0.005,0.9671225806299396,-33.73804966464081,-47.36038870476403,13.622339040123215,0.015,0.9245942508127734,-16.488873470157476,-21.040797090663602,4.551923620506127,0.005,0.7884436612124829,-37.48353924643001,-69.33996805161361,31.856428805183597
36.0,0.0175,0.8205414425415395,-14.534321522640209,-33.174420891536705,18.640099368896497,0.005,0.9799113352073353,-32.70448943224157,-60.043670191082334,27.33918075884076,0.0175,0.8295563479939764,-16.198654007290997,-20.038310661805415,3.8396566545144175,0.005,0.7543676490165948,-35.193447531965404,-45.633227558622416,10.439780026657012
37.0,0.0175,0.8293425963114697,-15.370090506892264,-17.617438242116595,2.2473477352243307,0.005,0.9783179171822686,-31.25973548309959,-71.00116507131938,39.74142958821979,0.015,0.8043426557531064,-17.05065078842975,-20.86104779667823,3.8103970082484793,0.005,0.7962857182585141,-38.121727515015586,-50.917659888898285,12.7959323738827
38.0,0.0175,0.8948344661005525,-15.471790817889087,-18.909822337262476,3.4380315193733892,0.005,0.9759708687908525,-31.052285068477225,-54.055246593847706,23.00296152537048,0.015,0.9001251948044345,-16.530227639255198,-27.140310576872587,10.610082937617388,0.005,0.5692639119072673,-39.870115054715484,-63.42563087772121,23.555515823005727
39.0,0.0175,0.9135563667186152,-16.422160491910734,-21.814631952563012,5.392471460652278,0.005,0.963645325036246,-30.994020661254027,-43.973583625885404,12.979562964631377,0.015,0.9108302295694422,-16.82998585767011,-17.859523691271846,1.0295378336017365,0.005,0.3052443365076544,-41.89470047408196,-60.61448661755979,18.719786143477833
40.0,0.015,0.9101996396944428,-17.103075493779766,-20.4231233258877,3.320047832107935,0.005,0.9499858611630001,-30.908104919540204,-39.51588647720444,8.607781557664236,0.015,0.9094722965735716,-17.29503895968709,-27.385941287913443,10.090902328226353,0.005,0.4714243767193474,-43.40793340445833,-75.79610496615709,32.388171561698755
41.0,0.015,0.8386877894356157,-18.372659980882545,-29.27823088888781,10.905570908005263,0.005,0.9149341652058192,-31.84639626970492,-37.65829659967029,5.811900329965368,0.0125,0.8488768818969972,-18.242285119791248,-26.579146665194155,8.336861545402908,0.005,0.6828347933934825,-42.80647005420626,-50.55408755195974,7.747617497753481
42.0,0.015,0.8220922664976524,-19.469929210029633,-25.954057233938485,6.484128023908852,0.005,0.8956811749467051,-33.25782717463402,-35.91426012919241,2.656432954558383,0.0125,0.8074345857502049,-18.483225222574823,-24.57436468591698,6.091139463342156,0.005,0.640299820581126,-40.85675726120988,-54.57026767615102,13.71351041494114
43.0,0.015,0.8288578597487944,-19.338753572373648,-45.64907649135128,26.310322918977633,0.005,0.8997624861024355,-33.51417664198307,-34.87029456476033,1.3561179227772584,0.0125,0.8353856802777294,-18.58725336094587,-37.32115030541921,18.73389694447334,0.005,0.7295798479816755,-40.56130235106284,-42.825940392622535,2.2646380415596923
44.0,0.015,0.8474628585277107,-18.530125844394057,-33.11422737525142,14.58410153085736,0.005,0.9268158012263484,-33.534616447290986,-34.30178660478457,0.767170157493581,0.0125,0.8380501603995909,-18.155352821955702,-35.131394320239394,16.976041498283692,0.005,0.8646074990935123,-35.689362868796955,-52.17119942842564,16.481836559628682
45.0,0.015,0.8049543689752966,-18.465463551277022,-34.29465713354666,15.829193582269635,0.005,0.901703345062378,-33.77867445909718,-33.95404462366546,0.17537016456827814,0.0125,0.8171162673304578,-18.259818373668768,-29.337997607926447,11.078179234257679,0.005,0.7435874191521007,-33.74788867488901,-49.20055790009373,15.452669225204716
46.0,0.0125,0.7928779691706953,-19.091744804645064,-28.13093614584809,9.039191341203026,0.005,0.8900909074849336,-33.80935626832106,-33.95104417047155,0.14168790215048688,0.0125,0.7802133696296615,-18.446226694740748,-44.72830748333394,26.282080788593195,0.005,0.6661366187934548,-32.367112352840536,-50.17702201874968,17.809909665909146
47.0,0.0125,0.7878513039912035,-19.25806774008115,-29.959984108983633,10.701916368902484,0.005,0.8656404130540339,-33.50484459282214,-34.706745805964545,1.2019012131424063,0.0125,0.7937868970032851,-19.097367203237972,-27.306108680694955,8.208741477456982,0.005,0.5976950653009389,-36.32883913826147,-67.56336504120691,31.234525902945435
48.0,0.0125,0.8208434118289093,-19.582881252173685,-24.279717236328363,4.696835984154678,0.005,0.8705272518348116,-34.16084360699946,-36.50006589529763,2.339222288298174,0.01,0.8186456682154695,-21.121549024235424,-27.986873202743435,6.865324178508011,0.005,0.5590554647976077,-38.36468939404869,-60.4716074236315,22.106918029582808
49.0,0.0175,0.843289308571258,-15.848098866325454,-25.0742277521436,9.226128885818145,0.005,0.8928958275914809,-34.26417240483597,-38.34668206905765,4.082509664221682,0.015,0.8478901499246145,-17.894189827266878,-24.47653128845104,6.582341461184161,0.005,0.7663956204275744,-32.0907945040794,-52.375349950986696,20.284555446907298
50.0,0.0175,0.8056453595819691,-15.168674004568345,-23.769998815874377,8.601324811306032,0.005,0.8674359232895316,-34.20982892382555,-39.75586317754235,5.546034253716805,0.0175,0.8087043834562486,-16.452151528885672,-30.059148403647562,13.60699687476189,0.005,0.8563955885102644,-28.56636361328976,-36.6253453596745,8.058981746384738
