,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,0.015339818084441811,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.8701990837527392,-103.00322209613097,-126.94316466019282,23.93994256406185,0.005,0.07402748151174643,-94.96847944085667,-109.59406956831754,14.625590127460868,0.005,-0.008596268431057073,-87.50964706123271,-107.18668191622581,19.677034854993096
5.0,0.005,0.026725669857857574,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.3085463649339915,-107.69137073385365,-133.97940008672037,26.28802935286673,0.005,-4.1921308821827195e-05,-97.13367909906248,-114.56754438680409,17.43386528774161,0.005,0.005652017364508963,-89.27008740049487,-103.48549824532199,14.215410844827119
6.0,0.005,0.021781239915824768,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.18003346171068693,-109.60595078522844,-133.97940008672037,24.37344930149193,0.005,0.09055322956873997,-94.82383102931222,-117.60642692959819,22.78259590028597,0.005,0.04703108731408996,-89.42964581352169,-104.34568848414088,14.916042670619191
7.0,0.005,-0.010699649596072221,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.4274641150394619,-107.79301184334592,-122.21882870695791,14.425816863611985,0.005,-0.026916298425216263,-95.5796944578539,-106.73442251092558,11.154728053071679,0.005,0.0052357942842648515,-87.90349473649648,-109.53748131649931,21.633986580002826
8.0,0.005,0.022556965906387935,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,-0.2907780529946143,-104.96834222215244,-133.97940008672037,29.01105786456793,0.005,0.06245932634756639,-95.33308403680664,-119.93063135930512,24.597547322498485,0.005,0.012873780394055897,-89.387946842421,-112.92044706204234,23.53250021962134
9.0,0.005,-0.02218790156387214,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.04800428682495971,-110.51249301293394,-115.12611473713237,4.613621724198424,0.005,-0.006996799084733471,-95.7863193668893,-104.12728097427133,8.340961607382027,0.005,-0.04084094499614156,-88.14424628568973,-116.9179023202006,28.773656034510864
10.0,0.005,0.000727792929647148,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.2485975733819781,-106.6812403596899,-113.96852725499345,7.287286895303552,0.005,0.18120296366572988,-95.77141474366465,-130.1505638473034,34.37914910363875,0.005,-0.0035317795989852152,-89.20512723384448,-107.79044162410356,18.585314390259086
11.0,0.005,-0.008369000681437998,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.22309225208012734,-107.189861221021,-107.189861221021,0.0,0.005,-0.003923316232466841,-96.97201308141709,-106.728173388514,9.756160307096906,0.005,-0.02890618508614399,-89.76042063087391,-99.10683695218091,9.346416321307004
12.0,0.005,0.06588924061613616,-54.18539921951661,-60.76657360480111,6.581174385284498,0.005,0.938192618649971,-74.95017389265679,-74.95017389265679,0.0,0.005,-0.6859124367446694,-59.80517674203162,-66.82898061579688,7.02380387376526,0.005,0.023573809594798028,-88.75874607550168,-123.48439811444496,34.72565203894328
13.0,0.02,0.33102968587113313,-14.47799259864776,-133.97940008672037,119.50140748807262,0.01,0.8612321134967174,-20.003880332811043,-25.294370949351837,5.290490616540794,0.015,-0.05442442072046622,-16.901165477445257,-22.77634184954462,5.875176372099364,0.005,0.43268498970823854,-49.16215843864229,-70.01399890314774,20.85184046450545
14.0,0.0175,0.46230163859733675,-15.65629934841044,-22.715638018521283,7.059338670110842,0.01,0.8446352681878448,-23.467017338352573,-42.52714253829845,19.060125199945876,0.0175,0.3105258199369658,-16.38110570768263,-40.67090348580728,24.28979777812465,0.005,0.6026440938020796,-48.11674222630507,-64.45554959879291,16.338807372487842
