,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.24985056870399397,-84.28839878591472,-84.28839878591472,0.0,0.005,0.9327689789904465,-93.10083763040228,-104.08868049841287,10.987842868010588,0.005,0.3407812838867383,-94.03533008257276,-108.3555078111806,14.320177728607845,0.005,0.07991155788695073,-88.14541801307188,-106.99070015721239,18.845282144140512
1.0,0.005,0.3068319073098404,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.9029330959838698,-92.31016117664683,-105.32654595935202,13.016384782705188,0.005,0.4069009126198705,-93.60947446674572,-106.19380172706448,12.584327260318759,0.005,-0.021686497925036317,-87.88925105150683,-106.62858441624158,18.739333364734748
2.0,0.005,0.023937321338686778,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.5412127204982811,-98.21587505508141,-98.21587505508141,0.0,0.005,0.3016826370886787,-93.82063335494723,-95.72202260322727,1.90138924828004,0.005,0.013290953972924749,-89.40372445108402,-115.85497369332954,26.451249242245524
3.0,0.005,0.22026873395548824,-90.30899869919435,-90.30899869919435,0.0,0.005,0.596408954995947,-95.31855530845532,-100.43246179867545,5.113906490220131,0.005,0.3195679055997093,-93.50696746538183,-108.15619316086965,14.649225695487814,0.005,0.026190096052127507,-90.11163467235224,-112.2825272743185,22.17089260196626
4.0,0.005,0.19322548181830454,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.7800688868138733,-93.5877143941643,-115.73070118828717,22.142986794122876,0.005,0.3673214661622458,-92.62683187562665,-106.20043780704574,13.573605931419095,0.005,-0.05883652200951095,-89.97097437841154,-101.59260742123416,11.621633042822623
5.0,0.005,0.11078486003818092,-90.30899869919435,-90.30899869919435,0.0,0.005,0.5118317132819736,-97.77137744464054,-113.71379229746461,15.942414852824072,0.005,0.2578765250546904,-93.85091428197049,-97.13064101895404,3.279726736983548,0.005,0.028606480598580456,-88.6204732779175,-120.27476129205554,31.654288014138046
6.0,0.005,-0.037473792803515885,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.1438453613723962,-101.71891381775362,-117.73615725635024,16.017243438596623,0.005,-0.005805658869735917,-95.06703437194842,-105.16626456398448,10.09923019203606,0.005,0.006354517496304487,-90.99617453773985,-98.61108970254817,7.614915164808323
7.0,0.005,0.3247843187366579,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.7815702056123913,-103.51885221099289,-112.99572157291473,9.476869361921842,0.005,0.11363203999836222,-95.70433920245192,-133.97940008672037,38.275060884268456,0.005,0.07185578297296737,-90.37268055551348,-133.97940008672037,43.60671953120689
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9721086469525865,-109.5060855426322,-133.97940008672037,24.47331454408817,0.005,0.9997702550607864,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.9997899285358403,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9937633608606296,-119.8135277404455,-133.97940008672037,14.165872346274881,0.005,0.9998331570707917,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.9995093234789024,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9900258928856505,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996444078576154,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.9997994790138144,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9919412086895584,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998648501090075,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9953814918286924,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996040494306119,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.996601058323659,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998530054130923,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
14.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9960866462248396,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997173593403788,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
15.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9934919655213081,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9997911251834504,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
16.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.990029106217695,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998197476058475,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
17.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9920830168935968,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996709173581069,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
18.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9954579151603589,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998620270855408,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
19.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9966105197820083,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9995963456369232,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
20.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9960373912797157,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998590947903309,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
21.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9933616215323403,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996894779588904,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
22.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9899861288012686,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998092932378184,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
23.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.99222322026544,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998035327292896,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
24.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9955314956369978,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996988953822481,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
25.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9966181279451772,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998572830932576,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
26.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9959856996842289,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9995979207868224,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
27.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9932292126236862,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998631826950599,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
28.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9899521553257606,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9996617575677664,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
