,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.38663590163590594,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.9239586174263436,-103.54430858966141,-111.81065314561984,8.266344555958426,0.005,0.27445942770190906,-99.70576436543666,-116.585484368295,16.879720002858335,0.005,0.05338402989695077,-97.21350695118473,-117.56266828120475,20.349161330020024
3.0,0.005,0.03933704711370747,-68.72537377824186,-80.76657360480111,12.04119982655925,0.005,0.9356258648565933,-98.17372114332771,-98.17372114332771,0.0,0.005,0.18775467462255735,-92.31083216480008,-111.05450900399114,18.743676839191068,0.005,0.03115476278592636,-86.26496265592378,-94.96382474769506,8.698862091771275
4.0,0.005,0.04812159306301763,-67.3864379856296,-90.30899869919435,22.92256071356475,0.005,0.9104863795053272,-92.22638352213181,-133.97940008672037,41.75301656458856,0.005,-0.0522005283800851,-88.73692533712729,-97.77730228725204,9.040376950124752,0.005,-0.006961997803877518,-79.27680450582324,-133.97940008672037,54.70259558089714
5.0,0.045,0.8344032870194412,-6.376633272589476,-10.093674028825854,3.7170407562363774,0.005,0.9825256660315254,-55.57211451434248,-66.34294013342736,10.770825619084881,0.025,0.8483913088085073,-12.288812269746824,-23.836120187391344,11.54730791764452,0.01,0.803016023501058,-20.229900043230987,-33.693739404387095,13.463839361156108
6.0,0.05,0.8965250700546379,-6.251606944890145,-18.43220547756893,12.180598532678786,0.005,0.8964569100677235,-48.74435114126855,-54.71992374351315,5.975572602244597,0.045,0.8782878572760747,-7.547164528229836,-12.944253995842704,5.397089467612868,0.0225,0.9411727186864036,-13.822795515003953,-29.56604851843323,15.743253003429277
7.0,0.035,0.9064035682454872,-9.156437240082987,-24.711099098961597,15.55466185887861,0.005,0.9640384081392791,-45.58655842582997,-48.585361258238095,2.998802832408124,0.0325,0.9062189849659354,-9.996697346754706,-18.24854716749998,8.251849820745273,0.015,0.9242002409885427,-17.714825943893644,-58.49274284265818,40.77791689876454
8.0,0.02,0.8980759926477537,-14.209862702044525,-22.226013715000455,8.01615101295593,0.005,0.9795845382489282,-46.715203451755556,-50.64573312696577,3.9305296752102166,0.02,0.9060269922739724,-14.249606705124462,-19.094322895396907,4.844716190272445,0.005,0.7449695435135589,-26.230584540038883,-30.840631579655536,4.610047039616653
9.0,0.015,0.8899447903478426,-16.870738450362616,-41.091041844063405,24.22030339370079,0.005,0.9881336937396603,-48.27108030730244,-53.64599108723353,5.374910779931092,0.015,0.895039717908914,-17.873584508160526,-31.374097780535983,13.500513272375457,0.005,0.865990189146738,-26.171820412664605,-41.754249309526955,15.58242889686235
10.0,0.01,0.9649323378555683,-20.274124106634464,-28.02345276796263,7.7493286613281676,0.005,0.9551974399912969,-51.84820219224478,-63.03040592630437,11.182203734059591,0.01,0.962084147887295,-21.52614517293406,-34.997060518521685,13.470915345587624,0.005,0.9709242353051307,-28.440945683450444,-41.08186994430126,12.640924260850817
11.0,0.005,0.9701376784646991,-26.55858428246509,-37.80274967996088,11.244165397495792,0.005,0.913578846206079,-56.42258412098222,-66.66233451715885,10.239750396176632,0.005,0.9673052077208699,-28.185554052834835,-47.12843278971165,18.942878736876818,0.005,0.9775481868589823,-33.00949552291493,-44.272244711525346,11.262749188610414
12.0,0.005,0.8256073646121835,-34.363647882580025,-45.70002027162887,11.336372389048847,0.005,0.7859124815673162,-66.43068231752065,-81.17195896553375,14.741276648013098,0.005,0.8206071201807141,-36.685174977060456,-54.3342519468238,17.649076969763343,0.005,0.8422485470092892,-39.004684109681314,-43.31118104557873,4.306496935897414
13.0,0.005,0.961712217443138,-36.55841947490166,-52.92436430457484,16.365944829673175,0.005,0.8078139084999525,-67.20407332977149,-99.0399390609113,31.835865731139805,0.005,0.9572224246098398,-37.70231237723408,-43.256134660176926,5.553822282942846,0.005,0.9708281347055652,-42.64603462056538,-44.81459601787652,2.1685613973111373
14.0,0.005,0.9815708000572219,-36.95993964139527,-39.99152182496077,3.0315821835654972,0.005,0.9181668487109501,-65.40049235137454,-76.09612124295671,10.695628891582174,0.005,0.9780461976612388,-38.4494193854382,-42.672045248661746,4.2226258632235485,0.005,0.9902549170242769,-43.09691890014289,-57.641316659847355,14.544397759704466
