,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.31539612979710324,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.8061023731287182,-95.2155991331791,-125.89320176995201,30.677602636772917,0.005,0.12784355943241127,-92.75345696985386,-116.68456896502948,23.931111995175627,0.005,-0.30600304250042815,-89.30638835870539,-104.25475646460534,14.948368105899945
1.0,0.005,-0.2653025134024964,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.04740262192231094,-100.28802684095945,-102.69454936736678,2.406522526407329,0.005,-0.07918674471196835,-94.10014833216663,-107.35815138170807,13.258003049541443,0.005,-0.2501485239843343,-90.12188802702008,-100.92626269071205,10.804374663691974
2.0,0.005,0.39303242297201424,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.47712268997473495,-93.84402625585193,-103.32797375841045,9.483947502558522,0.005,0.28306963530978935,-90.98534506241562,-133.97940008672037,42.99405502430476,0.005,-0.2627993380635978,-89.27151009919221,-133.97940008672037,44.70788998752816
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.977197350659825,-100.70780763397606,-124.32027246857729,23.612464834601226,0.005,0.9888963510427646,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8594093606675425,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9572207800456747,-112.25335537579087,-124.98823585822919,12.734880482438314,0.005,0.9918178915044099,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8054074770460975,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9399180048757023,-119.99999999999999,-133.87249208968464,13.872492089684656,0.005,0.9929072337231128,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8881975966066227,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9552789172367213,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9871371683685839,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9739547611816628,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9945756732981068,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9795953947290655,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9842190050625614,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9749358422130935,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.994468662132024,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
