,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,0.9039557844344405,-33.28383172481285,-43.46054508275023,10.17671335793738,0.005,0.9493685170839126,-37.57823297362991,-56.34770912546077,18.769476151830858,0.005,0.8391838201426906,-38.06571626958614,-43.009731636901435,4.944015367315295,0.005,0.12517451212544403,-54.53556983827521,-82.23240427673568,27.69683443846047
10.0,0.005,0.8455779189864091,-33.6205846255637,-53.40703789890922,19.786453273345522,0.005,0.9410662115603146,-38.042528633938325,-42.047274717395055,4.00474608345673,0.005,0.7294993609790181,-37.189011586747284,-44.17355411276306,6.9845425260157725,0.005,0.19503352669619012,-69.37671263588564,-80.7466820469673,11.369969411081655
11.0,0.005,0.9356147105706921,-31.20486794835552,-34.475185718792,3.2703177704364776,0.005,0.9581201954333181,-37.18487449490953,-45.81339970056875,8.628525205659223,0.005,0.893910511850496,-35.47356764054538,-72.59374742848541,37.12017978794003,0.005,0.11455403557744077,-68.15244438935238,-79.53468234129754,11.382237951945157
12.0,0.015,0.3272583790093868,-17.357427614945255,-27.956944865392668,10.599517250447413,0.005,0.9780404926030478,-33.16068764040783,-47.76881196934171,14.608124328933883,0.005,0.9134128350591175,-34.41580443588016,-40.59970622102546,6.183901785145295,0.01,0.17190090486546014,-20.09644225243392,-64.82401850162374,44.72757624918982
13.0,0.03,0.35950465764292633,-10.742648764259336,-133.97940008672037,123.23675132246103,0.005,0.9569145049286805,-32.84117848083309,-47.70111485268086,14.859936371847766,0.01,0.6241931192769402,-22.690832134685998,-39.71608038385095,17.025248249164953,0.0275,0.27485240330094113,-12.007681895937774,-33.17844191732682,21.17076002138905
14.0,0.03,0.628445641740753,-10.335095532961244,-20.434262653657562,10.099167120696318,0.005,0.9541945467142401,-32.5288621632697,-47.6633074697877,15.134445306518003,0.0225,0.626765723464517,-12.63980714241808,-26.64452200217594,14.00471485975786,0.015,0.6663032617095807,-17.30098018159295,-27.60196618367811,10.300986002085157
