,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.5741131720198428,-66.35061560711962,-114.63715481730637,48.286539210186746,0.005,0.8910770565682532,-79.74275940196897,-79.74275940196897,0.0,0.005,0.810898163711528,-71.89929692725995,-92.14685326471658,20.24755633745663,0.005,0.2083115677216344,-74.8058898607494,-78.34605945540153,3.540169594652127
1.0,0.005,0.7444420352888653,-62.09056702471563,-108.31164894800051,46.22108192328488,0.005,0.9613994121753929,-77.54221730584662,-78.4216272737456,0.8794099678989795,0.005,0.9236649879179821,-65.4700815338506,-76.9681653316368,11.498083797786194,0.005,0.6160598422108977,-65.1153967285477,-95.42990531656459,30.314508588016892
2.0,0.005,0.8592896395307306,-56.627236512671786,-79.33180693126585,22.70457041859406,0.005,0.8510199274685518,-76.26342752433699,-84.48102510519305,8.217597580856065,0.005,0.9547480994576617,-63.207399223857294,-64.91304206411881,1.7056428402615182,0.005,0.85837670049051,-64.84595156588793,-74.52331439186074,9.677362825972807
3.0,0.005,0.8622315841540062,-56.28653256264994,-71.33214844728407,15.045615884634131,0.005,0.8020136748919892,-75.4979046982956,-85.22302509168618,9.725120393390583,0.005,0.9587713073504173,-61.65869902574752,-71.70287193769884,10.044172911951328,0.005,0.8964046809421939,-62.739108627804654,-74.50205939608179,11.762950768277136
4.0,0.005,0.8325167976408727,-57.07261837258506,-84.05483200912828,26.982213636543214,0.005,0.9370405453015407,-75.40214330313194,-85.45271729792803,10.050573994796096,0.005,0.9541081315769356,-61.48468731670463,-67.99327728637415,6.508589969669522,0.005,0.8087227186650883,-64.3821063542276,-99.91027881902065,35.528172464793045
5.0,0.005,0.8476898073971114,-55.60587370932737,-76.61021733614048,21.00434362681311,0.005,0.9580363150872754,-71.59544192362503,-76.73072893909152,5.1352870154664885,0.005,0.9611521629580223,-61.19950433632631,-70.4870614894996,9.287557153173289,0.005,0.8032835647768043,-64.3652723393331,-71.70186296241954,7.336590623086437
6.0,0.005,0.8501732308246152,-57.19212489497118,-71.73810623468027,14.545981339709094,0.005,0.9477197048794351,-73.18481816094098,-98.34182336581577,25.157005204874793,0.005,0.9653400516405106,-60.16291337886422,-88.53009635325365,28.367182974389436,0.005,0.8074784762778061,-62.89308757608899,-79.56502036933549,16.671932793246498
7.0,0.0575,0.9909948441420574,-3.679334519820875,-8.253197944115108,4.573863424294233,0.005,0.9837563216128175,-41.6310846992844,-41.6310846992844,0.0,0.035,0.9952662231477506,-6.81090970627446,-17.116232812080654,10.305323105806194,0.015,0.9844175407858627,-18.145826683739504,-37.075554449291005,18.9297277655515
8.0,0.08,0.9676719584888964,-2.162659413818912,-7.695445325685439,5.532785911866527,0.0875,0.9802639080835325,-1.2314504550358578,-2.599332498723968,1.36788204368811,0.07,0.9370442410723129,-2.8813657304151756,-42.71387944698658,39.832513716571405,0.0125,0.9064141026824,-19.27867191044389,-48.78692911746043,29.50825720701654
9.0,0.0775,0.9850325448124819,-2.498661524935616,-5.967574714582061,3.468913189646445,0.08,0.9887246987892273,-1.74609094472969,-25.154668149296022,23.40857720456633,0.02,0.8153378092830631,-14.386289772037715,-28.913957837741044,14.52766806570333,0.0075,0.7815581802811877,-22.38543556719489,-42.5168917315094,20.131456164314514
10.0,0.0625,0.9358281770511551,-4.251817908040908,-8.916691695430387,4.664873787389479,0.0625,0.9562298549203825,-4.096892454404352,-19.078760339699507,14.981867885295156,0.015,0.690957073557894,-16.88531523561725,-22.475294014617052,5.589978778999804,0.0075,0.7981296909894284,-22.139704128516875,-40.097830256727256,17.95812612821038
11.0,0.06,0.9716136039852772,-4.659225882498495,-26.47363809327174,21.81441221077325,0.0575,0.9874702968990086,-5.09610501911534,-33.75178518093353,28.65568016181819,0.02,0.735041410560911,-14.904926048165215,-31.150820550104548,16.245894501939333,0.0075,0.865388480674765,-21.804916609565545,-37.1173774571466,15.312460847581058
12.0,0.0625,0.9655084257236598,-3.3297110001597536,-14.190636639143682,10.860925638983929,0.055,0.9854792143257742,-4.4323486007334925,-10.652301704124568,6.2199531033910755,0.015,0.7293057000138253,-16.508885964856724,-25.04503797762158,8.536152012764855,0.01,0.843394672134828,-21.342482556025537,-34.240765080275104,12.898282524249566
13.0,0.065,0.9706233613297752,-3.0318818551217324,-27.884305433699886,24.852423578578154,0.0525,0.9796042860333591,-4.033987223088464,-26.135280719453938,22.101293496365475,0.0175,0.8533706030112991,-14.621891154035296,-29.19483621749849,14.572945063463195,0.0075,0.9090082259649098,-21.38005773741538,-35.77039581655196,14.39033807913658
14.0,0.065,0.9691284787702631,-2.7110346548956805,-31.892745342207075,29.181710687311394,0.0525,0.973880271634532,-3.8977652418503235,-13.697986921865086,9.800221680014761,0.03,0.9169596406491362,-10.459079854068317,-48.88687262798216,38.427792773913836,0.0075,0.936094451300915,-24.833791691628527,-31.095692880672278,6.261901189043751
15.0,0.0575,0.9650425360432338,-3.937229254513449,-6.974426740082702,3.037197485569253,0.0475,0.9745689302109971,-6.520106577787206,-13.631324837617758,7.111218259830552,0.0325,0.8991612333230848,-10.241220582798471,-25.508586474391176,15.267365891592705,0.0125,0.9838678082153632,-19.38407247472046,-35.115013549844356,15.730941075123898
16.0,0.075,0.9814015604096914,-2.898556926453144,-7.821605143104558,4.923048216651415,0.0475,0.9751137757988698,-6.347457833180385,-10.189965888626435,3.842508055446051,0.045,0.9925326248321292,-6.738542051421796,-41.468132202185394,34.7295901507636,0.01,0.9785870564134621,-21.018681946344717,-38.21383066779808,17.19514872145336
17.0,0.065,0.9712450974943823,-3.9532782675481855,-16.345249001394034,12.391970733845849,0.05,0.9770061186068574,-5.304132394402052,-12.020201178061967,6.716068783659915,0.025,0.9286493879588109,-13.204697768860445,-33.067589929636284,19.86289216077584,0.005,0.9529717661110019,-26.942481007497875,-37.561822426252846,10.61934141875497
18.0,0.06,0.9439438533820509,-4.015568446310417,-5.507308301125931,1.4917398548155143,0.0475,0.9577368377224487,-5.137906500594717,-23.623506997809205,18.485600497214488,0.0225,0.8733987802477792,-13.238499539493239,-17.034219770565812,3.7957202310725737,0.0075,0.9423761077448519,-24.66197089116617,-50.525280424295616,25.863309533129446
19.0,0.06,0.966419164988179,-3.3819071149983437,-22.401558652933563,19.019651537935218,0.05,0.9606165025655052,-5.067592617941723,-15.205250347606205,10.137657729664483,0.02,0.8448110206909021,-14.567752495929238,-20.241720014121412,5.673967518192175,0.005,0.909307639078618,-28.287773484121498,-36.84332071218026,8.55554722805876
20.0,0.065,0.9632872559233844,-3.053837449157379,-26.645628778878937,23.59179132972156,0.05,0.9744416196856167,-4.481329496384929,-7.16409301197034,2.6827635155854104,0.025,0.8867486133749856,-12.817590893316007,-21.290085708672596,8.472494815356589,0.01,0.9468668755583372,-23.48743701255412,-52.32254711955359,28.83511010699947
21.0,0.0475,0.9351692022506162,-5.0642478493929,-9.998177258197538,4.933929408804638,0.045,0.9448220126099113,-6.739290262248403,-23.474131417695677,16.734841155447274,0.0225,0.8531527725141757,-13.412334121982628,-24.09401919324095,10.681685071258322,0.005,0.9381755616608216,-26.25351153504954,-47.42175319731786,21.168241662268322
22.0,0.065,0.969749777991986,-2.815843675724627,-20.64192346662733,17.826079790902703,0.06,0.9810584516145988,-4.846552250314788,-6.5387108479843725,1.692158597669584,0.02,0.8112605815861859,-15.981188817361984,-29.11863432686831,13.137445509506327,0.005,0.9173725527966708,-26.641082045795144,-33.5017416162329,6.860659570437754
23.0,0.065,0.971114469063857,-3.1214584939454855,-3.9102242149372275,0.788765720991742,0.0575,0.980387875410443,-3.7441339156250955,-19.653660067775153,15.909526152150057,0.0225,0.8614095926954031,-13.908448093695947,-38.68545180525084,24.777003711554897,0.0075,0.9451388893760706,-24.23665937437224,-32.963160130186566,8.726500755814325
24.0,0.06,0.9812945686424023,-2.7886769961589604,-12.67499460774659,9.88631761158763,0.0575,0.9784737050107848,-3.8459273422366502,-7.778766169177836,3.932838826941186,0.0225,0.9324211853961891,-13.91271907268858,-21.94556840271744,8.032849330028862,0.005,0.9471189890246428,-28.371601190620538,-42.410858514952466,14.039257324331928
25.0,0.065,0.9762930660689547,-2.7396545180885763,-13.669342390238794,10.929687872150218,0.06,0.9822925117297898,-4.5544064675394855,-9.988522026899787,5.434115559360301,0.02,0.9153381283838926,-14.59140119595024,-28.492521306369227,13.901120110418987,0.0075,0.9337163000027231,-23.509848301058295,-32.45855674276308,8.948708441704785
