,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.005,0.2834334014854729,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.9854350899932514,-103.05840993175426,-116.92221867905722,13.863808747302969,0.005,-0.0036200065790936045,-98.22240405145736,-102.63030521631478,4.407901164857421,0.005,0.007268435120876144,-90.22330746911707,-98.44814668455966,8.224839215442586
2.0,0.005,0.21937641709802805,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.9287716583100284,-95.2995370643415,-100.22554449655951,4.9260074322180145,0.005,0.3620268649641195,-93.15615072115641,-115.74382840931662,22.587677688160213,0.005,-0.03760002243234629,-86.18852186225826,-92.55128453347649,6.362762671218235
3.0,0.005,0.026507700790106007,-46.96265200423083,-46.96265200423083,0.0,0.005,0.9250667440059972,-77.19376403130173,-83.44785544000948,6.254091408707751,0.005,-0.16857202036284627,-50.12346776100151,-56.34100795225126,6.217540191249753,0.005,-0.09811537737417292,-51.56687424726242,-67.864479160049,16.297604912786582
4.0,0.045,0.47733084885892413,-6.3562211880829675,-20.874365669593335,14.518144481510367,0.0075,-0.11458748160422776,-25.79143798455278,-46.29446240920207,20.50302442464929,0.0325,0.5873785686822308,-10.146000059985594,-23.351523417854448,13.205523357868854,0.025,0.6523161445362627,-12.506850302087694,-25.72082569577106,13.213975393683368
5.0,0.0975,0.9120893833576807,-0.2242042793963832,-18.304792571007795,18.080588291611413,0.0675,0.9834602094001248,-2.310564725857481,-15.466893288677221,13.156328562819741,0.0575,0.838416456160474,-5.056523039266524,-22.470254805524753,17.41373176625823,0.0575,0.7022350178639422,-4.251668759253073,-12.096598754570259,7.844929995317186
6.0,0.0975,0.8979605068272448,-0.3532721647549961,-8.048190337437951,7.694918172682955,0.0725,0.955106620081637,-2.099105267055596,-2.4294935945657508,0.3303883275101547,0.0425,0.5075449377900036,-7.392298910413741,-45.194206622462715,37.80190771204897,0.0325,0.5160477925067551,-9.90195027947452,-35.287960605051325,25.386010325576805
7.0,0.09,0.9235391388228027,-0.6104804782025273,-7.547999815096567,6.93751933689404,0.075,0.9839222192543214,-1.6731183009870567,-4.951944312810312,3.2788260118232553,0.04,0.595513708928527,-8.24050827471101,-40.070997323781505,31.830489049070493,0.025,0.4547494167096134,-12.183465463381204,-22.029503248125557,9.846037784744354
8.0,0.0875,0.8723486903078461,-1.387269002927645,-16.212266574966282,14.824997572038637,0.065,0.9609447338488982,-4.223687269004077,-9.886475440429596,5.662788171425519,0.04,0.4762466993635866,-7.573694876180603,-30.435463922833023,22.86176904665242,0.0225,0.421800996466974,-13.64355430234788,-29.59445466862924,15.95090036628136
9.0,0.0875,0.822487919049793,-1.3330178607117924,-11.196205638729317,9.863187778017526,0.055,0.9606020077060433,-5.33220777025463,-15.05487355479981,9.72266578454518,0.035,0.39541172981947115,-7.9933785845848435,-28.934179708839004,20.94080112425416,0.0175,0.3441429236241447,-16.39261378887842,-30.068993996908034,13.676380208029613
