,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.4595270897241671,-87.71722171977618,-91.03644344083746,3.3192217210612824,0.005,0.8995269846432359,-104.87682786698636,-125.58555045556147,20.708722588575114,0.005,0.13540233482383976,-95.88228838926504,-114.6769320499306,18.794643660665557,0.005,-0.019573840978597788,-90.641013990329,-110.61314641368463,19.97213242335563
3.0,0.005,0.0786944692550221,-84.08312428013346,-90.21117870218046,6.128054422047001,0.005,0.7171005314509605,-104.24838900112758,-111.98793352128958,7.739544520161999,0.005,-0.03739407109882897,-94.87802730326527,-117.25870665691184,22.38067935364657,0.005,0.08796236403433726,-90.90971829100069,-97.43993229445606,6.53021400345537
4.0,0.005,0.7596893376341244,-73.96730186318024,-86.45010528188931,12.482803418709068,0.005,0.9545571655996147,-93.167132691018,-98.15095777700357,4.983825085985572,0.005,0.4662308151207011,-92.39538609866509,-101.16306648947403,8.767680390808948,0.005,0.05248969166604657,-84.81661984386952,-99.24306377570836,14.426443931838847
5.0,0.005,0.7954868490897553,-70.4507879771156,-97.21670023491586,26.765912257800267,0.005,0.6133672059894325,-92.6385121425364,-100.9108834883488,8.272371345812402,0.005,0.21959271501749658,-86.3249347934514,-86.5311173313911,0.20618253793969643,0.005,0.041618600137725115,-82.53030510848527,-94.01878880469974,11.488483696214473
6.0,0.005,0.33258794020778043,-55.87321318694637,-82.03857363715667,26.1653604502103,0.005,0.7520907218294737,-71.24629943993793,-81.00543831741524,9.759138877477312,0.005,0.09232855231398382,-63.51799089445825,-73.22262437583255,9.704633481374302,0.005,0.01873830343022457,-66.87361059761274,-85.00028360183524,18.126673004222496
7.0,0.015,0.9972121782874882,-18.307944994588997,-36.71578273249819,18.407837737909194,0.005,0.6903766440783131,-71.20158621024673,-78.35372341074203,7.152137200495304,0.005,0.9912302149065371,-34.35368726215838,-55.29019885340942,20.93651159125104,0.0125,0.9979628344881861,-19.307964308116322,-54.50789905324071,35.199934745124395
8.0,0.0875,0.9660810821073044,-1.0558368382534615,-25.209974559339493,24.15413772108603,0.0925,0.9888489359816173,-0.8519485082933078,-2.300926225120825,1.4489777168275173,0.0625,0.9353290275969588,-3.7513662789349604,-23.61920752166273,19.86784124272777,0.0375,0.9573729073628694,-8.884148212912491,-77.86628229015575,68.98213407724326
9.0,0.0675,0.9223300605356997,-2.6356312442411385,-14.28113220412457,11.645500959883432,0.075,0.9298302749069444,-2.2548973987272385,-14.552168590444989,12.297271191717751,0.0125,0.6839043649342689,-18.8918736921384,-31.715614068099747,12.823740375961346,0.005,0.4563329997457282,-46.56868375447114,-74.21030005456169,27.641616300090547
10.0,0.09,0.9625119379032635,-1.0323195279592354,-38.10893945090409,37.07661992294485,0.0875,0.9714689368403553,-0.7665572699589173,-9.826612606711667,9.060055336752749,0.0375,0.923760440432935,-8.958891402657867,-14.938172996513865,5.979281593855998,0.0075,0.7344659508548845,-24.277659782369266,-32.98295963607103,8.705299853701764
11.0,0.09,0.9192916399022755,-1.0384618636745013,-6.926718722455995,5.888256858781493,0.075,0.9888013031521806,-2.3382054225211526,-4.891170049689302,2.5529646271681496,0.035,0.5962200121088737,-9.93775181825162,-24.710358572285735,14.772606754034115,0.0075,0.14943013210332792,-25.848853443234727,-50.01731616867286,24.168462725438136
12.0,0.0725,0.9611340111469914,-2.537096516860282,-6.300760715949001,3.7636641990887187,0.0625,0.9901938668078101,-4.008775229568037,-15.206289253984565,11.197514024416527,0.0225,0.2739799788256471,-13.86542638779483,-34.76179877601756,20.896372388222726,0.005,0.22948058661443543,-48.03190574163739,-72.1979450339837,24.166039292346312
13.0,0.0625,0.9862446875489602,-3.4415769921320365,-28.84486929085316,25.403292298721126,0.06,0.9906442611171794,-4.827686888708181,-11.029304502414865,6.201617613706684,0.01,0.44189557632927146,-21.59929443262929,-25.50607649517515,3.9067820625458616,0.005,0.5994748766309389,-55.31895281140885,-68.46550133731783,13.146548525908983
