,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.005,0.35239643667351084,-89.9849410072861,-133.97940008672037,43.99445907943428,0.005,0.9692087407894364,-103.85023786594424,-115.21994082298426,11.369702957040019,0.005,0.04129350563085609,-94.14287956736841,-102.76659270774405,8.623713140375642,0.005,0.024479522099429715,-91.17617149597237,-102.31735251689999,11.141181020927618
2.0,0.005,-9.702546155509136e-05,-89.9849410072861,-89.9849410072861,0.0,0.005,0.7100309629291771,-104.37846610997333,-111.43238250407492,7.053916394101591,0.005,0.09564823615072954,-94.56818808227558,-99.66359658247674,5.0954085002011595,0.005,-0.022688296253750503,-90.34359883005563,-103.04667943086127,12.703080600805649
3.0,0.005,0.046472478941108133,-80.44251657790609,-80.44251657790609,0.0,0.005,-0.048524108180231076,-103.0971430110373,-114.48919711043798,11.392054099400681,0.005,0.15310101837438334,-90.39794000807629,-95.07895218318644,4.681012175110155,0.005,0.01990659160776844,-88.14477076719187,-112.95584465042236,24.811073883230492
4.0,0.02,0.5051373937303396,-15.31297221580467,-19.12594414815611,3.812971932351438,0.0075,0.33483060359870537,-24.46798169821171,-24.46798169821171,0.0,0.02,0.4225890171149152,-15.144817691916275,-21.7313428100371,6.586525118120823,0.005,-0.24090984214004113,-76.71557727338708,-112.42378539170446,35.70820811831737
5.0,0.0225,0.3968885273437636,-13.172783569932243,-32.984276202904454,19.81149263297221,0.015,0.1464119911404447,-19.41241877863736,-21.450378299648083,2.0379595210107233,0.015,0.5162574691822432,-17.39828607188843,-32.80012946427584,15.401843392387413,0.005,-0.24727236131375216,-83.91118788891278,-108.362744592349,24.451556703436225
6.0,0.02,0.39943039616084625,-14.474188864283592,-28.877374632678453,14.403185768394861,0.01,0.0648306967115992,-20.671915098710794,-24.656144090960474,3.9842289922496796,0.015,0.5296425392181335,-17.781308592348775,-19.45045374177002,1.6691451494212437,0.005,-0.35646474649537235,-81.26114850077215,-87.43021381581428,6.169065315042133
7.0,0.02,0.3943940916008085,-14.506288115011083,-29.30842717066756,14.802139055656477,0.01,0.15964271264524008,-20.013922074278412,-54.31652596009506,34.30260388581665,0.015,0.5157107833886689,-17.86467201677241,-23.468113930392796,5.603441913620387,0.005,-0.29296051658245287,-80.62057557360336,-89.5268639765785,8.906288402975136
8.0,0.0275,0.025003067187015227,-11.910122606213989,-14.756910035287753,2.846787429073764,0.0125,0.06651329669467858,-19.616058091405275,-37.30607919161312,17.690021100207847,0.02,0.05915106887974674,-14.90720530407273,-16.54110543012028,1.633900126047548,0.005,-0.17345898712437768,-77.28544145382665,-111.25361501650303,33.968173562676384
9.0,0.025,0.26777497356387736,-12.382395075122465,-17.737742047930624,5.355346972808158,0.01,0.14485428549707183,-20.925034023265574,-27.599137401463935,6.67410337819836,0.0225,0.2352571935154255,-13.095944544980242,-15.548976594633345,2.4530320496531033,0.005,-0.3341240211803607,-75.62935556272475,-107.14066075377262,31.511305191047867
10.0,0.025,0.36019269259791287,-12.407614391028751,-15.784287153165028,3.376672762136277,0.01,0.1509834589594772,-23.39067286196812,-24.39055164182937,0.9998787798612483,0.025,0.44340681274601756,-12.849469349519971,-24.395674970334724,11.546205620814753,0.005,-0.2755677995746011,-66.07994158902544,-79.43043654271096,13.350494953685526
11.0,0.025,0.3483287104916557,-12.349262234603968,-44.64150668725779,32.29224445265382,0.01,0.1314201565785964,-24.118752356507024,-31.236170080885323,7.117417724378299,0.025,0.4796658213759721,-12.669607903722843,-28.447528353795377,15.777920450072534,0.005,-0.35874854747091894,-72.50757651649609,-88.31756885172743,15.809992335231343
12.0,0.015,0.35142364962428685,-18.15919611616784,-28.357995344173457,10.198799228005615,0.01,0.10747597047289484,-23.731897112966426,-30.402726243046704,6.6708291300802784,0.01,0.40431131809356613,-20.092317552554555,-38.10361468059974,18.011297128045186,0.005,-0.23037547607025557,-69.85770433179164,-79.20702631621126,9.349321984419618
13.0,0.0125,0.5798118316428129,-19.271465221784307,-25.416934479373616,6.145469257589308,0.0075,0.6830117108982153,-25.843157531898548,-37.70950408634938,11.866346554450828,0.01,0.552044370106226,-20.7157134052648,-50.60094869810824,29.88523529284344,0.005,-0.22145519947233328,-69.39730260018624,-85.28711290852075,15.889810308334518
14.0,0.0125,0.5105218820940662,-18.602146809898137,-26.011799778321723,7.409652968423586,0.01,0.5379357044476532,-25.496493258391414,-37.23658316802917,11.740089909637756,0.01,0.5809151554235474,-20.55687245834434,-38.256389839554,17.699517381209656,0.005,-0.34232569053917106,-69.61592267587817,-80.3353284057445,10.719405729866338
15.0,0.0125,0.5462333074671514,-17.66804343434812,-25.25419637463547,7.586152940287349,0.01,0.4744276923767078,-24.690136904769815,-26.61899144438966,1.928854539619845,0.0125,0.4896194805402688,-19.53093887344117,-32.882652995046875,13.351714121605706,0.005,-0.33801997727573246,-68.9871839445253,-82.42256383822698,13.435379893701679
16.0,0.0125,0.5848729053000643,-17.77812760963185,-39.93639882090358,22.158271211271728,0.01,0.5926603328222282,-24.296120671896468,-28.187720460628967,3.891599788732499,0.0125,0.5558131871562402,-19.73612742156086,-69.0645741611032,49.328446739542336,0.005,-0.23034164454434497,-54.50232412035626,-100.92970172935176,46.4273776089955
17.0,0.0125,0.49373774161907175,-17.7951872313034,-37.096169321979026,19.300982090675625,0.01,0.5133479203950672,-24.32727777799403,-37.973735560874,13.646457782879967,0.01,0.500402619160866,-20.09636145655771,-23.733483836594832,3.6371223800371233,0.005,-0.40190868885648734,-64.2146128250089,-93.60352215120857,29.388909326199666
18.0,0.0125,0.002543818068319835,-17.607252060674913,-28.20097406759166,10.593722006916746,0.01,0.14621530516809272,-24.49454454854012,-33.652040524419576,9.157495975879456,0.0125,0.024759996920382894,-19.458902636507272,-22.725571511942935,3.2666688754356628,0.005,-0.3492880077774402,-66.23181599927682,-80.72816733859811,14.496351339321293
19.0,0.0125,0.0008375757099252878,-19.24115701693328,-20.927754287852963,1.686597270919684,0.01,-0.10728432189986485,-25.824213729063974,-41.074397983304976,15.250184254241002,0.01,0.027457601833706193,-21.540973937602526,-23.907059328063713,2.366085390461187,0.005,-0.3785788858966482,-63.036352940908955,-63.77741361037018,0.741060669461227
20.0,0.0225,0.39803192914808033,-13.276203382266601,-21.166760054125877,7.890556671859276,0.01,-0.5082559209251902,-20.880261770106735,-29.75473539266963,8.874473622562896,0.02,0.7266196249692798,-16.07484106775686,-21.665762747375478,5.590921679618617,0.005,0.07549941369493562,-58.060404880237314,-86.26886179853848,28.208456918301167
21.0,0.0225,0.35097413747713757,-13.313075590592295,-37.77173825402803,24.458662663435735,0.01,-0.6213889464218246,-20.8778765334255,-22.418442702291234,1.540566168865734,0.0175,0.7093383167919184,-15.492520739750013,-29.163395549159166,13.670874809409153,0.005,-0.2969749301795098,-60.45931555137352,-98.27444815141284,37.81513260003932
22.0,0.0225,0.35537349881418234,-12.979370539328253,-25.556656345098876,12.577285805770623,0.01,-0.6508373045247127,-20.669978086605365,-21.833966428412616,1.1639883418072507,0.02,0.7001372418347359,-15.09573615122533,-22.886544165462205,7.790808014236875,0.005,-0.3077947130417711,-63.615740256416096,-71.8684574268745,8.252717170458403
23.0,0.025,-0.0873205393621097,-11.439587577410562,-18.2576970117058,6.8181094342952395,0.01,-0.6325199539817862,-20.947010800201568,-31.483233586568122,10.536222786366555,0.0225,-0.04432822386005912,-12.746894229431401,-15.473792836464636,2.7268986070332346,0.005,0.08378573902103628,-55.02157350717067,-71.40174541060782,16.380171903437144
24.0,0.0275,0.1649205536241604,-11.858241011774222,-20.093501852265195,8.235260840490973,0.01,-0.1926243478840728,-23.816415049829263,-34.65328310315764,10.836868053328377,0.0225,0.1894626543233398,-12.730863839873475,-24.42097865915798,11.690114819284506,0.005,-0.3739275301440528,-63.01498973928822,-84.41617039619825,21.401180656910036
25.0,0.025,0.36030028886932525,-12.155307464026023,-14.17501591879121,2.019708454765187,0.01,-0.11622020193926617,-23.543309376640874,-37.514461900607536,13.971152523966662,0.0225,0.38717376434720663,-12.383289146398814,-17.94398940135592,5.560700254957107,0.005,-0.25184236115090763,-65.66822651865664,-81.65594494279155,15.987718424134911
26.0,0.0275,0.11303598747309584,-11.753267520294699,-21.56932874124138,9.816061220946683,0.01,-0.6350412838938247,-23.264346250676887,-30.9388211835566,7.674474932879711,0.025,0.24291110204766242,-12.447374359873834,-24.33219224109884,11.884817881225008,0.005,-0.263348514949021,-59.869428847992374,-77.42621086598993,17.556782017997556
27.0,0.0175,-0.32172307337639483,-15.314576518812121,-25.00586882557631,9.69129230676419,0.01,-0.6801983162845207,-23.394650171395675,-26.992972625683926,3.598322454288251,0.015,-0.03758781840978919,-16.833674168094564,-80.84967546680741,64.01600129871285,0.005,-0.21858846496502476,-62.760845270512476,-68.34379372118688,5.582948450674408
28.0,0.02,-0.29927385441458865,-16.061309376357485,-25.82149106813196,9.760181691774473,0.01,-0.8579578844869953,-22.972153278187836,-32.83791210995743,9.865758831769593,0.015,-0.17503915025128763,-16.591070845517066,-20.000535561220282,3.4094647157032156,0.005,-0.1489922149106387,-56.30691733135464,-104.73977004651155,48.43285271515691
29.0,0.0175,-0.35471338333699487,-14.973230749925603,-60.4425160458955,45.4692852959699,0.01,-0.7685131698232116,-23.84023662449841,-41.93542850260002,18.09519187810161,0.015,-0.21801482089936847,-16.730046887709562,-20.904973296993802,4.1749264092842395,0.005,-0.18652152412451847,-62.35290975881257,-82.7679695675483,20.415059808735734
