,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.07583106230178469,-59.18294868384861,-80.76657360480111,21.583624920952502,0.005,0.21607989643808062,-90.36978394898689,-102.63884420189108,12.269060252904183,0.005,0.345043533045622,-62.55820755055778,-76.12405611470278,13.565848564145,0.005,-0.14817974967556768,-63.280387527213605,-84.04341328613452,20.763025758920918
1.0,0.005,0.09847689056922448,-60.20599913279624,-90.30899869919435,30.10299956639811,0.005,0.7870098877818196,-86.05397503370328,-89.22337754469797,3.1694025109946864,0.005,0.30220844251711537,-64.47039935239121,-69.0802883301652,4.609888977773991,0.005,-0.8778461641786286,-66.18230197454511,-90.52604530200448,24.343743327459364
2.0,0.005,0.6657756044222132,-56.32959861247397,-71.22414851040786,14.894549897933885,0.005,0.44964932306621574,-83.64666581897707,-90.68040147036936,7.033735651392291,0.005,0.7165229392242931,-56.510200601301676,-97.7244292135534,41.21422861225173,0.005,-0.06927607773030867,-77.60419535963048,-91.50514302468662,13.900947665056137
3.0,0.005,0.48616729205883896,-55.34523815907035,-61.36583807234997,6.020599913279625,0.005,-0.02666456171801792,-82.82577666826933,-87.71584236036784,4.890065692098517,0.005,0.4997321131507391,-56.07524318313531,-56.15666004670139,0.08141686356607636,0.005,-0.2909447416969299,-74.23452837139547,-127.9797864801826,53.74525810878713
4.0,0.005,0.46618137051020786,-52.03272165152002,-60.20599913279624,8.173277481276216,0.005,0.02925342684804284,-77.77047737504827,-80.56997514481859,2.799497769770312,0.005,0.45562761671926005,-50.708739807200935,-73.37757838715865,22.668838579957715,0.005,-0.1317981867829432,-74.1639787085338,-92.17860248485812,18.014623776324314
5.0,0.005,0.4826688163092243,-50.754526593417395,-64.73392668013777,13.979400086720375,0.005,0.1420778787024689,-75.25241004747431,-75.93838536788138,0.6859753204070671,0.005,0.5020480474443945,-51.51689874405554,-57.49683511160114,5.979936367545605,0.005,-0.2752453887931529,-72.54203835360032,-88.54796250429607,16.005924150695748
6.0,0.005,0.49426585479068363,-50.22257122354151,-55.0404388279356,4.817867604394095,0.005,0.6035752868891837,-67.00707054481785,-71.05519830878984,4.048127763971991,0.005,0.5030553974020128,-48.70869390873992,-56.3050735246629,7.596379615922984,0.005,0.08354918196822193,-74.39319476285559,-79.38505708721509,4.991862324359502
7.0,0.005,0.41397315417570896,-47.574587356066225,-80.76657360480111,33.191986248734885,0.005,0.814269943235501,-63.56218324184864,-67.56026768554591,3.998084443697266,0.005,0.3757904070071782,-48.36382345752121,-50.261142551971346,1.8973190944501397,0.005,-0.18319480513279773,-73.82842957976061,-78.11241264370493,4.283983063944319
8.0,0.005,0.44591595429498154,-47.63822053179,-57.844012891236346,10.205792359446349,0.005,0.6103201287572191,-62.05821511671509,-67.97052237410662,5.912307257391532,0.005,0.4477036064059424,-48.43854760698369,-78.50516488568236,30.066617278698672,0.005,0.13638192821637,-74.17876721320131,-104.66377079619726,30.485003582995944
9.0,0.005,0.4357168928023243,-45.39874534291136,-68.03013165305762,22.63138631014626,0.005,0.6055796196269142,-61.78592015320896,-65.2350584253443,3.449138272135343,0.005,0.4247344605536826,-47.51942798300756,-56.38800807993036,8.868580096922798,0.005,0.08459467426425164,-74.19680277328045,-100.86740211923221,26.670599345951757
10.0,0.005,0.40992178789264094,-44.91873981483603,-60.76657360480111,15.84783378996508,0.005,0.4986850140062674,-59.59709375397903,-65.36478977882639,5.7676960248473605,0.005,0.39666338976230975,-45.462242161319544,-72.90905356137675,27.446811400057207,0.005,0.06852066682952337,-74.444321697295,-91.30075114828755,16.85642945099255
11.0,0.005,0.4871481108579348,-45.300598653016465,-57.053842065562876,11.75324341254641,0.005,0.6035361972654938,-60.757744311499096,-64.3928136161318,3.635069304632708,0.005,0.49066743849056565,-46.260295672013186,-57.469267574800355,11.20897190278717,0.005,0.2813238236460979,-76.0412969712122,-92.60490769118455,16.563610719972345
12.0,0.005,0.3875915978689755,-44.55296410058984,-45.251938079596485,0.6989739790066452,0.005,0.5281393856560362,-58.47695531640306,-71.66444680294917,13.187491486546115,0.005,0.3678942064387236,-44.82638367658244,-63.19332216531491,18.366938488732472,0.005,0.15768549346494848,-72.87951417245223,-88.24705212872698,15.367537956274745
