,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.019479813514212237,-90.06137008383119,-133.97940008672037,43.91803000288918,0.005,0.8959134434928148,-101.75714505287075,-108.26877171163514,6.511626658764385,0.005,0.16740221397741895,-94.48431124406832,-102.36776865228889,7.883457408220565,0.005,-0.009874313733132451,-91.4765426272973,-106.96649634841265,15.489953721115342
1.0,0.005,-0.04384827838721984,-84.04077017055157,-90.06137008383119,6.020599913279625,0.005,-0.150518940610744,-105.3318906646279,-117.22463961597468,11.892748951346775,0.005,-0.06844023845871341,-96.02524743539533,-108.62108673486425,12.59583929946892,0.005,0.009575488914924046,-90.2399363241662,-109.21834989562514,18.978413571458944
2.0,0.005,0.006480383926678134,-84.04077017055157,-133.97940008672037,49.93862991616881,0.005,0.015612232733715103,-105.158407021872,-113.16949873993724,8.011091718065245,0.005,-0.025218983118833294,-96.17902047414577,-110.03215337961416,13.853132905468385,0.005,0.01857511692809001,-90.92290383207646,-112.05434438157812,21.13144054950166
3.0,0.005,-0.8052435624943584,-44.172046127621115,-52.79491369476209,8.622867567140972,0.005,-0.9147988946837229,-83.67711011681496,-103.05941015388449,19.382300037069527,0.005,-0.8615831564380031,-46.048148035932186,-58.97280205700213,12.92465402106994,0.005,-0.6688382711549685,-50.6875989293594,-58.74377812674922,8.056179197389817
4.0,0.1,0.651244046160853,-0.2903563806258407,-15.87257876582754,15.5822223852017,0.05,0.8894494559263115,-4.557791363440302,-5.837092819223722,1.2793014557834201,0.075,0.6344158097985201,-2.1868609350260284,-11.779469751766749,9.592608816740722,0.025,0.11088051274215002,-11.013355169958192,-49.298886000197754,38.285530830239566
5.0,0.0925,0.4649560358680045,-0.2703563720342109,-10.252817503607108,9.982461131572897,0.065,0.5120636093649952,-2.7299370589298686,-10.261422519298616,7.5314854603687476,0.055,-0.033560837041550724,-3.7773066299050013,-9.853422457866323,6.076115827961321,0.015,-0.07605192525729916,-16.92106011338395,-30.002299832414327,13.081239719030375
6.0,0.0825,0.6324771180769619,-0.3010790015557705,-13.578854058788767,13.277775057232997,0.0825,0.7786667989696309,-1.4710897999835881,-16.77087743779773,15.299787637814141,0.035,-0.3335249695930878,-8.336472673939536,-29.72471920498251,21.388246531042974,0.01,-0.13627065302909266,-20.32715347726397,-45.98455584017513,25.657402362911164
7.0,0.065,-0.0641174241977912,-3.3534159795446756,-10.558250765896124,7.204834786351449,0.0625,0.031104777455860978,-3.7334601215501726,-4.989638724661677,1.256178603111504,0.02,-0.1059805229345344,-14.205803970698307,-20.99824904181522,6.792445071116914,0.0075,-0.15709354649608792,-24.194073405250343,-46.70835425296228,22.514280847711937
8.0,0.0425,0.12769891580532322,-6.421070969806594,-44.955920138306205,38.53484916849961,0.05,0.031106367725141547,-4.821996613856301,-11.244150175539476,6.422153561683174,0.015,0.04415268414992901,-17.757869628451964,-38.30161042477867,20.54374079632671,0.005,-0.16589076203945127,-30.656122210499078,-41.88495003886969,11.228827828370612
9.0,0.0275,0.2206949205688034,-11.754429543580205,-34.15767883205591,22.403249288475703,0.0325,0.5401322586274294,-9.394724881751035,-18.562833300524225,9.16810841877319,0.0125,-0.12771522778818337,-19.945391738436847,-50.14081133402017,30.195419595583324,0.005,-0.1505722770905811,-31.716932088019746,-58.97862568182211,27.261693593802363
