,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,-0.47308045391304476,-70.45207209768856,-79.99449740260894,9.542425304920386,0.005,0.7929209789943683,-90.44673340080992,-90.44673340080992,0.0,0.005,-0.2029733529641588,-78.83995641811555,-78.83995641811555,0.0,0.005,0.04892194125227271,-93.15046900822992,-108.04930989931546,14.898840891085541
10.0,0.03,0.8058298582432053,-9.335165721853784,-28.52159646338911,19.186430741535325,0.015,0.9036145449735103,-16.55388152179949,-16.55388152179949,0.0,0.02,0.8468772693205509,-14.708431579061376,-18.115301084585752,3.4068695055243765,0.005,0.36361023249913355,-64.09859041923842,-73.19020300355776,9.091612584319336
11.0,0.035,0.7979592098920317,-9.07599086993567,-26.923815521703993,17.847824651768324,0.0275,0.7690860092902125,-11.955441396421742,-14.326280074081323,2.370838677659581,0.0225,0.911322318625031,-13.694064921057032,-28.489895826328286,14.795830905271254,0.005,0.46086129614522864,-68.40656353711762,-88.02401631160467,19.61745277448705
12.0,0.035,0.7727477138170947,-8.145040113764605,-18.532355442660904,10.3873153288963,0.0275,0.7534155018844706,-11.256686401221199,-15.604531366284418,4.347844965063219,0.02,0.9500475366935693,-15.642898954644053,-22.714926940205995,7.072027985561942,0.005,0.4514969530073646,-71.43202985212821,-79.82178856591447,8.389758713786264
13.0,0.035,0.8236687328431923,-8.775651610126545,-12.946987071349946,4.171335461223402,0.0275,0.7935175985409552,-11.188331998457006,-19.13265345060428,7.944321452147275,0.0175,0.9391233715630574,-16.080256236527482,-34.076501610758044,17.99624537423056,0.005,0.8697656795209412,-62.77409020950248,-75.21886314158206,12.44477293207958
14.0,0.035,0.7916285036235992,-8.788392163876347,-17.47836816039799,8.689975996521644,0.0275,0.7766146646753221,-11.040366593466706,-18.925506667317606,7.8851400738509,0.015,0.8677579498566118,-16.530406198620863,-35.3778618061198,18.84745560749894,0.005,0.9504497687176746,-63.23648650079861,-76.89728081936852,13.660794318569906
