,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.2853224352743987,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.9668148901799375,-99.97703003819606,-105.71688716912172,5.739857130925657,0.005,0.38300837607420873,-94.64212064064868,-133.97940008672037,39.33727944607169,0.005,-0.01913855302605273,-93.0742492050764,-133.97940008672037,40.905150881643976
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999954159835931,-105.68918526479449,-117.88872576598935,12.19954050119486,0.005,0.975092414186906,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.6814207059196358,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999970442398693,-117.53159259888285,-133.97940008672037,16.447807487837522,0.005,0.9534390503336859,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.41905722921267236,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999965363794382,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.980685902419736,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.6273464261725346,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999941751249607,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9443462491842975,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999912296195755,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9800126590776184,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999932363098213,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9575408587262184,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999961177631689,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9727109811777123,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999997052067741,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9729185198255809,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999964870165476,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9572092560498865,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999994058347202,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9800784782755106,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.005,-0.03368134548055416,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.03315304600356574,-99.5157408080706,-100.31574726093196,0.8000064528613535,0.005,0.15340012441554127,-95.90361931953987,-101.50998865870726,5.606369339167387,0.005,-0.029570881155394167,-89.34176788288745,-96.03336945436952,6.691601571482067
12.0,0.005,-0.09096019692019545,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,-0.5070277298427684,-97.19523968274913,-125.5764090983979,28.38116941564877,0.005,-0.004445979469573409,-93.09704756875554,-108.0826242928081,14.985576724052564,0.005,0.006916230127619684,-87.97191908579504,-110.60674096271245,22.634821876917414
13.0,0.005,-0.04831701368276457,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,-0.19256645858344282,-95.63019687719644,-115.401326672728,19.771129795531564,0.005,-0.02080331334832711,-90.41358860576408,-102.33772745970111,11.924138853937038,0.005,-0.022491032738387647,-85.36830161085129,-89.72670086660392,4.35839925575263
14.0,0.005,-0.089589980902292,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,-0.1411308646538408,-96.40378370537057,-99.64904042718703,3.2452567218164603,0.005,-0.1911185944686016,-87.92618387895428,-103.51928233619464,15.593098457240359,0.005,-0.12935560073727678,-84.80249132473895,-111.3509204041093,26.54842907937035
15.0,0.005,-0.08514396027404098,-78.2677988726351,-84.28839878591472,6.020599913279625,0.005,-0.09103658464275881,-92.72004667360258,-98.67864518063197,5.958598507029393,0.005,-0.04342248300054973,-84.46974943317726,-100.61151381973367,16.141764386556417,0.005,-0.1307540397832546,-83.43371282479475,-89.17024677399239,5.736533949197636
16.0,0.005,-0.09063148557899718,-37.32230152495152,-47.141748857289365,9.819447332337845,0.005,0.56234216872129,-69.99961534691623,-77.36710600244874,7.367490655532507,0.005,-0.012934844446215897,-38.171305327934164,-49.21037657439732,11.039071246463159,0.005,-0.28432987556160827,-45.01121639810778,-47.663144142685574,2.6519277445777973
17.0,0.005,0.13162110835009136,-33.30833354539897,-39.15885466108119,5.85052111568222,0.005,0.47323814265525277,-71.39643464144145,-100.29277172395565,28.896337082514208,0.005,0.2776054819476066,-37.63537249458639,-47.79653577642666,10.161163281840267,0.005,-0.20716381316743424,-37.37630120468605,-55.522825679468625,18.146524474782574
18.0,0.005,0.042288019171526144,-31.41934525619098,-38.55477939881613,7.135434142625151,0.005,0.8157896239083797,-66.16017418486463,-108.163566217808,42.00339203294337,0.005,0.1393775241709828,-32.72626620562242,-55.60928456962306,22.883018364000634,0.005,-0.17726100870371025,-36.32103979206126,-43.31152383584615,6.990484043784889
19.0,0.005,0.3546884059510999,-29.901773046240198,-41.81136596657302,11.909592920332823,0.005,0.893649358607053,-65.86093870610287,-77.55386475956428,11.692926053461406,0.005,0.45553581434816365,-30.89088486861948,-51.250909302535646,20.360024433916166,0.005,0.05632107353627886,-34.41708848485847,-43.122506036947684,8.705417552089216
20.0,0.005,0.13035613990334885,-28.75437510614651,-38.8748220630206,10.12044695687409,0.005,0.2775808959745298,-68.57657958021755,-95.20972968517485,26.633150104957295,0.005,0.17247792711583962,-32.64849218975057,-45.69164169543714,13.043149505686571,0.005,0.06766231493258366,-33.31845991720157,-54.132634693787125,20.814174776585553
21.0,0.005,0.0249068925836542,-26.897897528770187,-34.267213541559705,7.369316012789518,0.005,0.5724269774066211,-72.07818084609225,-91.53125614194344,19.453075295851193,0.005,0.13781346929394872,-29.15723957195275,-43.569519418783536,14.412279846830785,0.005,-0.12936464533221856,-30.92966145355603,-37.40949523009478,6.479833776538747
22.0,0.005,-0.03873772272537076,-28.81998432010253,-44.96556413113407,16.145579811031542,0.005,0.42037797507717733,-73.92541135831036,-99.56033735088808,25.63492599257772,0.005,0.1262145980453449,-32.383720030364024,-39.924692305803354,7.54097227543933,0.005,-0.162931154995604,-30.06797816821235,-39.77553427418452,9.707556105972174
