,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.3240850028668488,-89.32815756438116,-89.32815756438116,0.0,0.005,0.959616935471723,-102.03788328163196,-116.0754793109573,14.037596029325343,0.005,0.08786568046489764,-95.14776418069452,-112.82545591422601,17.67769173353149,0.005,-0.0006279799736599394,-91.82663041755113,-131.50712904588636,39.68049862833523
7.0,0.005,0.01811850859599978,-83.30755765110153,-89.32815756438116,6.020599913279625,0.005,0.6869149503346864,-104.49516366786875,-124.50811954412106,20.012955876252306,0.005,0.046108042275403244,-96.91489535722448,-104.76354528254711,7.848649925322633,0.005,0.011149011542033401,-91.08316735843246,-99.69469377899976,8.611526420567301
8.0,0.005,-0.04009757408782078,-79.78573277827907,-133.97940008672037,54.193667308441306,0.005,0.647629747969243,-113.29949110948682,-130.53161056555862,17.2321194560718,0.005,-0.11435012935586643,-96.48131234411767,-100.88128674040418,4.39997439628651,0.005,-0.1701575590265677,-88.21122425699542,-110.80046663827686,22.589242381281437
9.0,0.005,-0.06112091907385988,-77.28695773782191,-89.32815756438116,12.04119982655925,0.005,0.17528894749080118,-112.34524597933603,-132.83859261594827,20.493346636612245,0.005,-0.14317570501571888,-95.71387902352156,-119.43206955409377,23.718190530572215,0.005,-0.17126055084891825,-84.89758406312335,-117.72689349588518,32.82930943276183
10.0,0.005,-0.1486538358852152,-77.28695773782191,-83.30755765110153,6.020599913279625,0.005,0.2068677230760102,-111.27939041773462,-111.86320623972684,0.5838158219922178,0.005,-0.16974848470074838,-95.13015586620193,-97.34031403622012,2.2101581700181896,0.005,-0.27161394686357115,-83.76993552653978,-98.14533372280616,14.375398196266374
11.0,0.005,-0.3400894387904363,-44.66823549175351,-48.19006084594288,3.5218253541893745,0.005,-0.1153594230106445,-107.95855806235775,-124.54874192693441,16.59018386457666,0.005,0.17881210945801335,-71.78026581845668,-84.09184616708224,12.311580348625554,0.005,-0.4601522568079344,-49.92625050046948,-55.56789525822337,5.641644757753895
12.0,0.01,-0.1690264294051531,-21.36241174186647,-42.801440467959225,21.439028726092754,0.005,-0.19659234241133097,-54.538145013322854,-60.18259677835297,5.644451765030119,0.01,-0.13842023017204866,-23.554806769139912,-31.26446445320756,7.709657684067647,0.005,-0.37497679319670496,-27.188416252236337,-40.2953759948014,13.10695974256506
13.0,0.01,0.07245419640770286,-22.667277381591493,-47.60096142090389,24.9336840393124,0.005,0.01831427954133416,-55.55956545665396,-65.1937667193158,9.634201262661847,0.01,0.1745904589594112,-22.854126535444877,-54.71972821655494,31.865601681110064,0.005,-0.2929834212818126,-32.2182238940852,-49.233389958038444,17.015166063953245
14.0,0.01,-0.04482155424596366,-24.76015034877827,-29.054564156274484,4.294413807496213,0.005,-0.3037836812285149,-56.91050476900714,-57.16804197716012,0.2575372081529821,0.0075,0.025855374071032274,-24.755827937395235,-35.15099575384704,10.395167816451806,0.005,-0.37400112888213993,-33.79567287025705,-49.096554995589344,15.300882125332294
