,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.11576927912052416,-78.2677988726351,-80.76657360480111,2.4987747321660123,0.005,0.99591973401434,-103.35225383956974,-107.68055020469596,4.328296365126221,0.005,0.35759244538508633,-97.2875642825649,-121.8755171060171,24.5879528234522,0.005,-0.0037138754451857725,-91.51933694803331,-114.7449180406121,23.225581092578793
3.0,0.005,-0.002330216052558447,-76.32959861247397,-80.76657360480111,4.436974992327137,0.005,0.8868910980037796,-107.69350921094572,-118.65700749394901,10.96349828300329,0.005,-0.11650168738039539,-98.49551649410459,-107.07404225061227,8.578525756507673,0.005,-0.03449253558697656,-91.8112013381845,-94.67557071568243,2.8643693774979226
4.0,0.005,0.07842366782898663,-74.74597369152148,-84.28839878591472,9.542425094393238,0.005,0.2503703118796026,-109.59619636445817,-117.33892714315289,7.742730778694721,0.005,0.01459355900739628,-98.2911783691595,-105.39862933348539,7.107450964325892,0.005,0.02470562171217598,-91.25155214869595,-115.02761393673383,23.77606178803788
5.0,0.005,-0.13666647731415157,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,0.08635084865148725,-115.15818837077586,-129.01492301858542,13.85673464780956,0.005,0.0383498904592877,-98.86115579991369,-114.71833040492146,15.85717460500777,0.005,0.048539618512038175,-90.96399329061177,-107.76051940125072,16.79652611063895
6.0,0.005,0.23757966414549053,-76.32959861247397,-80.76657360480111,4.436974992327137,0.005,-0.11938850782465008,-115.08171213512242,-124.05030821913213,8.968596084009718,0.005,0.04353561670768577,-97.88880019974482,-112.49530063516443,14.606500435419605,0.005,0.026916682704951973,-91.8192902580223,-97.32719201457016,5.507901756547852
7.0,0.005,0.21139235884747207,-76.32959861247397,-80.76657360480111,4.436974992327137,0.005,-0.09617576637018987,-115.3171571723781,-126.73530395717144,11.418146784793336,0.005,0.004135340115181556,-99.81515882293795,-120.67425488668496,20.859096063747018,0.005,0.049680241142436216,-91.9189865204266,-128.07398363617529,36.154997115748685
8.0,0.005,-0.06575293415964252,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,-0.1944350711142214,-112.91293599800801,-128.98675630652892,16.073820308520908,0.005,0.07228495905030574,-97.2160622341932,-106.06422328005358,8.84816104586038,0.005,0.008393527959378456,-91.97677702721126,-103.49882103367308,11.522044006461826
9.0,0.005,-0.014353390539376806,-78.2677988726351,-133.97940008672037,55.71160121408528,0.005,-0.19623341711242928,-117.50825564296187,-133.97940008672037,16.471144443758504,0.005,-0.023816472563161623,-94.77687568075726,-114.1446578357941,19.36778215503685,0.005,-0.0360591623623911,-90.65344532211742,-103.15365501837289,12.500209696255467
10.0,0.005,0.015970424999641745,-76.32959861247397,-133.97940008672037,57.6498014742464,0.005,0.0007662481906284842,-114.05129054123154,-118.75065807537284,4.699367534141302,0.005,-0.06515819398515359,-98.88704009268936,-124.11749026950548,25.23045017681612,0.005,-0.03331013028327489,-90.42489305390009,-133.97940008672037,43.55450703282028
11.0,0.005,-0.016868900849366594,-76.32959861247397,-80.76657360480111,4.436974992327137,0.005,0.3639761677291408,-117.63445697284759,-127.46246995021113,9.828012977363542,0.005,-0.1310037682871619,-98.87397964717681,-103.4874915031728,4.613511855995995,0.005,-0.054130764428051835,-90.99370155758837,-110.24784959716379,19.254148039575426
12.0,0.005,-0.13280359343228162,-72.24719895935547,-80.76657360480111,8.519374645445637,0.005,-0.5068380559387602,-113.84950756619759,-118.35469591611866,4.50518834992107,0.005,-0.11937290603926037,-97.06930599023647,-112.32147625580383,15.252170265567358,0.005,-0.051906809451230246,-91.52238711422747,-102.68722809715146,11.164840982923991
13.0,0.005,-0.1309807089418778,-72.24719895935547,-84.28839878591472,12.04119982655925,0.005,-0.0882439807262716,-81.41482935355073,-98.49120526580134,17.07637591225061,0.005,0.0036688395057429754,-84.94767880901387,-91.01582868277984,6.068149873765975,0.005,0.016621593420047306,-85.30169421087265,-95.51480615091558,10.213111940042921
