,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.15363864312508788,-74.74597369152148,-84.28839878591472,9.542425094393238,0.005,0.8316523969836181,-101.56974355982891,-112.9440464104579,11.374302850628993,0.005,0.2020486475079179,-95.82030469994697,-119.86733757484318,24.047032874896203,0.005,-0.03944145136177239,-91.97925825963114,-101.80520440948581,9.825946149854673
1.0,0.005,0.09420717590382663,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.9127727212633113,-102.42694918005357,-109.4151385533373,6.988189373283731,0.005,0.05792156469509408,-98.51314262988427,-133.97940008672037,35.466257456836104,0.005,0.027200171451412417,-91.28571014200833,-133.97940008672037,42.69368994471205
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998916473466866,-109.4243168476222,-120.40093686108953,10.97662001346734,0.005,0.8686715240486421,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8644881186621609,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999300724320274,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9528039559612883,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7713396472720194,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999456886281156,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8768170191632774,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8288373920360395,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999329485443692,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9430996011842222,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999885039907473,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9173579668880867,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998368502699894,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9145733147617012,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998826748938952,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9443831833035589,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999319079131515,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8743802956927142,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9999457098479164,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9529136350989124,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.999931964673433,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.8704133610003375,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998828019116089,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9465241073856878,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998368459279974,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9091110555802999,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
14.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9998849138845478,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.922310978934055,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
