,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,0.7162806906406708,-50.22257122354151,-58.053321564799646,7.830750341258138,0.005,0.10768162313673137,-91.32566391507154,-91.32566391507154,0.0,0.005,0.7581705726254588,-49.8866653458612,-56.60412596680439,6.717460620943186,0.005,-0.09941281290344939,-78.52708534321455,-81.22327571446709,2.6961903712525412
10.0,0.0325,0.8899439416819817,-9.954979274712024,-16.482063416497923,6.527084141785899,0.005,0.45793336548541624,-66.27071395514872,-72.04859333135089,5.777879376202165,0.0325,0.9008654021800422,-9.866326940185772,-54.44168778805959,44.57536084787382,0.015,0.7937292055548985,-17.86547141655381,-25.250207282574195,7.384735866020385
11.0,0.04,0.8732136640869256,-7.984816183126362,-22.086710328176263,14.1018941450499,0.005,0.7527362704259873,-64.89335367939294,-77.84059487685828,12.947241197465331,0.04,0.8925815957370589,-8.528221006788332,-24.44133704313583,15.9131160363475,0.01,0.6097486379145259,-20.648596223585663,-31.99647153814996,11.347875314564298
12.0,0.0325,0.8054863636585382,-10.03203878175773,-14.948082417146022,4.9160436353882915,0.005,0.4839463554206984,-63.91365844958229,-83.78046687219248,19.866808422610184,0.03,0.8271854549488955,-10.572533713123011,-22.460030736162608,11.887497023039597,0.01,0.4911696290552529,-24.13697837202578,-42.13553398317704,17.99855561115126
13.0,0.0425,0.8514165968228108,-7.184074891247469,-20.159977481154957,12.975902589907488,0.005,0.7766468219858585,-58.491030121551795,-62.503467524922215,4.01243740337042,0.04,0.8574377711309618,-8.77798307858149,-27.452284158271674,18.67430107969018,0.015,0.744159789873649,-16.5449346674406,-44.91608716448383,28.371152497043227
14.0,0.04,0.8064252246914725,-7.663804908573467,-21.801575370415534,14.137770461842067,0.005,0.7257796744814338,-62.16305675927927,-75.59367457330492,13.430617814025652,0.03,0.7841592211186648,-10.537677680941318,-58.099970732065444,47.56229305112413,0.0275,0.8159017039924776,-11.671379499217787,-25.453691686682948,13.78231218746516
