,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.01253663452803996,-73.40703789890921,-133.97940008672037,60.572362187811166,0.005,0.9396053690663202,-102.85299597031252,-117.22065493077352,14.367658960461,0.005,0.22970844197892293,-99.2421040480893,-113.2642049500754,14.022100901986093,0.005,0.06477224599639403,-89.00611704828664,-99.42254941721451,10.416432368927872
1.0,0.005,0.059776560677992654,-76.32959861247397,-133.97940008672037,57.6498014742464,0.005,0.8050066817723958,-109.1156110758323,-121.52171810884255,12.406107033010244,0.005,-0.040490244944217185,-101.02781524040213,-111.47649358770576,10.448678347303627,0.005,-0.04464782187646366,-90.16411635496695,-102.19259896773862,12.028482612771668
2.0,0.005,-0.012610345654497831,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,0.2474361586693416,-111.63751665821735,-128.75471697152398,17.117200313306626,0.005,-0.032578369997879345,-99.91812336821943,-122.48328845378262,22.565165085563194,0.005,0.07828043723980703,-89.17240533930489,-95.37767221783034,6.20526687852545
3.0,0.005,0.06848680294538526,-76.32959861247397,-133.97940008672037,57.6498014742464,0.005,0.9884984974825234,-104.33328195498959,-116.15772879159718,11.824446836607592,0.005,0.28587642607561187,-98.61833555364325,-133.97940008672037,35.361064533077126,0.005,-0.039599100714995304,-89.66111903018364,-133.97940008672037,44.31828105653673
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9961056696228916,-113.94735702212971,-123.85454255291542,9.90718553078571,0.005,0.9847701920648461,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.2872631892250615,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9966833792571712,-119.99999999999999,-133.80232105404346,13.802321054043475,0.005,0.9938619944729395,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.11055021059933327,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9980944315375492,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9896191051436928,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9987025682189409,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9909723972067491,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9986361744189068,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9932569939925733,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9978471840350484,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9860210193771185,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
10.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9964449146028459,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9945889494263507,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9967574838162371,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9841914851203705,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9981300940236518,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9941761917604702,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9987102253517021,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9885557882754754,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
14.0,0.005,-0.0014005335067101964,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.826580539176064,-100.69018366744942,-106.2405447565182,5.550361089068787,0.005,0.055439785380009265,-95.40443158156044,-102.08093082286426,6.676499241303816,0.005,-0.005695877033136228,-88.59999221428228,-96.84581788217645,8.245825667894167
15.0,0.005,0.033532141503354915,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.21632052157906806,-106.26224609550943,-122.74542892185065,16.48318282634122,0.005,-0.03309010338387602,-94.42713653741338,-100.54153697481715,6.1144004374037735,0.005,0.0005115658570257045,-87.91796177045613,-117.26232448093867,29.344362710482542
16.0,0.005,-0.0314409006027484,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.03122062806525155,-115.70081879310335,-116.22994959010761,0.5291307970042567,0.005,-0.0401744417135457,-95.92461252602627,-108.57460661110045,12.649994085074184,0.005,-0.07291361033825662,-87.77822940096875,-94.5469991014358,6.768769700467047
17.0,0.0175,0.5251535488264121,-16.34524730187191,-16.709544813645987,0.3642975117740761,0.005,0.8739655647396697,-55.362564897517615,-59.14580155221814,3.7832366547005236,0.015,0.5227602536588126,-16.83310304483143,-34.30874445173909,17.47564140690766,0.005,0.360893688273431,-35.36710738165719,-43.83456974373047,8.467462362073277
18.0,0.02,0.6328412650558223,-15.541316228951239,-22.715638018521283,7.174321789570044,0.005,0.8930931573048502,-56.0714887561585,-63.626590175850204,7.555101419691702,0.02,0.6360129065947788,-15.174358903827084,-35.492849470984766,20.31849056715768,0.005,0.3875961902171003,-35.321042381878044,-49.38587831963315,14.064835937755106
19.0,0.0175,0.6121389914866192,-16.234575500653957,-20.58889497194951,4.354319471295554,0.005,0.8369436330219187,-57.442179217164664,-63.145997728778084,5.70381851161342,0.0175,0.6105026962143333,-16.112715636518075,-21.447726362652816,5.33501072613474,0.005,0.33446353583840316,-35.80849759988416,-52.78397184283621,16.975474242952046
20.0,0.02,0.7074524704853057,-15.343687245819543,-32.2363483775096,16.892661131690055,0.005,0.9604462652539554,-56.443161906497004,-94.43692369925395,37.99376179275695,0.0175,0.7089741868655023,-14.482703074224435,-25.353651358558572,10.870948284334137,0.005,0.5103830923356344,-33.30907565277295,-35.83484337206745,2.5257677192945067
