,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.005,0.4497323786073804,-29.125306346566934,-31.36032426145334,2.2350179148864058,0.005,-0.9847733541558445,-53.77397862835588,-53.77397862835588,0.0,0.005,0.5417770145051528,-33.07415506457616,-44.10550777073482,11.031352706158657,0.005,0.717942320813143,-44.71852437743213,-46.564767918689284,1.8462435412571523
7.0,0.01,0.9182401329908417,-24.839713246767428,-29.640523589455363,4.800810342687935,0.005,0.17126745877996472,-39.189667816801965,-61.77135028643286,22.5816824696309,0.01,0.9192317756191082,-23.578643429523225,-28.2840680622786,4.705424632755374,0.005,0.7656980125866408,-38.5449607262988,-64.68575065164687,26.140789925348074
8.0,0.01,0.8869947208584323,-22.026251455504827,-41.3969146337224,19.370663178217576,0.005,0.9824795162431244,-41.00238071216215,-61.26035320654226,20.257972494380112,0.01,0.8884422192132735,-21.917686301420368,-34.19610212658454,12.278415825164174,0.005,0.776086578532499,-37.71333810015325,-68.70239803778999,30.98905993763674
9.0,0.01,0.8927332804705778,-20.543626389285162,-41.97618855242873,21.43256216314357,0.005,0.9512105984238892,-39.65688490425678,-46.788284229084226,7.1313993248274485,0.01,0.8989300704183744,-21.978977020038823,-43.34293853061836,21.36396151057954,0.005,0.8071277293627378,-39.70945764734384,-51.91815327676797,12.208695629424128
10.0,0.01,0.8414666115648335,-20.894910104738592,-31.896098671058603,11.00118856632001,0.005,0.9351072828698497,-36.98720311362442,-43.946114743162696,6.958911629538278,0.01,0.8233609162918523,-21.35278882129482,-32.099910276813674,10.747121455518855,0.005,0.7519264604360113,-36.10836133713535,-47.89079035978283,11.782429022647477
11.0,0.0125,0.8869832580775736,-18.786780816777565,-43.3040383325111,24.517257515733533,0.005,0.9410727613683895,-37.585413173287314,-48.3008119955121,10.715398822224785,0.015,0.8925232380092857,-19.319223558452048,-32.26704788132581,12.94782432287376,0.005,0.7531380614253625,-36.15552054694322,-50.40281492384474,14.247294376901515
12.0,0.0125,0.8396616110665016,-19.653911119344404,-51.128170852772485,31.47425973342808,0.005,0.9232923000816192,-38.44826746985205,-40.829271279319926,2.3810038094678774,0.01,0.8443688189087175,-20.528482279353632,-39.045709616191125,18.517227336837493,0.005,0.7645450047311418,-36.195406832367695,-43.765112696923225,7.56970586455553
13.0,0.0125,0.7941521394037963,-18.44992726823704,-26.374424246728623,7.924496978491582,0.005,0.9256071734571656,-38.195288683399504,-45.25100364382911,7.055714960429604,0.0125,0.7826198063671325,-18.375741144905177,-37.557732176035984,19.181991031130806,0.005,0.8080438756423354,-31.80887081979825,-50.698294645805674,18.889423826007423
14.0,0.015,0.8789388120421276,-17.918784282424383,-21.181678036613498,3.2628937541891148,0.005,0.9214984636047284,-39.560534254026436,-49.942545347725364,10.382011093698928,0.015,0.8759537240673831,-18.56266097797087,-33.15361227420256,14.590951296231687,0.005,0.7981622270296297,-35.959942184823255,-45.924377081743124,9.964434896919869
