,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.6802746225789987,-68.03013165305762,-80.76657360480111,12.736441951743487,0.005,0.8431052895696,-97.90704404916434,-101.33213853836936,3.425094489205023,0.005,-0.7350282284294376,-69.93417581446853,-76.17032383914635,6.236148024677817,0.005,0.07267723777191813,-77.05172053995628,-95.71723231144446,18.665511771488184
1.0,0.005,-0.7429652406346003,-66.78717351808073,-70.30899869919435,3.5218251811136128,0.005,0.568654171639136,-100.65201266454893,-114.40846463748207,13.756451972933135,0.005,-0.7880148514227956,-67.05956438069082,-70.97658833779333,3.917023957102515,0.005,0.01864195280693423,-77.76600466907699,-92.73662179379335,14.970617124716355
2.0,0.005,-0.8175910995189457,-65.20354859712823,-73.40703789890921,8.203489301780976,0.005,0.11190167442546595,-96.6882930955988,-105.25125789926184,8.56296480366305,0.005,-0.8582255722618366,-65.9822804767466,-76.79158607018176,10.80930559343517,0.005,0.09863359216955091,-75.0989196663099,-91.34760167363427,16.248682007324376
3.0,0.005,-0.6060794404030362,-63.46054508275023,-133.97940008672037,70.51885500397015,0.005,0.17327402244719803,-102.19644123920695,-118.24830423295154,16.051862993744592,0.005,-0.6449442111132163,-66.08609135256948,-73.09896936678031,7.012878014210827,0.005,0.06483650768846971,-75.39008052678768,-90.77617539033396,15.386094863546276
4.0,0.005,-0.7299780396989648,-65.20354859712823,-76.32959861247397,11.12605001534574,0.005,-0.10972656851694935,-105.34718700836666,-116.33175977181203,10.984572763445371,0.005,-0.7852152196817612,-66.29758719356855,-93.97921564405547,27.681628450486926,0.005,0.09689308364295991,-75.03413917141047,-110.81753605521284,35.78339688380237
5.0,0.005,-0.861798798873886,-63.074441978842486,-78.2677988726351,15.193356893792611,0.005,0.5051709212290836,-97.38764848193131,-107.45976817181608,10.072119689884772,0.005,-0.9035242299522875,-64.15923414518106,-84.7159346871239,20.556700541942845,0.005,0.09570653455633277,-73.34381538507327,-95.39342475012046,22.04960936504719
6.0,0.005,-0.7625354889069113,-63.074441978842486,-67.3864379856296,4.311996006787112,0.005,0.33847611290030527,-96.38931040441301,-105.37090028798752,8.981589883574514,0.005,-0.8053250000529445,-63.78058364777425,-70.21411902669085,6.433535378916602,0.005,0.09353628203967722,-73.46246890320101,-79.67281337860345,6.210344475402437
7.0,0.005,-0.4414826920414013,-62.704773864962235,-133.97940008672037,71.27462622175814,0.005,0.11650599934853363,-98.80010706727114,-101.62072209554506,2.82061502827392,0.005,-0.4809364617310037,-64.37587050447091,-79.98849398663555,15.612623482164636,0.005,0.17365535276938657,-72.25643874620891,-112.29284067960839,40.036401933399475
8.0,0.005,-0.8235330417234574,-59.67942035834925,-73.40703789890921,13.727617540559962,0.005,0.07760656229583475,-98.7967658762648,-105.76575208819236,6.968986211927557,0.005,-0.867743064028391,-62.219660201291234,-68.7460816968883,6.526421495597063,0.005,0.0830452922408409,-73.06540912977411,-98.43801683145244,25.372607701678334
9.0,0.005,-0.802784696030566,-58.94496421785445,-67.3864379856296,8.44147376777515,0.005,0.25543627403783764,-100.00448092118843,-105.42169957020919,5.417218649020754,0.005,-0.8431272093080879,-59.3999580247728,-63.90686005933556,4.506902034562756,0.005,0.11786554690116262,-71.8094384269811,-80.82717623921897,9.017737812237868
10.0,0.005,-0.7652803951999269,-59.67942035834925,-66.78717351808073,7.107753159731487,0.005,0.4000784203151422,-94.57372773828205,-103.20597152002651,8.632243781744464,0.005,-0.8047350044061458,-60.60945505014122,-68.03579817202228,7.426343121881061,0.005,0.16497387829388696,-71.00327149112262,-79.99212536205731,8.98885387093469
11.0,0.005,-0.7652576728199069,-59.18294868384861,-74.74597369152148,15.563025007672877,0.005,0.7679681798422316,-94.63501479006004,-100.52176586350942,5.886751073449375,0.005,-0.8155191331311369,-62.15069992977355,-76.7338633848698,14.583163455096255,0.005,0.15372331651037494,-70.42293257527255,-93.47137877146439,23.048446196191833
12.0,0.005,-0.7505568216053284,-57.43994516947061,-60.20599913279624,2.766053963325625,0.005,0.741826617651563,-97.39019042165295,-105.32746163505523,7.937271213402283,0.005,-0.781438948907262,-58.459571809923396,-62.56306881282708,4.103497002903687,0.005,0.07475016484244675,-68.63276846767515,-82.61859059749321,13.985822129818061
