,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,-0.4062235686977837,-72.09693561488695,-78.11753552816657,6.020599913279625,0.005,0.9999894850238527,-119.99999999999999,-125.46984478655804,5.469844786558056,0.005,0.785204805123075,-97.02310579482048,-108.79144428058952,11.768338485769036,0.005,0.20099012735353872,-95.8716043854328,-100.50490094622253,4.633296560789731
5.0,0.005,-0.0473651623082587,-70.15873596533385,-133.97940008672037,63.82066412138653,0.005,0.9765854078035395,-104.77266268949265,-115.96192583773902,11.189263148246368,0.005,0.2123120447321252,-99.47931826840787,-115.3025639849362,15.823245716528334,0.005,0.01866347980512895,-91.46590659344628,-95.70665715993029,4.24075056648401
6.0,0.005,-0.03326838532936212,-68.575110773,-84.13813544144618,15.563024668446175,0.005,0.7233953920705715,-110.96111533214462,-124.55627636519081,13.595161033046196,0.005,0.13097197535523905,-99.00952966934561,-107.20031618860794,8.190786519262332,0.005,0.014262699707595696,-91.70848532334463,-117.57663364970895,25.86814832636432
7.0,0.005,0.026934433411925,-69.33088211414315,-74.59571068627963,5.26482857213648,0.005,0.2117503148898069,-113.72133092337974,-124.8334810769876,11.112150153607857,0.005,-0.02499708316745333,-100.34922460271852,-133.97940008672037,33.63017548400185,0.005,-0.05542031971239478,-93.14026709854133,-120.97081173790157,27.83054463936024
8.0,0.025,0.23689611162093357,-11.374342874783787,-21.086254618405185,9.711911743621398,0.005,0.971499645110989,-34.58457191662654,-34.58457191662654,0.0,0.0225,-0.2581529273955154,-13.749975492993443,-15.037123617959708,1.287148124966265,0.005,0.1049868588402061,-32.89393516550548,-47.20065084393174,14.306715678426258
9.0,0.09,0.9677440504012815,-0.9612404148991794,-5.05618155071295,4.094941135813771,0.07,0.998073706750691,-2.828156059116326,-8.645088770385183,5.816932711268857,0.035,0.3994188116473995,-8.211995832081701,-21.647520027314073,13.435524195232372,0.01,0.4342007954129787,-24.54987478666622,-57.562997908865874,33.01312312219966
10.0,0.0975,0.9517410793820169,-0.31079263176881516,-14.781535687028143,14.470743055259328,0.0825,0.9987361071983578,-1.4633671828034422,-8.636210027128561,7.172842844325118,0.035,0.38840436704054665,-9.691751459588412,-18.669742252691346,8.977990793102935,0.005,0.8164437792358366,-26.48654520084269,-30.242348240444738,3.7558030396020463
11.0,0.0675,0.8008146815576085,-1.6480511495189996,-9.052698297332944,7.404647147813944,0.05,0.9966137966791213,-5.161871946929187,-46.31898417171357,41.157112224784385,0.0375,0.22093606317362569,-9.064424547664448,-20.71531141249654,11.650886864832092,0.0075,0.3470746696334855,-25.661401183679814,-35.161889011271846,9.500487827592032
12.0,0.0775,0.790013804781564,-0.6863692815190753,-8.806904825939144,8.120535544420068,0.045,0.9973180422898081,-6.073619876647341,-7.721033960285006,1.6474140836376652,0.04,0.02141261126677695,-7.0471886563337405,-23.74005433573943,16.69286567940569,0.01,0.10738567520669802,-22.45888613416906,-47.73358938641567,25.274703252246614
13.0,0.0725,0.697907542635258,-1.497747660012469,-35.855388529139944,34.35764086912747,0.0475,0.9976130414273008,-5.138322550571409,-8.01772053347663,2.879397982905221,0.0475,-0.19822124313234396,-5.335035637335785,-15.808970131702873,10.47393449436709,0.0125,-0.10833218152086563,-19.42864921666171,-35.256391653672516,15.827742437010805
14.0,0.08,0.6971944180644165,-1.9162474730914594,-24.168589711091876,22.252342238000416,0.0475,0.9961167812384306,-4.722776877014357,-11.596233995651223,6.873457118636867,0.045,-0.09836223485132393,-5.474924977864845,-17.97170327347008,12.496778295605235,0.0175,-0.17985021261948042,-16.19430889638336,-36.70179781075022,20.50748891436686
