,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,0.350866430039336,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.99923378947722,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9964900874283442,-98.95606662980595,-99.28846543786385,0.3323988080579028,0.005,0.05987923594662367,-93.93360686219697,-112.1023133474906,18.168706485293626
8.0,0.005,0.05042934257388583,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.9328201098057187,-102.3479344087618,-129.36610946442136,27.018175055659555,0.005,0.06342610166383734,-96.13784973279762,-109.49644141586364,13.358591683066024,0.005,0.06346312322866542,-87.59768777403269,-104.40195872262429,16.804270948591594
9.0,0.005,0.386163154318875,-71.22414851040786,-90.30899869919435,19.08485018878649,0.005,0.9910522176645911,-87.69439115743108,-88.67608926737304,0.9816981099419593,0.005,0.6842631787046258,-80.57959493268561,-105.53148886129817,24.951893928612563,0.005,0.31545279784443997,-74.12613603246842,-88.9289559115688,14.802819879100383
10.0,0.005,0.4010883999593897,-65.70002027162887,-133.97940008672037,68.2793798150915,0.005,0.9931473124457156,-82.92349250211305,-89.40516926427613,6.481676762163076,0.005,0.6185026327451447,-75.84433762583038,-103.88592971553335,28.041592089702974,0.005,0.34837175735127857,-69.77265140174768,-91.0405459529247,21.267894551177022
11.0,0.005,0.37358793472730917,-65.20354859712823,-80.76657360480111,15.563025007672877,0.005,0.982128668178157,-88.31635759018282,-92.40130124296189,4.084943652779074,0.005,0.7218731975474441,-75.68155183481112,-95.66553004221662,19.9839782074055,0.005,0.3401413396782621,-67.77953569610082,-115.19952429310547,47.41998859700465
12.0,0.055,0.7800072617366686,-5.383952453207917,-25.059976904585763,19.676024451377845,0.005,0.9712626600588146,-26.23483652914298,-30.373350579172982,4.13851405003,0.0325,0.9149029150795956,-8.949351776354908,-20.103626532953754,11.154274756598847,0.035,0.2773462249055253,-9.23734773742564,-32.10008954899215,22.86274181156651
13.0,0.0425,0.745077359560074,-7.739720877899149,-15.298830802167434,7.559109924268284,0.01,0.9884781323265768,-21.533329427621698,-37.560898341766816,16.027568914145117,0.035,0.8272814061197182,-9.635767580564663,-24.297279111747404,14.661511531182741,0.0225,0.438491270692007,-13.532543012042312,-43.286570492370686,29.754027480328375
14.0,0.0325,0.7309738351084354,-9.347935236882176,-20.111512999099972,10.763577762217796,0.01,0.9916102283449957,-21.577014124149304,-23.479641121398487,1.9026269972491825,0.0275,0.7214687398199257,-11.272916309184872,-21.351363927665062,10.07844761848019,0.02,0.5387091396169005,-14.949850748762383,-28.2061002107259,13.256249461963517
