,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.005,-0.06725629132334297,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,0.9564502313267513,-102.96725922582085,-122.20611076881463,19.23885154299377,0.005,0.003792475017736661,-98.19484292077371,-108.73529853092252,10.540455610148811,0.005,0.01091015584650377,-92.9489260830066,-99.3519683689138,6.403042285907205
9.0,0.015,0.26781455208483507,-18.053321564799646,-37.51926891382263,19.465947349022983,0.005,-0.04674993372220745,-34.50033181386281,-39.53740270749138,5.037070893628574,0.0125,0.21155073503256283,-19.021664429367846,-27.24937938855809,8.227714959190244,0.01,0.9197762647702852,-24.631560727013543,-27.74059876039344,3.109038033379896
10.0,0.0175,0.525428238789071,-14.889014595915544,-32.33449506740448,17.44548047148894,0.005,0.6350374044389304,-29.647635073968296,-50.557504747627775,20.90986967365948,0.015,0.3253658513968091,-18.80983012295311,-20.203815390702648,1.3939852677495388,0.01,0.9521540557134937,-21.168284574508547,-26.976548035553954,5.8082634610454065
11.0,0.0175,0.49153421361970395,-15.955588639149115,-23.79047958376503,7.834890944615916,0.005,0.34458807780383344,-29.34625547391374,-34.33143787123527,4.985182397321534,0.0125,0.15612298682720938,-18.94060790064465,-25.650596704193084,6.709988803548434,0.01,0.9228449313221255,-22.231953186374827,-47.621501118626746,25.38954793225192
12.0,0.0175,0.4730196776052561,-14.472379745697632,-28.54627692518333,14.0738971794857,0.005,0.26710371624275886,-28.17193704767849,-41.058745337651075,12.886808289972585,0.0125,0.22408464627339408,-18.768198102541017,-34.90439707647421,16.136198973933194,0.01,0.9216059242736955,-21.27139913809708,-37.15837846374702,15.88697932564994
13.0,0.015,0.3396506269223816,-17.40841740477151,-30.846441627200385,13.438024222428876,0.005,0.38408506214724586,-29.348264754822956,-34.12134882383873,4.773084069015773,0.0125,0.16841613841358152,-19.021461777557327,-24.6946563979009,5.673194620343573,0.01,0.8507552836635205,-24.90785652048465,-49.20660544448655,24.2987489240019
14.0,0.015,0.4400613964642782,-18.072409109226882,-23.25377486471774,5.181365755490859,0.005,0.4299570241815296,-29.927090252202934,-51.343382035367696,21.416291783164763,0.01,0.19726509672637424,-20.39248523147805,-43.26966945722547,22.877184225747417,0.01,0.899830648780183,-23.46784221891418,-38.52833098310325,15.060488764189074
