,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.30146967997812385,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.9094728015773581,-101.52406281853091,-111.04215755508105,9.51809473655014,0.005,0.1054809136059336,-99.00281146711845,-125.09719085672245,26.094379389604,0.005,-0.05705409316784528,-90.09807801516206,-104.84338696458133,14.745308949419268
1.0,0.005,-0.0018940481624970392,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.3882789141341895,-106.34111036504828,-119.83635207653467,13.495241711486386,0.005,-0.058745406485958974,-96.4068118636075,-105.20587932331708,8.799067459709576,0.005,-0.03464400346784413,-90.786924854126,-99.70757169922415,8.920646845098148
2.0,0.005,0.0068542779703545205,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.2904488631236823,-112.61780000733204,-133.97940008672037,21.36160007938834,0.005,0.10844209802383696,-96.5359438423045,-124.00515606931788,27.469212227013372,0.005,0.044527571371541105,-89.98284189974108,-103.09957488478084,13.11673298503976
3.0,0.005,0.006414890554274368,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,-0.01721321456829089,-109.77368483012556,-132.2948386188849,22.52115378875935,0.005,0.09670131199555698,-97.31356627373088,-113.84316329860938,16.5295970248785,0.005,0.034132288117176945,-88.48317346515347,-99.8131629713513,11.329989506197833
4.0,0.005,0.019270476034937888,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.19869451509005967,-113.04113755120011,-129.174552651802,16.133415100601894,0.005,0.0352417694175965,-96.55506213584646,-106.09133287052848,9.53627073468202,0.005,-0.014770959763614646,-90.32952592012164,-101.6289390351268,11.299413115005166
5.0,0.005,0.24505144208278032,-34.6452248776892,-40.39811194826538,5.752887070576179,0.005,0.9475401730085963,-77.32774917912603,-77.32774917912603,0.0,0.005,0.4349775730005931,-45.02803026389741,-45.02803026389741,0.0,0.005,0.2956883996968896,-37.458986666896976,-65.00864352923078,27.549656862333805
6.0,0.04,0.5792546133046769,-8.531399577033323,-16.473228211140388,7.941828634107065,0.005,0.8363042095256175,-27.816761347884057,-38.82337686776576,11.006615519881702,0.025,0.49504138387067054,-12.133133905289359,-31.750003598830915,19.616869693541556,0.03,0.6964876756970276,-11.1923817598125,-20.016778457500138,8.824396697687638
7.0,0.035,0.545611353627372,-10.051410955768564,-29.70510299205933,19.653692036290767,0.005,0.8331881501274908,-28.510972753623097,-37.52363346540876,9.01266071178566,0.0225,0.4964475853904861,-12.119973905728642,-55.461864943706125,43.34189103797748,0.02,0.5596905329015295,-14.168951184903733,-37.47890662742136,23.309955442517627
8.0,0.0275,0.5636151556300846,-11.743130454550313,-25.305479737515853,13.56234928296554,0.005,0.8357879041144349,-27.656746360916486,-63.509075694377195,35.85232933346071,0.015,0.5405017364587567,-18.46861839530758,-29.754618609510672,11.286000214203092,0.0175,0.5990597271358805,-15.397234652488432,-36.80423067726086,21.40699602477243
9.0,0.01,0.5598022248932839,-20.392563631476243,-37.579240772127044,17.1866771406508,0.005,0.4424086941785958,-30.602257647403448,-41.30517353928897,10.702915891885525,0.01,0.5121908521959633,-24.319962383698858,-38.85789770573309,14.53793532203423,0.01,0.4265905865557669,-22.70352708253387,-53.65069979149939,30.94717270896552
10.0,0.01,0.37232342980596916,-23.918549717885277,-36.97863908809674,13.060089370211465,0.005,0.883519593657512,-31.788343267921356,-46.67238518166628,14.884041913744923,0.005,0.36707263294086806,-26.150613238034467,-51.59706798689551,25.446454748861044,0.005,-0.2190968773941514,-32.935685831323774,-56.02010765196621,23.084421820642433
11.0,0.005,0.6537199896934232,-27.135719082914566,-47.96357278607907,20.827853703164504,0.005,0.765478135682056,-31.767003890144974,-50.38509942770149,18.618095537556517,0.005,0.5809399362221511,-28.19608285128767,-47.077709804744416,18.881626953456745,0.005,-0.06836990297491279,-36.953446524778876,-42.749538203105075,5.796091678326199
12.0,0.0075,0.5975362793421329,-25.518004282384897,-26.581174385284495,1.0631701028995977,0.005,0.7670454393300097,-35.61336115492384,-36.49057748565852,0.877216330734683,0.005,0.5763395473564903,-31.24316664752497,-35.23710467833672,3.9939380308117514,0.005,-0.10336115355454822,-39.27657633966334,-55.35225821896805,16.07568187930471
13.0,0.0075,0.6682209388836253,-25.9382885948638,-35.04043882793561,9.10215023307181,0.005,0.7912108205698601,-33.74386789881212,-41.13914264806966,7.395274749257538,0.005,0.6843762851199772,-29.833289366911448,-38.39914486143014,8.56585549451869,0.005,0.2818957317277097,-42.415095483517106,-56.238131320130165,13.823035836613059
14.0,0.005,0.7973023483291886,-26.402077532225967,-35.37631472044278,8.974237188216811,0.005,0.7831469008760963,-31.318664302215385,-42.3069382423503,10.988273940134913,0.005,0.6595100653052015,-31.437789484545466,-62.67078983286964,31.233000348324172,0.005,0.3918893024260344,-39.24287863730453,-50.96574558066592,11.722866943361389
15.0,0.005,0.6278465160475006,-27.111641757343023,-34.96588137755075,7.8542396202077285,0.005,0.683252825890247,-29.406711643749766,-42.34703426513587,12.940322621386102,0.005,0.7276493079070094,-30.91069151333788,-46.38380869358596,15.473117180248082,0.005,0.2149540004772437,-40.64349719637059,-53.41152523395771,12.768028037587122
16.0,0.045,0.6153274863932455,-6.929625768099042,-23.24221679296826,16.31259102486922,0.005,0.893372172525512,-26.964170591260554,-35.24820969868496,8.284039107424405,0.04,0.6468682725889993,-8.344249019430464,-8.387181803239107,0.04293278380864329,0.0225,0.5235295536564785,-12.635603736374366,-17.721035064531044,5.0854313281566785
17.0,0.045,0.5364774173401625,-7.663804908573467,-18.552535272815255,10.888730364241788,0.005,0.6934167677753518,-31.52439153193359,-58.108889897043795,26.584498365110207,0.0325,0.5187579426392396,-8.629964991275733,-19.92714097729277,11.297175986017036,0.025,0.5623940288029967,-12.659258255947051,-19.160198966542367,6.500940710595316
18.0,0.0275,0.5284196812021151,-11.971501128420691,-20.033995697557888,8.062494569137197,0.005,0.682295253003955,-33.69242690212343,-40.16722597195081,6.474799069827384,0.0125,0.43715138471425663,-19.34991104279065,-26.517659651453947,7.167748608663295,0.0225,0.5524414274000962,-13.713217524608336,-28.43416424063009,14.720946716021754
