,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,0.21366265286152245,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.9069439209660197,-101.40079684244115,-117.3939172780699,15.993120435628754,0.005,0.19366272754561417,-96.45260868610126,-124.14380803283765,27.691199346736397,0.005,0.04805136013851365,-91.00989320071575,-97.02365430012549,6.013761099409734
3.0,0.005,0.9997301437757461,-33.6205846255637,-39.452490160010754,5.831905534447053,0.005,0.853846616767994,-73.82525695491482,-73.82525695491482,0.0,0.005,0.999911268350789,-36.47425632097573,-38.94415345295186,2.4698971319761327,0.005,0.8548550564626277,-58.78048786333552,-93.97368501845031,35.19319715511479
4.0,0.0375,0.958335326260157,-8.670536612173155,-12.59386107780901,3.9233244656358544,0.0225,0.9918658499724841,-13.332336372663198,-25.920444507542115,12.588108134878917,0.035,0.9429705641167269,-10.134266496517492,-12.598156993624354,2.4638904971068616,0.005,0.8538120154250195,-47.53382319143203,-68.66180653172623,21.1279833402942
5.0,0.0275,0.8105514175969543,-10.476504008514251,-25.761549853401633,15.285045844887382,0.02,0.9387117508299703,-14.014013205139923,-37.349796829121146,23.33578362398122,0.025,0.7660911638078116,-12.649870005434998,-21.80661605971851,9.156746054283513,0.005,0.4072685394170131,-61.295645573531694,-99.6295182766918,38.333872703160104
6.0,0.01,0.5968279758664269,-21.24875087676525,-37.74122009818812,16.492469221422873,0.005,0.7919921257944291,-29.506108779578252,-49.092663836259675,19.586555056681423,0.0125,0.636994643854066,-19.932689383962504,-29.642090391993943,9.709401008031438,0.005,0.5094488440480827,-60.65014085151293,-88.7552810332739,28.105140181760973
7.0,0.01,0.8350915919194749,-21.999515337009644,-22.511507531374647,0.5119921943650034,0.005,0.9709450582662251,-33.500483914403,-45.366909626758265,11.866425712355266,0.01,0.821437176819308,-24.866968904706166,-28.083669709480823,3.216700804774657,0.005,0.4885255083714459,-60.293471852912575,-93.35656505502074,33.06309320210816
8.0,0.01,0.7485525038834948,-21.54764969012448,-22.593299522327644,1.0456498322031642,0.005,0.9325874741129783,-31.13175539262114,-39.077074004773294,7.945318612152153,0.01,0.7507634556811908,-22.30248400155226,-57.920014402053624,35.617530400501366,0.005,0.4370047133194506,-61.70331560861268,-76.91980668887356,15.216491080260887
9.0,0.01,0.7270545838339509,-20.434262653657562,-36.86704154048001,16.432778886822447,0.005,0.897359565220404,-30.314745174951536,-33.62267754302703,3.3079323680754946,0.01,0.7583368969417285,-21.425295204875706,-39.59045703872118,18.165161833845477,0.005,0.4160968777867666,-61.51605962004944,-89.55078117589792,28.034721555848485
10.0,0.01,0.7669465243786682,-20.176192587864307,-34.93623667424207,14.76004408637776,0.005,0.8779075941995645,-29.96582186094618,-34.540093243161124,4.5742713822149454,0.01,0.7482758722698861,-21.209587317121695,-25.4750319936165,4.2654446764948055,0.005,0.4758298745409675,-62.02044306433403,-113.35356720456852,51.33312414023449
11.0,0.01,0.7466067910372348,-20.02070028758698,-20.151881265277737,0.13118097769075732,0.005,0.8688525992174422,-29.696341086721453,-48.192956792715435,18.49661570599398,0.01,0.7004216799777964,-20.747642830100432,-30.530327829164584,9.782684999064152,0.005,0.43119534511617214,-61.42197907824857,-82.87601914380262,21.454040065554054
12.0,0.01,0.711557732580599,-20.157277903934144,-27.202277949893123,7.045000045958979,0.005,0.8744661332588465,-29.676039785825452,-43.61636167927721,13.94032189345176,0.01,0.729978159976411,-20.881326627532367,-67.40096391083176,46.519637283299396,0.005,0.41565166676923093,-62.28186887767386,-96.42388447245,34.14201559477614
13.0,0.0125,0.7402746076504266,-19.75897847957195,-35.741923058769785,15.982944579197834,0.005,0.8713976554051401,-29.238419415267593,-40.40586347201259,11.167444056744998,0.01,0.7614404171532768,-20.747940886375407,-29.519204290763035,8.771263404387629,0.005,0.42766615043399586,-61.46591066460274,-77.9619196867833,16.496009022180566
14.0,0.015,0.7735601931657263,-19.64881824928465,-24.349413816007107,4.700595566722459,0.005,0.8662768515647847,-28.8756851249683,-39.31350757453169,10.437822449563392,0.01,0.7381486904964101,-20.709753390785096,-22.09701623842518,1.3872628476400841,0.005,0.4719414743784002,-61.28800146616512,-67.1784349217031,5.8904334555379805
