,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.1414579835972755,-61.68172341601461,-76.32959861247397,14.64787519645936,0.005,0.411222965542807,-67.90686762432694,-83.16592873617849,15.259061111851551,0.005,0.12032851591293656,-66.15569164237135,-82.43045239283435,16.274760750463003,0.005,-0.35225255660760785,-68.63481552944857,-102.21364327630971,33.57882774686114
1.0,0.005,0.1454369052642779,-60.76657360480111,-66.78717351808073,6.020599913279625,0.005,0.5640526570578048,-70.6361300247245,-89.67653530274706,19.04040527802256,0.005,0.05950072692620854,-67.7717727886394,-68.7919091253059,1.0201363366665106,0.005,-0.3968413568297861,-69.9193750456075,-86.8030308788154,16.88365583320791
2.0,0.005,0.04912025390016196,-59.42763781218885,-78.2677988726351,18.84016106044625,0.005,0.48455760989313573,-67.30978473984267,-89.09188366506928,21.782098925226606,0.005,-0.011424157414697557,-62.676802660545974,-87.40743903304562,24.730636372499646,0.005,-0.31606529576522324,-69.76135386600016,-91.13672099494734,21.375367128947175
3.0,0.005,0.4262158852736971,-55.0404388279356,-71.22414851040786,16.183709682472255,0.005,-0.053586883145304194,-71.0122150152108,-90.7033291510725,19.691114135861696,0.005,0.5837145351281676,-57.81290921044271,-59.869462643275384,2.056553432832672,0.005,-0.31006313416923065,-68.52594916064436,-78.8150482126924,10.289099052048044
4.0,0.005,0.6342481095294927,-51.7206201849085,-63.074441978842486,11.353821793933989,0.005,0.07320367468879957,-70.38000205866577,-85.54754271203936,15.167540653373592,0.005,0.6396443876653727,-52.993252122877664,-55.655649383595986,2.662397260718322,0.005,-0.3233148230586413,-68.71918397830913,-80.19033845051192,11.471154472202784
5.0,0.005,0.6034137500841499,-48.72537377824186,-49.885212717795596,1.1598389395537367,0.005,0.41582970011838044,-65.40474951766583,-70.07783976921215,4.673090251546313,0.005,0.5988444141826189,-49.44287108070809,-60.202746195491,10.759875114782915,0.005,-0.35894829701205966,-65.94672548595497,-76.30613337106959,10.35940788511462
6.0,0.005,0.5992250883076707,-46.012121738240396,-58.713326766858145,12.70120502861775,0.005,0.33489376880170924,-65.69617629055567,-66.78429312144982,1.0881168308941511,0.005,0.5987519050658852,-46.607468888378214,-54.642068635007526,8.034599746629311,0.005,-0.38824947746764416,-67.73664823047967,-76.8939992461613,9.157351015681627
7.0,0.005,0.6002457157752135,-43.421153225492134,-54.32218771012272,10.901034484630586,0.005,0.56347958798285,-64.17944674489404,-80.80223898112163,16.622792236227596,0.005,0.630220319486117,-43.35703621116177,-53.33373587135327,9.9766996601915,0.005,-0.2864059328310733,-67.33278495306523,-80.27772440485796,12.944939451792735
8.0,0.005,0.623689603107226,-41.21210149902416,-63.46054508275023,22.248443583726072,0.005,0.5520959786968799,-61.612735757912816,-82.0376370845966,20.42490132668378,0.005,0.6263264159327535,-41.080603930678336,-45.06797183672954,3.9873679060512046,0.005,-0.3411617977082611,-67.23632541075368,-72.2581780245731,5.021852613819419
9.0,0.005,0.6235770235429853,-39.25563437695049,-41.091041844063405,1.8354074671129155,0.005,0.5954095282566633,-62.60788296690663,-66.91906720575376,4.311184238847133,0.005,0.6162558480983092,-39.03639140974212,-56.270653855830304,17.23426244608818,0.005,-0.29000159484365406,-67.2264195707967,-93.84384488330863,26.61742531251194
