,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0625,0.9895898163565365,-4.297958523336659,-16.490907618095022,12.192949094758363,0.005,0.9912419672350076,-52.862297745883055,-59.543238583105484,6.68094083722243,0.06,0.9895572983655149,-4.538288847677233,-9.948648491625546,5.410359643948313,0.005,0.9880581967658238,-31.66909414686513,-40.014274461609645,8.345180314744514
10.0,0.0475,0.9899209648415825,-6.775600045831366,-55.66112350273499,48.88552345690362,0.005,0.9939686456029286,-55.17977322842505,-68.73826643191278,13.558493203487728,0.045,0.9901240893670041,-7.0246764964436785,-15.496210710266219,8.47153421382254,0.005,0.9829759317953413,-37.805386333301605,-42.994489479481366,5.189103146179761
11.0,0.0425,0.968208087233725,-6.468806846120955,-39.03937699130614,32.57057014518519,0.005,0.989589021241362,-53.214934802859204,-65.87951984376296,12.66458504090376,0.045,0.9692284544936456,-6.857426053399442,-22.706611173482436,15.849185120082995,0.005,0.9762949904829785,-37.86624939808033,-53.42632846271162,15.560079064631296
12.0,0.03,0.9231249117391304,-11.261869152718543,-16.476761214906027,5.214892062187484,0.005,0.9835974482295342,-53.64227235279283,-75.60958375437377,21.967311401580943,0.0325,0.9209225617889689,-10.280878376724349,-16.82673370746305,6.5458553307387,0.005,0.958666792834193,-39.502825802463775,-48.01443039782241,8.511604595358634
13.0,0.035,0.9138317967559751,-8.278181248027375,-19.23133816631687,10.953156918289496,0.005,0.9685511150898103,-56.98696926871442,-63.18543657282055,6.198467304106131,0.035,0.9145496337628066,-9.215824864055874,-36.34619236315804,27.130367499102164,0.005,0.9438974682191262,-39.15164449362652,-53.85830205464121,14.706657561014687
14.0,0.035,0.8518140349277666,-9.735134131316038,-24.201971310261882,14.466837178945845,0.005,0.9303664636168074,-56.61538287324429,-63.904009099882956,7.288626226638662,0.035,0.8458155462262398,-9.203440932469611,-18.96443400325474,9.76099307078513,0.005,0.9612546394209278,-39.741579937757066,-49.379641335276396,9.63806139751933
