,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.005,1.0,-90.30899869919435,-90.30899869919435,0.0,0.005,1.0,-104.89678404649183,-107.67675816033449,2.7799741138426555,0.005,1.0,-98.74201166547762,-117.16525761071125,18.42324594523363,0.005,1.0,-94.92544244008056,-112.69317670275035,17.76773426266979
9.0,0.005,0.6161542468528116,-47.63822053179,-53.28383172481285,5.645611193022852,0.005,0.8880981440252127,-82.25197876027406,-82.50685484616935,0.2548760858952903,0.005,0.5997884128452639,-48.26086720538505,-59.409575254494875,11.148708049109828,0.005,0.5145258599986132,-73.463092766784,-83.31375135761118,9.85065859082718
10.0,0.005,0.07478159711182032,-36.08973631928884,-52.69272685357852,16.60299053428968,0.005,0.09159170683073804,-64.04246049044032,-79.34479252326015,15.302332032819834,0.005,0.0773030120878205,-35.61675081087033,-55.38645951945114,19.769708708580808,0.005,0.5559960975390841,-57.27309128176539,-77.09123688860012,19.818145606834733
11.0,0.005,0.335234072948726,-30.727140686427823,-41.42810278083282,10.700962094405,0.005,0.5259921644831508,-57.51512330315258,-66.61112368861934,9.096000385466766,0.005,0.3375841922445512,-30.648623736141655,-39.609227126835215,8.96060339069356,0.005,0.40887272646978334,-48.41042822524528,-53.48169563811684,5.071267412871556
12.0,0.0075,0.17358796229530624,-25.388880617673774,-31.90653217337988,6.517651555706106,0.005,0.3662833171436072,-50.588589010990205,-50.86545687787816,0.2768678668879545,0.005,0.17791090914094276,-27.482821360742836,-40.27295785842718,12.790136497684347,0.005,-0.017715607765425804,-45.50411830708059,-62.02200856602987,16.51789025894928
13.0,0.01,-0.45015914281443153,-23.296286534015266,-26.346858721726324,3.050572187711058,0.005,-0.0655407118299101,-49.41575012469186,-49.75569571707267,0.3399455923808077,0.01,-0.43392742775642057,-22.887645927910704,-23.858071637243494,0.9704257093327904,0.005,0.006368815251106246,-43.844485775823586,-56.913455348113395,13.06896957228981
14.0,0.0125,-0.6582188861378737,-19.991521824960774,-46.44650673210513,26.454984907144354,0.005,0.3713712472721565,-46.307702859112105,-59.063557738701306,12.7558548795892,0.01,-0.6695931021092398,-21.503319769748977,-35.388000937518164,13.884681167769187,0.005,-0.15398508908408778,-42.400902570346005,-56.18926913699744,13.788366566651433
