,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,0.08386182060833718,-63.86461280451597,-64.28839878591474,0.42378598139876544,0.005,0.9591197809011057,-102.18872110695389,-109.49654800444749,7.307826897493598,0.005,0.35660408426913914,-99.1682090387849,-115.84791187223884,16.679702833453945,0.005,0.027817985817736472,-95.29371484037063,-123.12851156332668,27.834796722956057
8.0,0.005,0.0963826190858648,-61.36583807234997,-133.97940008672037,72.6135620143704,0.005,0.8516570003244606,-106.41259757675483,-114.62690310513179,8.214305528376954,0.005,-0.030783810672537607,-99.49912824626045,-107.43734020287286,7.938211956612406,0.005,-0.009465788060264185,-94.79893561738501,-120.1467750937253,25.347839476340283
9.0,0.005,0.03904977195115154,-62.3501985257536,-84.28839878591472,21.938200260161125,0.005,0.4638914298527373,-111.76213114176053,-133.97940008672037,22.21726894495984,0.005,0.03256090019484696,-100.22184933616691,-105.26789037982935,5.046041043662441,0.005,0.02180391848068237,-95.2936959259608,-104.69871017853505,9.405014252574247
10.0,0.005,0.039971548830219944,-62.009531739778,-74.74597369152148,12.736441951743487,0.005,0.03830435766451812,-116.22213720431994,-120.92621416021547,4.70407695589553,0.005,0.045292441437887486,-101.24832012196248,-109.24032107862907,7.992000956666587,0.005,0.02098664558332035,-94.8454674842908,-121.38303371144568,26.537566227154883
11.0,0.005,-0.014315793229554303,-61.68172341601461,-73.40703789890921,11.725314482894596,0.005,0.6955120382100206,-92.23900251976366,-101.00551796034432,8.766515440580662,0.005,0.33822751671893747,-76.32161631853708,-77.69539422468617,1.373777906149087,0.005,0.7651328662073311,-73.15278538230021,-110.2273001650549,37.07451478275469
12.0,0.01,0.9984220763874345,-20.157277903934144,-30.077589827248794,9.92031192331465,0.005,0.9979642804831423,-32.36013424780448,-41.88799911575647,9.52786486795199,0.0125,0.9985281045615784,-18.86549403542864,-50.939910167824365,32.074416132395726,0.005,0.13799403154984505,-67.73766377149525,-88.18442971067556,20.44676593918031
13.0,0.0075,0.9985432889225854,-25.558123936336866,-34.995627604014075,9.437503667677209,0.005,0.9983987363804372,-32.18174360490703,-63.505381706213996,31.32363810130697,0.01,0.9988359178263688,-25.15531513374215,-29.552522398989858,4.397207265247708,0.005,-0.014296865642509432,-66.05984222315006,-91.27465289088876,25.214810667738703
14.0,0.01,0.9991456285062924,-25.563151947845185,-31.137721034755007,5.574569086909822,0.005,0.9990757025880199,-33.63754066620304,-48.29632958562036,14.658788919417326,0.01,0.9993090749650697,-25.43701044914001,-34.24702951692368,8.81001906778367,0.005,-0.09533975378767755,-54.67148637099433,-82.3751026150161,27.703616244021774
