,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,0.6385645627939284,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.9323916057465029,-98.75039298625019,-105.28162721686284,6.531234230612654,0.005,0.103973202551143,-85.72432287527425,-96.22812885782993,10.503805982555676,0.005,0.7879934856230008,-93.15322957476154,-93.40927622260766,0.2560466478461194
10.0,0.005,0.8178012769366187,-34.63092711373966,-39.52747672333882,4.8965496095991625,0.005,0.9374103309845541,-74.66123665428536,-84.16978175642785,9.508545102142492,0.005,0.8210209796833658,-33.65896623276572,-45.56138207664968,11.902415843883958,0.005,-0.20215965342332448,-59.918489488634705,-74.0038999912245,14.085410502589795
11.0,0.01,0.2327608089981897,-25.14583483237847,-35.790766053293396,10.644931220914927,0.005,0.9093419852847252,-71.93087347170541,-77.22093751515492,5.2900640434495045,0.0075,0.237018434460601,-24.607077425205482,-44.034325251672385,19.427247826466903,0.005,0.07314098361434508,-51.351457695376354,-53.09042832339287,1.7389706280165171
12.0,0.01,0.16857577077856575,-21.415614080423868,-36.9973788788353,15.581764798411431,0.005,0.7201764078385379,-74.76128723757711,-86.88631101775567,12.125023780178566,0.01,0.16261030049807385,-21.202470797805084,-27.27606711925563,6.073596321450545,0.005,0.40416733578929925,-51.157197310078466,-61.045023202409325,9.88782589233086
13.0,0.0075,0.2697140746920222,-24.227809374842373,-31.214502879613097,6.986693504770724,0.005,0.9130796268556657,-71.32184043946313,-71.8915450909079,0.5697046514447663,0.0075,0.2736857610935535,-24.344295107194913,-29.740281100775803,5.39598599358089,0.005,0.4251022649409714,-48.77036637148252,-57.79289803522799,9.022531663745475
14.0,0.0075,0.7467444761465032,-23.939384195704008,-28.117427761106622,4.178043565402614,0.005,0.9631450171120697,-71.40090665479224,-89.03952892509223,17.63862227029999,0.0075,0.7518287266345984,-25.643019505292756,-28.90792334530934,3.264903840016583,0.005,-0.22982209329642686,-51.96234397555921,-81.72342978382596,29.761085808266756
