,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,0.46175393969098805,-78.2677988726351,-78.2677988726351,0.0,0.005,0.9963581409527131,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7413399111969018,-96.67745760657581,-96.67745760657581,0.0,0.005,0.700936331449128,-85.27634767858551,-100.62131206281978,15.344964384234274
5.0,0.005,0.8373301082654481,-73.40703789890921,-133.97940008672037,60.572362187811166,0.005,0.9690335771161948,-81.79773649524918,-92.9675082400378,11.16977174478862,0.005,0.7537927188296651,-85.15692456458959,-117.49551617416017,32.338591609570585,0.005,0.4821590378059575,-84.26741047178852,-109.52097469974305,25.253564227954527
6.0,0.005,0.5906283382642389,-76.32959861247397,-90.30899869919435,13.979400086720375,0.005,0.9168204815581301,-88.49823927540548,-94.59465699337672,6.096417717971235,0.005,0.6650413418351344,-90.01737115281622,-103.09525394992404,13.077882797107819,0.005,0.28174361236111906,-86.8208863999057,-106.67729854968302,19.856412149777313
7.0,0.005,0.4904339376145937,-78.2677988726351,-84.28839878591472,6.020599913279625,0.005,0.9180580883847279,-85.85578898875382,-100.65525739726915,14.799468408515338,0.005,0.645008616099751,-85.19063213039657,-116.45737864747,31.26674651707343,0.005,0.06849540718118358,-86.52882676245665,-101.22189118234998,14.693064419893332
8.0,0.005,0.5055523125862263,-73.40703789890921,-90.30899869919435,16.90196080028514,0.005,0.9543991853591419,-83.73356621939377,-86.70527312461907,2.971706905225304,0.005,0.18462679081504463,-86.09175666646728,-92.61345914394283,6.521702477475557,0.005,0.018212820632502215,-83.44279870111977,-95.06872017734088,11.625921476221109
9.0,0.005,0.6364098149248069,-71.22414851040786,-78.2677988726351,7.04365036222724,0.005,0.9515542388757996,-78.62608570977254,-85.58832613962085,6.962240429848308,0.005,0.3104260451890466,-80.61595781876314,-116.72924905774389,36.11329123898075,0.005,0.03754235582514112,-79.17224581248983,-100.09523964466769,20.922993832177852
10.0,0.005,0.633431586768986,-66.22659904607586,-71.22414851040786,4.997549464331996,0.005,0.9619097149473658,-73.7966066668519,-78.0515845963638,4.254977929511895,0.005,0.11544160818397406,-76.89139097096982,-100.72841228522032,23.837021314250492,0.005,0.011081244742835452,-75.1367976842499,-90.01724987326683,14.880452189016935
11.0,0.005,0.6881599643238839,-62.704773864962235,-74.74597369152148,12.04119982655925,0.005,0.9425653761999987,-71.26336669734854,-75.24921397520968,3.98584727786114,0.005,0.40483632794414426,-70.79884095111255,-85.76042045184982,14.961579500737272,0.005,0.11992256063167361,-70.26370809324044,-78.02433745537526,7.7606293621348215
12.0,0.0225,0.9979975526728164,-13.107032105223997,-19.988874091473402,6.881841986249405,0.005,0.9525590766292272,-66.4341685235284,-82.00216735589203,15.567998832363628,0.015,0.9991871221588163,-16.111117836735684,-16.111117836735684,0.0,0.01,0.9972695179617448,-21.865843919324803,-30.5283857629466,8.662541843621796
13.0,0.0975,0.996100054173567,-0.3645986449046158,-6.551818692375091,6.1872200474704755,0.005,0.9938594235603991,-26.09020881946016,-35.29349752766073,9.203288708200574,0.1025,0.99643442415028,0.855114284246367,-25.677259794511844,26.53237407875821,0.0475,0.9970560435666245,-6.04422248334471,-33.3467527736572,27.30253029031249
14.0,0.0775,0.9956236468338034,-2.04199738822958,-13.211951450837677,11.169954062608097,0.0075,0.9902947060764,-25.736967321659876,-37.39578922125474,11.658821899594862,0.0625,0.996468999463471,-4.262102154833482,-24.12193123381285,19.85982907897937,0.05,0.9965277827814552,-6.824083142999199,-34.67757468129122,27.85349153829202
