,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.0171498025432977,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.9594151695753477,-103.73087350517899,-112.88780827673719,9.156934771558198,0.005,0.030161121849630906,-95.63412716188394,-105.07782613437462,9.44369897249068,0.005,0.08689372055439017,-88.35633171963434,-130.5563310823181,42.19999936268377
1.0,0.005,-0.010962372885822193,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.35908854448966043,-108.8905156485947,-111.85281811893515,2.962302470340447,0.005,-0.03591730029307888,-95.44394222141604,-106.57118890207725,11.127246680661216,0.005,-0.027660463763132852,-90.58969338467072,-99.28828815205678,8.698594767386055
2.0,0.005,0.012811501289768587,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,-0.18698740625200044,-106.53515353769082,-116.46515466958915,9.930001131898337,0.005,0.026894038458277276,-97.13253845250657,-124.90068474603927,27.76814629353271,0.005,-0.03095980746272471,-91.0185278281381,-98.65539659287037,7.63686876473227
3.0,0.005,0.004425871296353033,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,-0.024521978566263817,-113.37596897504105,-123.11569846240944,9.739729487368393,0.005,0.10578500126734357,-98.8269578171174,-109.16131113183306,10.334353314715656,0.005,0.04692313995032354,-89.55032643299639,-103.40020379568742,13.849877362691032
4.0,0.005,-0.05418193273813538,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.24444945137877708,-113.87563073468245,-115.31227317156267,1.43664243688022,0.005,-0.08607651190150675,-97.04843726045348,-104.83856636254039,7.790129102086908,0.005,-0.06435714035648579,-91.26171164566826,-113.99023349878948,22.728521853121222
5.0,0.005,0.0016542340822541888,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.10949896712646674,-110.42992329722571,-121.0292793364849,10.599356039259192,0.005,-0.03973392840680416,-97.30427721451024,-101.86436199173629,4.560084777226052,0.005,-0.005688759946736111,-90.18047884255625,-108.9751049718364,18.794626129280147
6.0,0.005,0.002747608783071346,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.06920535078240374,-110.6736507509977,-118.30919132559006,7.635540574592369,0.005,-0.005186150942607356,-97.3737178258022,-102.26108395090789,4.887366125105686,0.005,-0.013058316017781424,-89.94428385910494,-110.98183787443396,21.03755401532902
7.0,0.005,0.029245864813919945,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.1348206454411086,-108.54574840357856,-133.97940008672037,25.433651683141818,0.005,0.02701696042568083,-98.32789354290955,-105.13500724753519,6.807113704625635,0.005,-0.02578158010679027,-88.9382358324333,-100.38584320308289,11.447607370649578
8.0,0.005,-0.010161997100554213,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.11194515842094295,-109.34426748668785,-118.15546897861657,8.811201491928713,0.005,-0.022347424825357218,-96.48143496086803,-115.08631203386506,18.604877072997027,0.005,-0.0014374534152947606,-89.70015799686065,-111.480281422972,21.780123426111345
9.0,0.005,-0.008151874009501823,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,-0.19537943812442,-108.35479633041331,-120.16384382362376,11.809047493210457,0.005,-0.035209927366583606,-96.20378132725645,-103.68383708972031,7.480055762463863,0.005,-0.04787329756298263,-90.06657141910141,-102.11627170873456,12.04970028963315
10.0,0.005,-0.013565217705048096,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.6711798888879842,-106.60504012752641,-113.0984872333602,6.493447105833795,0.005,0.015366781243125894,-96.87828318444144,-120.14063786194771,23.262354677506266,0.005,-0.06464364410012396,-90.34037936713247,-101.07122638214275,10.730847015010283
11.0,0.005,0.01349983477454818,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.33132338728695143,-108.52439580538602,-118.23963726554915,9.715241460163128,0.005,0.013933724368394915,-97.18703573393853,-114.10844123845098,16.92140550451245,0.005,0.026584126844947792,-87.8557736244488,-110.65745972250778,22.80168609805898
12.0,0.005,-0.0027252627875432815,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.32210391291378054,-110.71932956456993,-123.27227470193291,12.552945137362983,0.005,0.04642602926787729,-97.43300650786077,-107.9548790616834,10.521872553822632,0.005,-0.09376665954951921,-90.14468983289122,-100.52895986374494,10.384270030853727
13.0,0.005,-0.0009086074668759871,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,-0.4098603574294131,-108.82584211121441,-126.44878166562818,17.62293955441376,0.005,0.208133918490074,-96.71125023594675,-102.27141723393726,5.560166997990507,0.005,-0.06199214435761799,-91.236882965406,-99.41303157725356,8.176148611847566
14.0,0.005,0.008000666248553055,-84.28839878591472,-84.28839878591472,0.0,0.005,0.1313024140589879,-110.35526333533485,-130.15668359072637,19.80142025539152,0.005,-0.03411011433510693,-96.87198761541403,-115.56715154983257,18.695163934418545,0.005,0.020329513249444472,-90.22260039329537,-109.628641730921,19.406041337625638
15.0,0.005,0.01127386295936453,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,-0.29488194094407566,-111.82034926393492,-114.26888831264844,2.4485390487135277,0.005,0.007956733278083973,-95.63559953953522,-101.77238409941673,6.136784559881505,0.005,0.047111264662564295,-90.01629091256405,-98.06549380405659,8.049202891492541
16.0,0.005,0.015726219609427203,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,-0.3082851433688291,-110.21843106185365,-112.96819619622357,2.749765134369923,0.005,-0.03845946929242782,-96.04541843100759,-115.60800351947753,19.562585088469945,0.005,0.026052666603971486,-90.10160474992078,-115.64217612458711,25.540571374666328
17.0,0.005,0.23196746974536006,-63.46054508275023,-90.30899869919435,26.848453616444118,0.005,0.5023211981838775,-106.15280755017176,-106.15280755017176,0.0,0.005,0.7948913666635724,-65.97845098648483,-77.41094576760533,11.432494781120496,0.005,0.26480468402498775,-75.26472279659737,-86.21073524232295,10.946012445725586
18.0,0.055,0.97046813828925,-4.699252423957768,-10.276920216198402,5.577667792240634,0.0425,0.9997709728995703,-6.593227696550156,-8.208634067705662,1.6154063711555056,0.0275,0.8455381108575518,-11.331779564474829,-36.52962389110179,25.197844326626964,0.01,0.7968253464017766,-21.39495299063431,-44.879380480445555,23.484427489811246
