,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.041349203691025,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.2894911264146164,-104.78347768428759,-113.81027882596786,9.026801141680266,0.005,-0.03886770127255288,-97.69352607074603,-123.21769532003428,25.52416924928825,0.005,0.016903904815292328,-91.50354323375053,-130.55125306270713,39.0477098289566
1.0,0.005,0.02062043515784246,-90.30899869919435,-90.30899869919435,0.0,0.005,0.3667743058311989,-109.76323588716129,-118.23159422038223,8.468358333220948,0.005,0.13136618074141865,-95.09506375348113,-115.34902194696764,20.25395819348651,0.005,-0.000520565435286843,-91.87434909835525,-104.59868585944035,12.724336761085098
2.0,0.005,0.011939602006287435,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.1722852754247836,-109.80563179512536,-120.68661521300422,10.880983417878852,0.005,0.07011497220892694,-97.90705921983425,-128.6448318953949,30.73777267556065,0.005,0.010204435169086687,-91.8295580699264,-103.97401816109534,12.144460091168938
3.0,0.005,nan,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,-0.3078174370590343,-103.59196378384016,-122.93415315144443,19.342189367604277,0.005,-0.07328160396775393,-99.95803908114225,-133.97940008672037,34.02136100557813,0.005,0.05762212629845064,-91.68160031769284,-133.97940008672037,42.297799769027534
4.0,0.005,nan,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.44593343409891306,-101.36013763453221,-106.39238416669686,5.032246532164649,0.005,0.0005267369208743775,-99.03757018376476,-108.73766180245997,9.700091618695211,0.005,-3.523069943794419e-06,-94.75693215241697,-105.06577779868027,10.308845646263308
5.0,0.005,nan,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.7401630301803381,-104.8837878759396,-117.5720767402806,12.68828886434099,0.005,0.03287275076005627,-97.00524508121747,-106.34231372088604,9.337068639668573,0.005,0.012437444658982267,-91.61157330780514,-107.52416114048698,15.912587832681837
6.0,0.005,-0.0019847247981106884,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,-0.35500142041683275,-113.40992999751882,-123.24728320481057,9.837353207291756,0.005,0.014119133155306102,-98.43582911372265,-107.29482163542265,8.858992521700003,0.005,0.0721816131490833,-92.47198783946678,-109.40462623097298,16.932638391506202
7.0,0.005,0.014677810626191527,-90.30899869919435,-90.30899869919435,0.0,0.005,0.38435531289275315,-112.44102912574421,-121.9840710841228,9.543041958378595,0.005,0.013932915514249963,-97.39318818894601,-109.79918761750449,12.405999428558474,0.005,-0.07302729893578552,-91.98189260802235,-119.15642897318315,27.174536365160805
8.0,0.005,-0.035163764098892894,-90.30899869919435,-90.30899869919435,0.0,0.005,0.14610941382589326,-115.72116489716296,-118.94722787412277,3.2260629769598097,0.005,-0.14529309741767793,-96.1996975519962,-104.7942725823181,8.594575030321906,0.005,-0.06764196753842902,-91.57991467745256,-133.97940008672037,42.39948540926781
9.0,0.005,-0.180935658243944,-90.30899869919435,-90.30899869919435,0.0,0.005,-0.5776296493219419,-101.31309397295419,-105.78659825790513,4.473504284950934,0.005,0.004458607837469013,-97.1598070212974,-116.7208732130278,19.561066191730404,0.005,0.025642509347896712,-91.22464562659486,-103.30508691769558,12.080441291100712
10.0,0.005,-0.08735111879838928,-90.30899869919435,-133.97940008672037,43.67040138752603,0.005,-0.6365323277820018,-104.26991749758923,-117.04530836162328,12.775390864034051,0.005,-0.08870881058086287,-97.9359244115419,-133.97940008672037,36.04347567517847,0.005,-0.018764971638251852,-94.685611962718,-133.97940008672037,39.293788124002376
11.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.22969630665032276,-114.21927265016876,-129.60038096074774,15.38110831057898,0.005,0.030222743854604363,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,-0.043166463678507995,-119.99999999999999,-133.97940008672037,13.97940008672039
12.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.6495023368470888,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.4149342674389037,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.5318188555386665,-119.99999999999999,-133.97940008672037,13.97940008672039
13.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9607979223602767,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7496639635670073,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7093480871818916,-119.99999999999999,-133.97940008672037,13.97940008672039
14.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9649075135837432,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.5010926257261827,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
15.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9793388107145532,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.6741526285921513,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
16.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9860750571341399,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.6511352919877372,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
17.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9855975743110427,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.5294987050591422,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
18.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9775637714831051,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.7415276660686227,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
19.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9628802438779149,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.41925330966587454,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
20.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9652175888630394,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.755739034196775,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
21.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9797153897772273,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.47188123831678236,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
22.0,0.005,0.9998329341518402,-27.644609564544467,-45.05997690458577,17.4153673400413,0.005,0.9949802965436755,-89.1570532163311,-94.59375344621128,5.436700229880188,0.005,0.9998571881914596,-39.07101369781058,-59.39762998016482,20.326616282354244,0.005,0.9998874671616252,-30.87563737450492,-49.50447988074609,18.62884250624117
23.0,0.0575,0.9936940687129185,-4.943525259862042,-12.870538061546888,7.927012801684846,0.005,0.989413557914442,-41.632319325412574,-47.72078593586918,6.0884666104566065,0.0475,0.9943606931666936,-6.591341855156358,-8.406572187785844,1.8152303326294863,0.0275,0.9891732440851114,-11.420266676953341,-32.78459841627765,21.364331739324314
24.0,0.05,0.9742631392518316,-6.094604385574326,-41.30401653280713,35.209412147232804,0.005,0.9407520743069646,-44.44658966437707,-73.14364890030606,28.69705923592899,0.0425,0.9776007132216452,-7.354420304019201,-18.392923873344433,11.038503569325233,0.0225,0.9646847113138947,-13.806045298119237,-28.873173689644595,15.067128391525358
25.0,0.0375,0.9707791856522471,-8.270622025585887,-31.03324215228325,22.762620126697364,0.005,0.9801240113389825,-42.92598933552104,-57.672078025930986,14.746088690409948,0.02,0.966705145271104,-15.468461883282181,-42.390994252873895,26.922532369591714,0.0325,0.9757607637437027,-7.871936949246451,-35.64761988408002,27.775682934833572
26.0,0.03,0.9461368897262219,-10.640983935583591,-32.4005477784062,21.759563842822608,0.005,0.8363497988065536,-57.785801268472795,-67.0135003631072,9.227699094634403,0.005,0.9330087652031526,-33.750960619177064,-56.493176102807425,22.74221548363036,0.0275,0.9468911717861881,-11.352155356550695,-36.07528599183192,24.723130635281223
27.0,0.0275,0.9085487614611149,-10.927206640095925,-25.797644430404937,14.870437790309012,0.005,0.998114313761989,-52.640634210959696,-52.640634210959696,0.0,0.01,0.9780529612371095,-23.171931714866417,-23.56070650334341,0.38877478847699365,0.025,0.9094241010453509,-12.86541636439027,-26.87975948043305,14.014343116042781
