,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.025,0.254790980255187,-11.253149838312515,-36.63005608416411,25.376906245851593,0.005,0.73167166942793,-29.976188704523313,-33.59337851982244,3.617189815299124,0.0225,0.24683713387765607,-13.373232321301831,-22.876312462913326,9.503080141611495,0.01,0.10723090321622716,-23.04249457527869,-41.43669031859467,18.394195743315983
4.0,0.025,0.4768947774426639,-12.641448904227579,-26.649299359122725,14.007850454895147,0.005,0.8960084564713515,-29.07597335050407,-31.910970911983682,2.834997561479611,0.0225,0.49954687045708174,-13.967515370702552,-22.780291954367712,8.81277658366516,0.01,0.04676636677009831,-21.849927808604264,-28.723599116413506,6.873671307809243
5.0,0.025,0.23663122739065245,-12.343273127411898,-21.509719980776257,9.16644685336436,0.005,0.8063982346608327,-27.927791280146486,-28.468559334837128,0.5407680546906413,0.0275,0.26200442505640936,-11.904398087343646,-28.941915831086398,17.037517743742754,0.01,-0.2658845894824823,-22.79034350904814,-41.275870460356614,18.485526951308476
6.0,0.0225,-0.09179185755075268,-13.63968149578051,-29.064882522800104,15.425201027019595,0.005,0.7296112297562075,-28.26846420355226,-29.284903351780315,1.0164391482280557,0.0225,-0.11373392537684657,-13.20685437230695,-22.19504645401141,8.988192081704462,0.01,-0.28651108986978274,-24.531089299569846,-52.69786444433158,28.166775144761733
7.0,0.03,-0.30632818506910037,-11.274479190702518,-31.79244720669951,20.517968015996992,0.005,0.599051719270763,-28.778914006843976,-30.43120712491861,1.6522931180746347,0.0225,-0.3402331589597056,-12.678336878824759,-25.116405726110628,12.43806884728587,0.005,-0.3652799365678265,-27.077180354587284,-39.50168565218362,12.424505297596333
8.0,0.025,-0.09370064575924723,-11.418358279354736,-21.801575370415534,10.383217091060798,0.005,0.671284271149562,-28.51238865102317,-30.907787591152008,2.395398940128839,0.02,-0.12755295831128086,-14.673794030942243,-20.843915400529525,6.170121369587282,0.0075,-0.3726672375322097,-25.41663621434775,-43.667514602837,18.25087838848925
9.0,0.0225,0.01788521438895224,-12.819362345205027,-40.53798436918547,27.718622023980444,0.005,0.6474667816397189,-28.554428845946575,-36.17720396916313,7.622775123216556,0.0175,-0.020971635741562532,-14.514398781183813,-30.531938334482433,16.01753955329862,0.0075,0.08940897340073713,-24.86806490060524,-39.578189479992105,14.710124579386864
10.0,0.025,-0.02926661022952015,-12.326821535326369,-40.509829110697666,28.1830075753713,0.005,0.818626055463967,-29.434995373052818,-41.647073680478414,12.212078307425596,0.0225,-0.013734518572839697,-13.609134601790506,-30.194784249237678,16.58564964744717,0.005,-0.2854270952215947,-26.311339937624716,-40.612656285331525,14.301316347706809
11.0,0.025,0.26003589518107195,-12.378474349403252,-20.620154546346217,8.241680196942966,0.005,0.8800611967519423,-30.961401083580697,-49.66007672076027,18.698675637179576,0.0275,0.2762184291727099,-11.338385758140742,-30.789140855308528,19.450755097167786,0.005,0.06454230542401528,-29.001726689629038,-46.944881512816714,17.943154823187676
12.0,0.025,0.21596294490744558,-11.349547114278757,-19.1588546610812,7.809307546802444,0.005,0.8919247765264015,-31.411189148263915,-61.20462441891484,29.793435270650924,0.0275,0.21385058702118734,-11.438874652714194,-28.406466492022236,16.967591839308042,0.005,-0.13558229559827029,-29.877024325429772,-53.085124457957264,23.20810013252749
13.0,0.0225,0.12082363208039362,-12.359755938933096,-18.265627671614414,5.905871732681318,0.005,0.9083135458202656,-31.755388822081564,-50.69473507891491,18.939346256833346,0.025,0.12096840513064211,-12.708881920304682,-29.533411069777678,16.824529149472994,0.005,0.07577762169738655,-29.142337819142835,-37.58569252013509,8.443354700992256
14.0,0.025,-0.045927964061939094,-12.696156171108658,-18.97082559465829,6.274669423549632,0.005,0.8995464459822939,-31.556637784593917,-45.9021153050178,14.345477520423884,0.0225,-0.04456594033427458,-13.440933245415739,-24.904480819842583,11.463547574426844,0.005,-0.051308908592772026,-27.284093979607743,-38.25279789555728,10.968703915949536
