,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,0.44144064146077444,-90.30899869919435,-90.30899869919435,0.0,0.005,0.9978412386498612,-119.99999999999999,-133.41328859676702,13.413288596767032,0.005,0.39711429493428735,-102.63325615268405,-105.06367306824002,2.4304169155559663,0.005,-0.06268872407222154,-95.27846184486953,-98.27067026029722,2.9922084154276973
10.0,0.005,-0.0419707602957595,-90.30899869919435,-90.30899869919435,0.0,0.005,0.967766961549383,-103.60389870769419,-113.67260353844844,10.068704830754257,0.005,0.09193652522525886,-99.33882966352046,-113.32340075905566,13.984571095535202,0.005,0.001097885567030893,-91.78063675169854,-112.82384898519334,21.0432122334948
11.0,0.005,-0.06671910883069616,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.6890568214167083,-111.47373846632915,-133.97940008672037,22.505661620391223,0.005,0.030013321835655336,-98.04233518317987,-112.077273108874,14.034937925694123,0.005,-0.005770678637979848,-90.92381867376244,-110.89452270874034,19.9707040349779
12.0,0.005,-0.0050212660836456095,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,-0.22916287846751832,-110.56065309599894,-133.97940008672037,23.41874699072143,0.005,-0.001218063427601512,-96.63768740653768,-101.67831252326847,5.040625116730794,0.005,-0.07612391161964689,-91.91565408588065,-98.43853739747325,6.522883311592608
13.0,0.005,-0.00475823056548484,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,-0.44639181102488823,-117.19520422770215,-133.97940008672037,16.784195859018226,0.005,0.0484175012526762,-95.49164530626003,-121.83311275646017,26.341467450200142,0.005,-0.007825266233956586,-91.02230764187618,-108.05491752944157,17.032609887565386
14.0,0.005,-0.03478224727393626,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,-0.36547258524799187,-114.07073198892469,-117.87871123254283,3.807979243618135,0.005,-0.04280859729329058,-98.38243058127463,-108.72577457877026,10.343343997495623,0.005,-0.13401287558298786,-92.07845050058924,-109.46585429164134,17.387403791052094
