,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.005,0.43405653249716286,-90.30899869919435,-90.30899869919435,0.0,0.005,0.9704220544002311,-103.79586894864035,-110.73993900705263,6.944070058412279,0.005,0.09869589394936829,-95.19036033679058,-114.59829635462489,19.407936017834317,0.005,0.04149219480953961,-91.99828675517126,-108.30485116974572,16.306564414574453
10.0,0.005,-0.045143377605683474,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.8024888828162986,-107.65606582760861,-127.38284715092364,19.726781323315024,0.005,-0.1268104433910129,-98.86608873369946,-126.15005819389671,27.283969460197255,0.005,-0.06641112348571455,-92.5550464896569,-123.72806349551598,31.17301700585908
11.0,0.005,-0.031125881148551054,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.5493202124189017,-104.0416522016517,-119.50489942801866,15.46324722636696,0.005,-0.05621134973178758,-94.86403026692379,-112.03635053293277,17.17232026600898,0.005,-0.147998163571113,-89.21110297461361,-100.6864082454298,11.475305270816193
12.0,0.005,0.0590356662040792,-76.32959861247397,-90.30899869919435,13.979400086720375,0.005,0.9656739462197139,-98.3116820626484,-128.82297720957962,30.511295146931218,0.005,0.184636943792368,-92.59293603503247,-101.11856316189554,8.525627126863071,0.005,-0.10924166543444418,-87.6742647786802,-120.44916092809048,32.77489614941028
13.0,0.005,0.03490913031442177,-74.74597369152148,-133.97940008672037,59.23342639519889,0.005,0.9009522964339524,-92.95548567859376,-96.26536082212249,3.3098751435287284,0.005,0.21089799271305704,-86.11074721367835,-113.01573771104603,26.904990497367677,0.005,-0.1885299553973755,-82.5799725426647,-100.13265211986382,17.552679577199115
14.0,0.005,-0.0024458082060580676,-68.03013165305762,-74.74597369152148,6.715842038463862,0.005,0.8956300574674931,-87.90671884638648,-98.44302391634142,10.536305069954935,0.005,0.04875273510661971,-84.30524633548768,-104.57150867950803,20.266262344020348,0.005,-0.25685022096794274,-82.28525066552945,-124.78648148167932,42.50123081614987
