,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.06467545902667637,-78.2677988726351,-84.28839878591472,6.020599913279625,0.005,0.8902753406993167,-94.57412613613266,-108.37769243684394,13.803566300711282,0.005,0.2713522033199523,-92.34778701012814,-104.36208131135352,12.014294301225377,0.005,0.0011448996718259226,-90.58921588429465,-104.00120578911839,13.411989904823741
1.0,0.005,0.1896057075473562,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.7530109087339377,-95.16596278479167,-121.53344710572654,26.367484320934864,0.005,0.1814909395190741,-93.98839682697464,-97.29250024790832,3.3041034209336857,0.005,0.006669018834632483,-90.392406825448,-115.04468556473245,24.65227873928444
2.0,0.005,0.2790613780264441,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.8378316383735229,-90.94525454991472,-98.15215463477631,7.206900084861587,0.005,0.3553013925607112,-93.02963002160851,-94.14629626386612,1.1166662422576081,0.005,-0.03433146694087029,-89.72084294782255,-104.79208827983784,15.071245332015295
3.0,0.005,0.4026707124397002,-78.2677988726351,-84.28839878591472,6.020599913279625,0.005,0.7851306236466876,-88.3799780256473,-92.57875434570742,4.198776320060119,0.005,0.35735136323679817,-90.04978684809161,-96.59120629887911,6.541419450787501,0.005,-0.09636302382723365,-88.3930544518776,-127.55659409887645,39.16353964699884
4.0,0.005,0.4915058679069347,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.8159147770847267,-86.22188595728448,-99.94270795242048,13.720821995135992,0.005,0.18434314628633378,-86.65880678748495,-122.62407058720251,35.96526379971756,0.005,-0.04143273180468009,-88.18120291009278,-91.23332269848734,3.052119788394563
5.0,0.0075,0.8040805260051909,-23.631995797143453,-42.88764145375963,19.255645656616174,0.005,0.999949587095864,-33.24237994399941,-33.24237994399941,0.0,0.005,0.6684801685650739,-36.36705520441176,-49.737522893988185,13.370467689576422,0.005,-0.5639856805091953,-38.284414331325735,-75.60927378022511,37.324859448899375
6.0,0.03,0.8565721442412699,-10.64188641255859,-31.458916575832742,20.817030163274154,0.0225,0.997068805028381,-13.916876954604394,-45.77441290198137,31.857535947376977,0.01,-0.2126297817361563,-22.832515864536887,-31.085736253477524,8.253220388940637,0.015,0.07119499249450321,-17.68214087129821,-41.649206399444665,23.967065528146456
7.0,0.0275,0.9225556146468802,-11.657494229228544,-27.129693491526155,15.472199262297611,0.0225,0.9981280271050263,-13.673327386220143,-15.641453581267227,1.968126195047084,0.01,0.1732916259947046,-22.78185731157128,-30.331049901294584,7.5491925897233045,0.01,-0.029338607560092655,-20.96806414886606,-40.636455233166025,19.668391084299966
8.0,0.0275,0.904141575713801,-11.023806095257378,-17.948036764952505,6.9242306696951275,0.0225,0.9977118955833554,-13.886399734436747,-17.80366463845019,3.917264904013443,0.01,-0.0051771194583233185,-21.131911888717347,-35.18685026191439,14.05493837319704,0.005,-0.10791681443996168,-26.25361578556423,-35.698786935831635,9.445171150267406
9.0,0.0275,0.9011986196373838,-12.010505735091389,-17.86264548251747,5.8521397474260795,0.02,0.9961165572661369,-14.089093759416585,-23.92033862722794,9.831244867811357,0.0125,0.09859921196982677,-18.714411316318106,-33.86588690775478,15.151475591436672,0.005,-0.37038575113146244,-29.139992984653887,-34.997473685087705,5.857480700433818
