,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,-0.00856322119550889,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.9572898199144815,-98.9206187095433,-107.52545065543531,8.604831945892002,0.005,0.34379988132154554,-94.21504590999417,-103.10186652539991,8.886820615405739,0.005,0.0006797586737304366,-92.47000138020809,-103.60300632093555,11.13300494072746
1.0,0.005,0.0747177858609329,-80.76657360480111,-84.28839878591472,3.5218251811136128,0.005,0.8098990782762298,-102.07632264945218,-108.82756240792835,6.751239758476174,0.005,0.16113173588017254,-99.08934494511213,-100.4619158237343,1.3725708786221702,0.005,-0.02123755776816116,-92.08770136684741,-95.0839738362484,2.996272469400992
2.0,0.005,0.04932463825735926,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.7555713414034411,-102.73512990652742,-124.99842944929325,22.263299542765836,0.005,-0.05799386805323543,-97.21079282945281,-107.84737460692925,10.636581777476437,0.005,0.0083293528110112,-90.02187417329023,-100.07685748510653,10.0549833118163
3.0,0.005,0.0846903633957059,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.8752922944481284,-105.8295653581288,-130.43634351352034,24.606778155391538,0.005,-0.07221843091403951,-99.86868784995025,-127.4874938115356,27.618805961585352,0.005,-0.017329706890401614,-89.99388268795357,-112.42315694659297,22.429274258639396
4.0,0.005,0.0796054492922748,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.8185962082927426,-103.78814759400672,-112.53780143406927,8.74965384006255,0.005,0.04588301271679787,-98.00069234471417,-116.06786442216642,18.067172077452256,0.005,-0.00697544580727014,-91.05562068475342,-106.48649314810956,15.430872463356138
5.0,0.005,0.025270018258689034,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.8267064801753812,-103.36772939969651,-126.60063225756743,23.23290285787091,0.005,-0.05645322028706854,-98.19303414685851,-111.22465480898192,13.031620662123416,0.005,0.05466650693412479,-92.06704821393947,-105.52155222421172,13.454504010272245
6.0,0.005,0.643985157325238,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.916705311440987,-97.39576585987183,-112.41405079004639,15.01828493017456,0.005,0.5269259064946311,-95.21719358156363,-133.97940008672037,38.76220650515674,0.005,0.030497657809040873,-92.76248456446523,-133.97940008672037,41.21691552225515
7.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9936330127841898,-102.86363678331007,-133.97940008672037,31.115763303410304,0.005,0.9988789087510557,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9982472252893367,-119.99999999999999,-133.97940008672037,13.97940008672039
8.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9917744220332101,-113.9147545123993,-129.41107496010417,15.496320447704875,0.005,0.9989623670544071,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9967080856699232,-119.99999999999999,-133.97940008672037,13.97940008672039
9.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.987075382554622,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9992663993897037,-119.99999999999999,-133.97940008672037,13.97940008672039,0.005,0.9985061108986036,-119.99999999999999,-133.97940008672037,13.97940008672039
