,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.005,0.10854914727921448,-69.59310575653181,-79.13553066022106,9.542424903689252,0.005,-0.14289879906212533,-80.87411351668425,-80.87411351668425,0.0,0.005,0.17034524129313564,-79.64368427363573,-86.81515537564324,7.171471102007516,0.005,-0.006391987146980398,-77.67944155587423,-93.60969032938621,15.930248773511977
1.0,0.005,0.035934565628943635,-62.23356994166622,-88.67795575461435,26.444385812948127,0.005,0.05591597793747171,-74.25762190670139,-74.46344783873359,0.205825932032198,0.005,0.13164636695472798,-75.73490712664308,-91.61582682935725,15.880919702714166,0.005,-0.01720086103914657,-66.84022259891104,-94.34991873263513,27.50969613372409
2.0,0.005,0.11057420629246735,-67.8501018954193,-88.67795575461435,20.827853859195045,0.005,0.2625540292541547,-74.49105478693265,-82.11419667074699,7.623141883814341,0.005,0.08068495451367716,-75.36155408165784,-91.07698993932297,15.715435857665128,0.005,-0.001050960933840361,-73.24748107786529,-104.86947934623961,31.621998268374327
3.0,0.005,0.22537463202928928,-67.8501018954193,-133.97940008672037,66.12929819130107,0.005,0.3165576333410334,-77.17865024886002,-83.45814284542364,6.279492596563614,0.005,0.22924268751926796,-77.24816042439282,-101.21131619458288,23.963155770190056,0.005,0.02010165449779732,-73.54211711489482,-80.76088256436941,7.2187654494745885
4.0,0.005,0.4157026626706259,-65.75539479585873,-76.63675592805508,10.881361132196346,0.005,0.6058866348647662,-74.62818760932718,-80.5606461962349,5.932458586907714,0.005,0.22838627746031714,-77.26386918678877,-81.22558675702159,3.961717570232821,0.005,-0.048122687279193346,-74.25321817197096,-90.28535235337267,16.032134181401716
5.0,0.0425,0.9984241699945221,-6.8018201138380405,-19.05483852170383,12.253018407865788,0.005,0.8543056043678793,-64.44560376501829,-65.05934614223153,0.6137423772132422,0.04,0.9985028762602309,-7.751605824640525,-52.44634701618149,44.69474119154096,0.015,0.9984633288158288,-16.685341823652966,-23.214204580320278,6.528862756667312
6.0,0.0475,0.9984853685381687,-5.862768327773805,-17.38226842874751,11.519500100973703,0.005,0.9237168397911409,-59.39363570240253,-64.04427802201172,4.650642319609197,0.04,0.9985674875250771,-7.875346577782354,-13.632934203473116,5.757587625690762,0.02,0.9982738108190121,-15.32462925673826,-34.22362149580554,18.898992239067276
7.0,0.0425,0.9983602216048887,-7.370843928443902,-22.029186439751058,14.658342511307156,0.005,0.974361654672975,-58.54094060652062,-66.31217369297529,7.7712330864546715,0.0325,0.9987771863600134,-10.097746626204941,-25.926619682780427,15.828873056575485,0.025,0.9983038577733555,-13.057457812429014,-43.14222432500532,30.08476651257631
8.0,0.0225,0.9986000585618243,-13.14247989720371,-42.400611263913994,29.258131366710284,0.005,0.9914481085028591,-50.19232823641552,-65.47756585531354,15.285237618898023,0.02,0.9990687690796641,-15.906337678262208,-28.698922091085205,12.792584412822997,0.01,0.997520697079505,-22.96928628876205,-34.48419313762914,11.514906848867092
9.0,0.015,0.9984897841355239,-16.52671054818384,-24.787669014571307,8.260958466387468,0.005,0.9922793137689716,-50.59934172788012,-55.39289487114195,4.793553143261825,0.01,0.9997610937736088,-20.608246514637614,-40.40305758704881,19.794811072411193,0.01,0.9979115690276834,-20.460111622442607,-24.380210274757488,3.9200986523148806
