,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.005,-0.018067859780385578,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.9470287451817714,-103.33480091469718,-108.39552732343333,5.060726408736144,0.005,0.2155296580325233,-100.16008070281484,-108.67892268749793,8.518841984683093,0.005,-0.00042176011241125226,-89.97981886629918,-103.4092345735116,13.429415707212414
3.0,0.005,0.5024082522750681,-64.73392668013777,-90.30899869919435,25.575072019056577,0.005,0.9632585695692404,-74.21101911304633,-76.82886432711966,2.617845214073327,0.005,0.24643389669139396,-80.07430433586171,-84.15275309933881,4.078448763477098,0.005,-0.35632195979482567,-71.82103104186582,-85.59476579614571,13.773734754279886
4.0,0.005,0.4650939107830201,-66.22659904607586,-74.74597369152148,8.519374645445623,0.005,0.9781429094895829,-74.53898738874483,-79.29371137348335,4.7547239847385185,0.005,0.3000803502039962,-79.48333454648586,-84.73295937392655,5.249624827440684,0.005,-0.2868111770785119,-72.01184716873425,-89.11527282071927,17.10342565198502
5.0,0.0075,0.5840021707256854,-25.558123936336866,-41.459403317905384,15.901279381568518,0.005,0.10872239751500799,-57.40472378972116,-70.94057771178329,13.535853922062131,0.005,0.8809558698784131,-37.86040800563192,-54.09661471518564,16.23620670955372,0.005,0.5664967009232905,-28.598321127249,-64.54263236710472,35.944311239855715
6.0,0.005,-0.10538883011622802,-40.20599913279624,-55.66112350273499,15.455124369938751,0.005,-0.3949509518973625,-47.65623816785119,-47.94003611899452,0.2837979511433275,0.005,0.43771193734683317,-48.30950924797635,-56.54717549886417,8.23766625088782,0.005,-0.14132226934321926,-42.16513140093536,-67.83050536005567,25.66537395912031
7.0,0.005,-0.2949777099759041,-39.552616797728874,-80.76657360480111,41.213956807072236,0.005,-0.7653294341055168,-44.32015401232099,-45.27559106014003,0.9554370478190393,0.005,0.48116886919378915,-45.35727201980069,-48.93260909258402,3.5753370727833342,0.005,0.049460486582722424,-48.32093153799797,-59.80934928064366,11.488417742645687
8.0,0.005,-0.1116743693524154,-37.823356782480985,-45.300598653016465,7.4772418705354795,0.005,-0.8698990295200824,-44.88248211019591,-48.68631161892765,3.803829508731738,0.005,0.6019312972438093,-39.85769471860071,-54.92589768095054,15.06820296234983,0.005,0.4722197282402685,-48.14015951858613,-52.3249381712488,4.184778652662672
9.0,0.005,0.1946417991643698,-37.9062775997192,-46.729459753330964,8.82318215361176,0.005,-0.9095240633778496,-47.77097322750055,-59.74155652104458,11.970583293544031,0.005,0.6491399550618461,-39.70847806311272,-59.03659734234984,19.32811927923712,0.005,0.5352775452673924,-47.21363562259511,-74.0807034500902,26.867067827495084
10.0,0.005,0.6299168977798306,-38.7821716950785,-55.50174490930948,16.719573214230977,0.005,-0.1593219651485864,-53.65835183966831,-65.31541246343426,11.657060623765943,0.005,0.7890755968477217,-38.69518774284648,-54.60803342821522,15.912845685368744,0.005,0.493968612675984,-45.48162209190409,-54.44059024722727,8.958968155323177
11.0,0.005,0.6751708814478813,-35.26802974280558,-40.59457016956276,5.326540426757177,0.005,0.18962882494202257,-50.91798824627099,-79.23400042194118,28.31601217567019,0.005,0.7982895735189043,-39.558057069958586,-42.117048475250826,2.5589914052922396,0.005,0.5748946877475251,-42.867839851683854,-46.07449195053007,3.206652098846213
12.0,0.005,0.5550237929246926,-33.970921911681145,-43.66022950088225,9.689307589201107,0.005,-0.5456850486451073,-49.30709757968267,-80.91626065533815,31.60916307565548,0.005,0.7230139600977068,-36.64332654206611,-49.74761204672396,13.104285504657845,0.005,0.6620966965658658,-39.923394926531124,-47.34274665633101,7.419351729799885
13.0,0.005,0.5178084700193204,-33.984172699358695,-50.939339728115655,16.95516702875696,0.005,-0.9382531824655799,-50.59440474627537,-62.57771998367468,11.98331523739931,0.005,0.6841935883979713,-35.891432460921315,-48.54564719460254,12.654214733681222,0.005,0.606363375137889,-41.357220368300645,-49.45020485431618,8.092984486015538
