,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.005,0.8861658193973484,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.9997081358584993,-97.31405978295908,-97.45347034760638,0.1394105646473065,0.005,0.8717761850516709,-93.7283277003457,-113.13938721730487,19.41105951695917,0.005,0.12804776424581962,-95.16312931520179,-103.99854445640605,8.835415141204265
5.0,0.005,0.022572847642916904,-84.28839878591472,-84.28839878591472,0.0,0.005,0.8959700303885069,-97.00003559169653,-103.33566374641627,6.335628154719743,0.005,0.0330670139334217,-95.47795283947639,-104.28292240394741,8.804969564471023,0.005,0.03812593005077036,-91.31584663919494,-97.84114146498807,6.525294825793125
6.0,0.005,0.044612786826160336,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.4826566881820821,-96.71761847191733,-96.71761847191733,0.0,0.005,-0.16560256046111885,-94.18108783446323,-101.69702194007668,7.515934105613454,0.005,-0.07297608955873416,-90.01672348218699,-100.07254921454518,10.055825732358187
7.0,0.005,0.05680805051039315,-78.2677988726351,-90.30899869919435,12.04119982655925,0.005,0.3673938362922324,-93.29559495194974,-94.27361263525813,0.9780176833083942,0.005,-0.19210391166486973,-89.85317473812441,-91.3077727220174,1.4545979838929952,0.005,-0.04300985143818363,-88.36260983659054,-104.8729584655824,16.510348628991864
8.0,0.005,0.008875813401261182,-76.32959861247397,-90.30899869919435,13.979400086720375,0.005,-0.00798922060834985,-90.81164569582597,-102.46936394455984,11.657718248733872,0.005,-0.0878693146422348,-88.18020292807736,-93.64075099079906,5.460548062721699,0.005,-0.055579255945974945,-85.9061980442403,-93.51941040310498,7.613212358864686
9.0,0.005,-0.0032545614952089884,-74.74597369152148,-90.30899869919435,15.563025007672863,0.005,0.2740735477263649,-87.01679525321197,-89.26678310197227,2.2499878487602984,0.005,-0.19414809700402114,-84.93909460680938,-98.86732310022639,13.92822849341701,0.005,-0.010758067907175234,-84.199983936058,-104.4877209726225,20.287737036564494
10.0,0.005,0.06108729746018315,-78.2677988726351,-84.28839878591472,6.020599913279625,0.005,0.3273070524663416,-85.96855500438238,-97.38602374662574,11.417468742243358,0.005,-0.0939734589092821,-86.16328930394502,-106.57960065354088,20.41631134959586,0.005,0.0001649106945077015,-84.53120887127281,-110.62203028487316,26.090821413600352
11.0,0.015,0.9973947848727964,-19.270244791897614,-19.270244791897614,0.0,0.005,0.9221366947967238,-70.39322665919792,-78.83610532775378,8.442878668555863,0.01,0.9976719973730518,-20.458244508815277,-27.450567565707654,6.992323056892378,0.005,0.9811048202426295,-35.677078041208674,-44.608309710773675,8.931231669565001
12.0,0.015,0.9966816502161098,-16.662486325838216,-29.489044850724543,12.826558524886327,0.005,0.8444549992743418,-73.75687184085683,-78.3787282991012,4.621856458244366,0.015,0.9972344964724846,-17.421481881850692,-26.89743682844722,9.475954946596527,0.005,0.9754726732621876,-31.369100517538495,-54.391564124810614,23.02246360727212
13.0,0.02,0.9947183238997335,-14.548461017278282,-29.544545931819982,14.9960849145417,0.005,0.9173918455013081,-72.37991717881829,-93.5400316035202,21.160114424701916,0.02,0.9952908428418863,-15.172589711898725,-16.313939677596956,1.1413499656982307,0.005,0.9682387150156897,-27.744121117742083,-37.47527425760672,9.731153139864638
14.0,0.0275,0.9949390394116753,-11.977814313172079,-46.012121738240396,34.03430742506832,0.005,0.9700994685254747,-63.794014035384954,-72.92188190740954,9.127867872024588,0.0275,0.9954181618724143,-11.75166960865122,-24.954813396336107,13.203143787684887,0.01,0.9618602763857953,-25.592662958360442,-50.02185958524322,24.429196626882778
