,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
7.0,0.005,0.1241133330666389,-84.28839878591472,-133.97940008672037,49.69100130080565,0.005,0.9997024191010264,-113.75104089678159,-113.75104089678159,0.0,0.005,0.33988914703179696,-97.02992924425504,-105.3783180515122,8.348388807257152,0.005,-0.002650867787000457,-94.26404926204582,-112.8059629735855,18.541913711539678
8.0,0.005,-0.05339212504078589,-80.76657360480111,-133.97940008672037,53.212826481919265,0.005,0.8038556520249139,-100.77304154421354,-103.86087750741645,3.087835963202906,0.005,0.07792611723441223,-95.40337947129309,-112.04787229425443,16.64449282296134,0.005,0.07325375503490487,-93.00962762883074,-110.96295617472813,17.953328545897392
9.0,0.005,-0.021653636813267506,-84.28839878591472,-90.30899869919435,6.020599913279625,0.005,0.11138521106378575,-103.84647791366453,-105.18019974769453,1.3337218340300012,0.005,-0.000480843635221207,-93.57581413787159,-103.91405958487057,10.338245446998982,0.005,-0.04791022725788081,-93.06100410213793,-106.53963292585209,13.47862882371416
10.0,0.005,0.030782276949710387,-80.76657360480111,-90.30899869919435,9.542425094393238,0.005,0.3372167530471479,-104.12294982971167,-115.57469342452015,11.451743594808477,0.005,0.03417148932772463,-96.01092693314662,-112.17136415620038,16.160437223053762,0.005,0.05076773965152961,-92.83195234081995,-125.41155486689183,32.57960252607188
11.0,0.005,0.2391219911080979,-34.98074175694637,-42.59687322722811,7.616131470281736,0.005,0.39289134576748136,-61.46648875235827,-73.92152931480697,12.455040562448701,0.005,0.23282122001565253,-35.346787022258354,-58.270989668519675,22.92420264626132,0.005,0.4229624824844982,-48.7591219422286,-58.57851113645281,9.819389194224208
12.0,0.0575,0.282362379156197,-3.4799125041332486,-19.552616797728874,16.072704293595624,0.005,0.6825552773528565,-46.826745291082965,-70.47904219960287,23.652296908519908,0.0525,0.24849758696915217,-5.00384513440514,-9.32976225556243,4.325917121157291,0.02,0.4133840023257878,-14.151430390738383,-19.741448663841425,5.590018273103041
13.0,0.07,0.5243093283587116,-3.213388722568937,-25.10757093949286,21.894182216923923,0.005,0.3294669854793258,-43.66289644192689,-46.73249950066466,3.069603058737769,0.0625,0.5297706644607009,-3.737476530947684,-11.473237380216757,7.735760849269073,0.02,0.3573237112899399,-14.689796334869502,-42.2461030306099,27.5563066957404
14.0,0.0525,0.5325244833245477,-5.813677218236145,-13.325526037217823,7.5118488189816786,0.005,0.18175133841992133,-42.184322469269304,-43.419376684960625,1.2350542156913207,0.05,0.5459411743145481,-5.851301545697991,-13.098900825243561,7.24759927954557,0.015,-0.0639513914360562,-17.69360401939239,-30.808885818505715,13.115281799113326
