,PhaseSpace,ChannelCorrelation,PeakMeter,RMS,CrestFactor,PhaseSpaceLow,ChannelCorrelationLow,PeakMeterLow,RMSLow,CrestFactorLow,PhaseSpaceMid,ChannelCorrelationMid,PeakMeterMid,RMSMid,CrestFactorMid,PhaseSpaceHigh,ChannelCorrelationHigh,PeakMeterHigh,RMSHigh,CrestFactorHigh
0.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
1.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
2.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
3.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
4.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
5.0,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039,0.0025,nan,-119.99999999999999,-133.97940008672037,13.97940008672039
6.0,0.0075,0.8435397533145809,-24.629413014424756,-25.498013733542365,0.8686007191176088,0.005,0.9455924875026229,-80.56797887394501,-107.20619939938473,26.63822052543972,0.005,0.8844093494518747,-28.832856283611275,-31.27583011688335,2.442973833272074,0.005,0.45487951234641616,-33.85114033644582,-54.745539766300915,20.894399429855092
7.0,0.0225,0.8910673826986953,-13.456813906983115,-30.23978805700423,16.782974150021115,0.005,0.9853997945533772,-56.14363833615264,-77.8330929640613,21.689454627908653,0.0225,0.8991307725962908,-13.470850112995622,-24.99861966360864,11.527769550613018,0.005,0.6362476710916746,-29.552445646224275,-42.91222043222024,13.359774785995963
8.0,0.015,0.5825117167329057,-17.289256811525455,-29.394717520377004,12.105460708851549,0.005,0.9772866088585757,-55.723670980389734,-74.93762450744856,19.213953527058827,0.0175,0.5941324617566263,-15.759399163862547,-29.786171651311353,14.026772487448806,0.005,0.6128799436487475,-30.4563693605767,-71.55354135177011,41.097171991193406
9.0,0.015,0.6780566036378858,-16.624662796416747,-30.827980643336808,14.203317846920061,0.005,0.8007891160512217,-57.632422662806135,-67.90345884409751,10.271036181291379,0.015,0.6732150366787442,-16.97635868989589,-27.577110921992116,10.600752232096227,0.005,0.3288874836873843,-35.20252843946637,-44.608867599482,9.406339160015627
10.0,0.0125,0.10428136123556084,-19.920314800920302,-46.50236473578853,26.58204993486823,0.005,0.33595338091788923,-64.59197754997584,-69.0696826756904,4.477705125714564,0.01,0.11731647524432198,-21.48079072548431,-54.806638658549296,33.325847933064985,0.005,0.20724513966260577,-35.573011084166374,-60.44284849663428,24.869837412467902
11.0,0.0075,0.1109396807408843,-21.40314331067492,-32.97144241244438,11.568299101769462,0.005,0.680179702093323,-66.1140913159736,-89.45775128131167,23.343659965338077,0.01,0.10608305071603798,-21.99380119676855,-23.92774524731839,1.9339440505498402,0.005,0.21446217834947723,-37.822526651880544,-72.22759223013202,34.405065578251474
12.0,0.01,0.5406521270617096,-23.680452768779496,-45.10757093949286,21.427118170713364,0.005,0.818776235041971,-67.77611266348696,-83.04067010255034,15.264557439063381,0.0075,0.5391700893009063,-22.465282996078425,-27.166162569096507,4.7008795730180815,0.005,0.30400762930492925,-41.32533771978874,-55.23026748253664,13.904929762747898
13.0,0.005,0.39365769516682664,-26.237463199634906,-48.798059471343734,22.560596271708828,0.005,0.8513234091386999,-68.26549914836741,-94.00767785971811,25.742178711350704,0.005,0.3909428998462391,-26.51118667619364,-37.51658893819676,11.005402262003123,0.005,0.021981457419585227,-43.09210156956336,-60.789394811564364,17.697293242001003
14.0,0.005,0.6542462866484879,-29.117730341169,-34.363647882580025,5.245917541411025,0.005,0.7708382371199082,-67.93986194578132,-75.15613655807607,7.216274612294754,0.005,0.6617880300231523,-29.350573148063024,-36.974697635639004,7.62412448757598,0.005,0.38997139226798067,-43.440796186954856,-50.91749552700368,7.476699340048825
